arthur,thomas,traditional,simplified,MC,OC,morphology,radsup,variant,Kroll,zdic,note
ai1~ai1,āi~āi,哀哀,哀哀,'oj-’oj,NA,NA,NA,NA,NA,形容悲傷不已的樣子。詩經．小雅．蓼莪：「哀哀父母，生我勞瘁。」文選．潘岳．馬汧督誄：「哀哀建威，身伏斧質。」,NA
ai2~ai2,ái~ái,皚皚,皑皑,ngoj ngoj,NA,RED,白,"皚皚,磑磑","snow-white, niveous; candent, albescent; glistening whitenss, as white as can be; unstained, spotless, chaste",潔白的樣子。漢．劉歆．遂初賦：「漂積雪之皚皚兮，涉凝露之降霜。」,NA
ai2~ai2,ái~ái,磑磑,磑磑,ngoj ngoj,NA,RED,石,"皚皚,磑磑","lofty and tall; thick and hard, dense and solid; glistening whiteness",NA,NA
ai3,ǎi,欸,欸,'ojX,NA,SINGLE,NA,NA,onom. sigh of affirmtaion or agreement,NA,NA
ai3~ai3,ǎi~ǎi,藹藹,蔼蔼,'ajH-'ajH,NA,RED,草,NA,"lush, rife, clumped, dense, luxuriant; thick, dim, shadowed",茂盛的樣子。晉．陶淵明．和郭主簿詩：「藹藹堂前林，中夏貯清陰。」文選．束晳．補亡詩六首之五：「瞻彼崇丘，其林藹藹。」盛大眾多的樣子。詩經．大雅．卷阿：「藹藹王多吉士，維君子使媚于天子。」文選．左思．詠史詩八首之五：「峨峨高門內，藹藹皆王侯。」盡力。語出爾雅．釋訓：「藹藹萋萋，臣盡力也。」月光微暗的樣子。文選．司馬相如．長門賦：「望中庭之藹藹兮，若季秋之降霜。」南朝宋．謝莊．懷園引：「朱光藹藹雲英英，新禽喈喈又晨鳴。」,NA
ai3~ai3,ǎi~ǎi,靄靄,霭霭,'ajH-'ajH,NA,RED,雲,NA,"thin mists, thin mass of wind-driven clouds, cloud-whisps; rack, wrack",聚集的樣子。晉．陶淵明．停雲詩：「靄靄停雲，濛濛時雨。」西遊記．第三十四回：「博山爐裡，靄靄香煙。」雪很盛的樣子。南朝宋．謝惠連．雪賦：「靄靄浮浮，瀌瀌弈弈。」,NA
ai3~nai3,ǎi~nǎi,欸乃,欸乃,'ojX-nojX,NA,RR,NA,NA,rhytmnic sweep of boat's oars; of oarsman's song,搖櫓的聲音。唐．柳宗元．漁翁詩：「煙銷日出不見人，欸乃一聲山水綠。」划船時所唱的歌。宋．陸游．南定樓遇急雨詩：「人語朱離逢峒獠，櫂歌欸乃下吳舟。」元．鄭光祖．倩女離魂．第二折：「聽長笛一聲何處發，歌欸乃，櫓咿啞。」,NA
ai4~ai4,ài~ài,曖曖,暧暧,'ojH ’ojH,NA,RED,日,靉靉,"unseen in haze, masked by darkness",昏暗不明的樣子。楚辭．屈原．離騷：「時曖曖其將罷兮，結幽蘭而延佇。」晉．陶淵明．歸園田居詩五首之一：「曖曖遠人村，依依墟里煙。」,NA
ai4~ai4,ài~ài,薆薆,薆薆,'ojH-'ojH,NA,RED,艸,NA,"richly overgrown, rife and rank",不分明的樣子。漢．司馬相如．大人賦：「時若薆薆將混濁兮，召屏翳，誅風伯，刑雨師。」,NA
ai4~ai4,ài~ài,艾艾,艾艾,ngajH-ngajH,NA,RED,艸,NA,onom. for stuttering,三國時魏國的鄧艾患有口吃，每次說到自己時，連說艾艾。典出南朝宋．劉義慶．世說新語．言語。後用以形容人口齒不清晰，說話不流利。,NA
ai4~dai4,ài~dài,靉靆,靉靆,'ojH-dojH,NA,RR,雲,NA,heavy w clouds,雲多而昏暗的樣子。晉．潘尼．逸民吟：「朝雲靉靆，行露未晞。」唐．鄭谷．入閣詩：「壽山晴靉靆，顥氣暖連延。」眼鏡。見明．田藝蘅．留青日札摘抄．卷二．靉靆。,from arthur
ai4~dui4,ài~duì,薆薱,薆薱,'ojH-twojH,NA,RR,草,NA,"richly overgrown, rife and rank",NA,NA
ai4~mei4,ài~mèi,曖昧,暧昧,'ojH-mwojH,NA,NA,NA,NA,NA,含混不清、幽暗不明。晉書．卷三十四．杜預傳：「臣心實了，不敢以曖昧之見，自取後累。」近含糊反明白、明朗行為不光明磊落，有不可告人的隱私。如：「他們之間似乎有曖昧的行為存在。」,NA
ai4~pei4,ài~pèi,靉靅,靉靅,'ojhH-pjojH,NA,RR,雲,NA,lowering and layered with clouds,NA,NA
an1~an1,ān~ān,安安,安安,'an-’an,NA,NA,NA,NA,NA,NA,NA
an1~yi4,ān~yì,啽囈,啽呓,ngom+ngjejH,NA,BR (Base.Redup),口,NA,mutteringin one's sleep,夢話。列子．周穆王：「眠中啽囈呻呼，徹旦息焉。」,from arthur
an2~long4,án~lòng,啽哢,啽哢,ngom-luwngH,NA,RR,口,NA,chiffer-chaffer of birds,NA,NA
an2~mo4,án~mò,啽默,啽默,ngom-mok,NA,RR,NA,NA,tight-lipped and taciturn; still and speechless; keep mum,緘默。新唐書．卷一三○．楊瑒傳：「融方貴，公卿啽默唯唯，獨瑒抗議，故出為華州刺史。」,NA
an3~an3,ǎn~ǎn,晻晻,晻晻,'omX-’omX,NA,NA,NA,NA,NA,形容幽暗。漢．蔡邕．霖雨賦：「瞻玄雲之晻晻兮，聽長霤之淋淋。」唐．儲光羲．晚次東亭獻鄭州宋使君文詩：「霏霏渠門色，晻晻制巖光。」夕陽西下黯然無光的樣子。楚辭．劉向．九歎．惜賢：「熟契契而委棟兮，日晻晻而下頹。」樂府詩集．卷七十三．雜曲歌辭十三．古辭．焦仲卿妻：「晻晻日欲暝，愁思出門啼。」,maybe pronounced: yan3~yan3
an4~an4,àn~àn,黯黯,黯黯,'amH-’amH,NA,NA,NA,NA,NA,昏暗不明。三國．魏．陳琳．遊覽詩二首之一：「蕭蕭山谷風，黯黯天路陰。」南朝梁．元帝．蕩婦秋思賦：「日黯黯而將暮，風騷騷而渡河。」心神暗淡的樣子。唐．韋應物．寄李儋元錫詩：「世事茫茫難自料，春愁黯黯獨成眠。」,NA
an4~can3,àn~cǎn,黯慘,黯惨,'amH-tshomX,NA,RR,NA,NA,dim and dreary,陰暗慘淡的樣子。唐．徐夤．過驪山賦：「但見愁雲黯慘，疊嶂嶙峋。」,NA
