arthur,thomas,traditional,simplified,radsup,morphology,MC,OC,variant,Kroll,zdic,note,id
qiu1~xu1,qiū~xū,丘虛,丘虚,NA,BR,khjuw-xjo,*[k]ʷʰə~*C.qʰ(r)a,NA,"hillocky and hummock; ruins and wastes, esp. near tombs",NA,NA,1300
qin1~xun2,qīn~xún,侵尋,侵寻,彐,BR,tshim-zim,*[tsʰ][i]m~*sə-l[ə]m (< *-um ?),NA,bit by bit,漸進。史記．卷十二．孝武本紀：「是歲，天子始巡郡縣，侵尋於泰山矣。」宋．蘇軾．代張方平諫用兵書：「遂使侵尋及於諸國，歲歲調發。」亦作「侵淫」。,probably different radical support,1282
pian2~pi4,pián~pì,便辟,便辟,NA,BR,pjien-pjiek,*[b]e[n]-s~*[b]ˤek,NA,"fawning and flattering, smooth-talking",善於迎合他人。論語．季氏：「益者三友，損者三友。友直、友諒、友多聞，益矣；友便辟、友善柔、友便佞，損矣。」,NA,1162
ti4~tang3,tì~tǎng,俶儻,俶傥,人,BR,thet-thangX,*tʰuk~*tʰˤaŋʔ,倜儻？,"unexpected, rare and unparalleled",NA,NA,1482
piao4~jiao3,piào~jiǎo,僄狡,僄狡,NA,BR,phjiew-kaewH,NA~NA,NA,"brisk and bold, quick and courageous",NA,NA,1178
xiang1~yang2,xiāng~yáng,儴佯,儴佯,人,BR,sjang-yang,NA~NA,"儴佯, 忀徉, 相羊","wandering and wavering, ambling and meandering",NA,xiang1 usually pronounce rang2,1661
tang3~lang3,tǎng~lǎng,儻朗,傥朗,NA,BR,thangX-langX,*tʰˤaŋʔ~*k.rˤaŋʔ,"爣朗, 爣閬, 儻朗, 儻閬","glimmering glow, gloriously ablaze",NA,NA,1464
tang3~lang3,tǎng~lǎng,儻閬,傥阆,NA,BR,thangX-langX,*tʰˤaŋʔ~NA,"爣朗, 爣閬, 儻朗, 儻閬","glimmering glow, gloriously ablaze",NA,NA,1465
ling2~li4,líng~lì,凌歷,凌历,NA,BR,ling-lek,*[r]əŋ~*[r]ˤek,NA,traverse and transit,NA,NA,886
lie4~que1,liè~quē,列缺,列缺,NA,BR,ljet-khwet,*[r][e]t~*Nə-[k]ʷʰˤet,裂缺,shattering cracks (lightning),閃電。漢書．卷八十七．揚雄傳上：「辟歷列缺，吐火施鞭。」唐．李白．夢遊天姥吟留別詩：「列缺霹靂，丘巒崩摧。」高空。楚辭．屈原．遠遊：「上至列缺兮，降望大壑。」,NA,858
pan4~huan4,pàn~huàn,判換,判换,NA,BR,phanH-hwanH,*pʰˤan-s~*[ɢ]ʷˤa[n]-s,NA,"relaxed, slack, at loose ends",NA,not sure about morph,1108
qu2~lu4,qú~lù,劬錄,劬录,NA,BR,gju-ljowk,*[g](r)o~*[r]ok,NA,"toilsome travail, moil and toil",NA,NA,1306
bo2~su1,bó~sū,勃窣,勃窣,NA,BR,bwot-swot,*[b]ˤut~NA,NA,short and squat; cramped and confined; walking in mincing steps,匍匐慢行。形容人言談緩慢。晉書．卷七十五．張憑傳：「帝召與語，歎曰：『張憑勃窣為理窟。』」,NA,98
can1~tan2,cān~tán,參潭,参潭,NA,BR,tshom-dom,r̥ˤəʔ~*[l]ˤ[ə]m,參驔 (tshom-dzemX : can1dian4),"in regular ranks, following one after another",NA,NA,103
cong2~can2,cóng~cán,叢殘,丛残,NA,BR,dzuwng-dzan,*dzˤoŋ~*[dz]ˤa[n],NA,in a jumble; odd and ends,NA,NA,231
tao1~ta4,tāo~tà,叨沓,叨沓,NA,BR,thaw-dop,NA~*m-rˤəp,NA,"(med.) avaricious and shiftless, greedy but negligent",既貪心又懈怠。新唐書．卷一七一．李光進傳：「初，田縉鎮夏州，以叨沓開邊隙，故党項引吐蕃圍涇州，郝玭力戰破之。」,NA,1471
che4~nie4,chè~niè,呫囓,呫囓,口,BR,tsyhep-nyep,NA~NA,NA,speak in hushed tones,NA,NA,174
pao1~xiao1,pāo~xiāo,咆哮,咆哮,口,BR,baew-xaew,NA~NA,NA,"rage and roar; also, spout and swagger, brag and bluster",野獸的怒吼。唐．常建．空靈山應田叟詩：「日入聞虎鬥，空山滿咆哮。」三國演義．第三回：「果然那馬渾身上下，火炭般赤，無半根雜毛；從頭至尾，長一丈；從蹄至項，高八尺；嘶喊咆哮，有騰空入海之狀。」近怒吼、狂嗥、吼怒形容人在激怒時的吼叫。如：「大聲咆哮」、「咆哮如雷」。近怒吼、狂嗥、吼怒形容人氣勢勇猛剛健的樣子。抱朴子．外篇．清鑒：「咆哮者不必勇，淳淡者不必怯。」唐．白居易．漢高祖斬白蛇賦：「一呼而猛氣咆哮，再叱而雄姿抑揚。」,not sure about morph,1122
an1~yi4,ān~yì,啽囈,啽呓,口,BR,ngom~ngjejH,NA~NA,NA,mutteringin one's sleep,夢話。列子．周穆王：「眠中啽囈呻呼，徹旦息焉。」,from arthur,16
