0,pinyin,mim simpl,mim trad,Glosnnummer,Functioneel,HIERARCHIE DINGEMANSE,Gloss meaning,Middle Chinese,MC tonen,Morf,zdic,Translation,Sem typ (corpus),Sem typ (dict),Fanqie zdic,AUTHOR ENGL,AUTHOR CHI,BORN,DIED,old birhplace,current place,other place (current),titel,POEM PLACE,Syntaxis,distichon/regel,vert Wang,Uitspraak distichon,pagina Wang,onderdeel 3TP,link,,,http://zh.wikisource.org/wiki/%E5%94%90%E8%A9%A9%E4%B8%89%E7%99%BE%E9%A6%96,,,,,,
30,ànàn,黯黯,黯黯,21,BG,VISUAL,dim light,#'eamH~'eamH,Q~Q,RED,1.光线昏暗；颜色发黑。 2.隐藏不露，不显扬。 3.沮丧忧愁貌。 ,1. Dim light of a blackish colour. 2. Hiding something. 3. Seeming very sad.,PHENO,PHENO,《集韻》乙減切 《韻會》幺減切，音黤,Wang Changling,王昌齡,698,756,京兆,西安,太原,塞下曲,,5 12,平沙日未沒，黯黯見臨洮。,The sun over the sandy plain has not yet set; A vague view of the distant Lintao we can get.,Píng shā rì wèi méi, àn àn jiàn líntáo.,46,乐府,http://zh.wikisource.org/wiki/%E5%A1%9E%E4%B8%8B%E6%9B%B2_(%E9%A3%B2%E9%A6%AC%E6%B8%A1%E7%A7%8B%E6%B0%B4),,,,,,,,
171,ànàn,黯黯,黯黯,126,PR,VISUAL+INNER_FEELINGS,sad,#'eamH~'eamH,Q~Q,RED,1.光线昏暗；颜色发黑。 2.隐藏不露，不显扬。 3.沮丧忧愁貌。 ,1. Dim light of a blackish colour. 2. Hiding something. 3. Seeming very sad.,PHENO,PHENO,《集韻》乙減切 《韻會》幺減切，音黤,Wei Yingwu,韋應物,737,792,京兆,西安,,寄李儋元錫,,7 34,世事茫茫難自料，春愁黯黯獨成眠。,"In this world of vicissitudes, what will happen one can't reckon; gloomily lade with spring sadness, I alone go to sleep here.",Shìshì mángmáng nán zì liào, chūnchóu àn àn dú chéngmián.,272,七言律诗,http://zh.wikisource.org/wiki/%E5%AF%84%E6%9D%8E%E5%84%8B%E5%85%83%E9%8C%AB,,,,,,,,
174,ànrán,黯然,黯然,129,AD,COGNITIVE_STATE,lifeless,#'eamH-nyen,Q-P,RAN,1.黑貌。2.比喻衰落，没有生气。3.感伤沮丧貌。 ,1. Seeming blackish. 2. Metaphor for lifelessness. 3. Seemingly hurt and sad.,PHENO,PHENO,《集韻》乙減切 《韻會》幺減切，音黤 + 《唐韻》《集韻》《類篇》《韻會》《正韻》如延切，音,Liu Yuxi,劉禹錫,772,842,中山,定州市,洛陽,西塞山懷古,,7 56,王濬樓船下益州，金陵王氣黯然收。,From Yi Prefecture sailed down Wang Jun's ships of war; the Jinling ruler's kingly air was soon no more.,Wáng jùn lóu chuán xià yì zhōu, jīnlíng wáng qì àn rán shōu.,277,七言律诗,http://zh.wikisource.org/wiki/%E8%A5%BF%E5%A1%9E%E5%B1%B1%E6%87%B7%E5%8F%A4,,,,,,,,
106,bēngténg,崩腾,崩騰,76,AD,MOVEMENT,gallop,*pong~dong,P~P,RHYME,1.奔腾。2.奔走，奔波。3.动荡，纷乱。4.形容杂乱之貌。5.飞扬，纷飞。,1. Rushing, gallopping. 2. Rush away, rush about. 3. Turmoil, chaos. 4. Describes chaos. 5. Fly, waver.,,,,Wang Wei,王維,699,759,祁县,祁县,永济市,老將行,,7 34,漢兵奮迅如霹靂，虜騎崩騰畏蒺藜。,"Like thunderbolt, the inspired Han soldiers sped on their way; far fear of hoof-traps, the dispersed enemies fled away.",Hàn bīng fènxùn rú pīlì, lǔ qí bēng téng wèi jílí.,133,乐府,http://zh.wikisource.org/wiki/%E8%80%81%E5%B0%87%E8%A1%8C_(%E7%8E%8B%E7%B6%AD),,,,
2,cāngcāng,苍苍,蒼蒼,2,PR,VISUAL,endless,*tshang~tshang,P~P,RED,1.深青色。2.指天。 3.茂盛；众多。4.灰白色。5.茫无边际。6.迷茫。,1. Deep blue-green. 2. Heaven. 3. Fourishing, numerous. 4. Blue. 5. Endless. 6. Dazed.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉,Li Bai,李白,701,762,綿州,省江油市,托克马克,下終南山過斛斯山人宿置酒,,5 12,卻顧所來徑，蒼蒼橫翠微。,Looking back at the path we had just passed, We saw it crossed with verdure hazy and vast.,Què gù suǒ lái jìng, cāngcāng héng cuìwēi.,3,五言古诗,http://zh.wikisource.org/wiki/%E4%B8%8B%E7%B5%82%E5%8D%97%E5%B1%B1%E9%81%8E%E6%96%9B%E6%96%AF%E5%B1%B1%E4%BA%BA%E5%AE%BF%E7%BD%AE%E9%85%92,,,,,,
42,cāngcāng,苍苍,蒼蒼,28,PR,VISUAL,endless,*tshang~tshang,P~P,RED,1.深青色。2.指天。 3.茂盛；众多。4.灰白色。5.茫无边际。6.迷茫。,1. Deep blue-green. 2. Heaven. 3. Fourishing, numerous. 4. Blue. 5. Endless. 6. Dazed.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉,Li Bai,李白,701,762,綿州,省江油市,托克马克,廬山謠寄盧侍御虛舟,,7 67,香爐瀑布遙相望，迴厓沓嶂凌蒼蒼。,"Facing it, cascades of Peak Censer afar lie; winding cliffs and piled-up peaks tower high to the sky.",Xiānglú pùbù yáo xiāng wàng, huí yá dá zhàng líng cāngcāng.,62,七言古诗,http://zh.wikisource.org/wiki/%E5%BB%AC%E5%B1%B1%E8%AC%A0%E5%AF%84%E7%9B%A7%E4%BE%8D%E5%BE%A1%E8%99%9B%E8%88%9F,,,,,,,
34,cāngcāng,苍苍,蒼蒼,24,PR,VISUAL,endless,*tshang~tshang,P~P,RED,1.深青色。2.指天。 3.茂盛；众多。4.灰白色。5.茫无边际。6.迷茫。,1. Deep blue-green. 2. Heaven. 3. Fourishing, numerous. 4. Blue. 5. Endless. 6. Dazed.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉,Li Qi,李頎,690,751,赵郡,赵县市,登封,聽董大彈胡笳聲兼寄語弄房給事,,7 34,古戍蒼蒼烽火寒，大荒沈沈飛雪白。,"The ancient posts there are wild, and beacon fires cold grow; gloomy is the vast wasteland and flies the white snow.",Gǔ shù cāngcāng fēnghuǒ hán, dàhuāng chénchén fēi xuěbái.,58,七言古诗,http://zh.wikisource.org/wiki/%E8%81%BD%E8%91%A3%E5%A4%A7%E5%BD%88%E8%83%A1%E7%AC%B3%E8%81%B2%E5%85%BC%E5%AF%84%E8%AA%9E%E5%BC%84%E6%88%BF%E7%B5%A6%E4%BA%8B,,,,,,,
185,cāngcāng,苍苍,蒼蒼,138,PR,VISUAL,green,*tshang~tshang,P~P,RED,1.深青色。2.指天。 3.茂盛；众多。4.灰白色。5.茫无边际。6.迷茫。,1. Deep blue-green. 2. Heaven. 3. Flourishing, numerous. 4. Blue. 5. Endless. 6. Dazed.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉,Liu Changqing,劉長卿,710,789,河南,河间市,宣城市,送靈澈上人,,5 12,蒼蒼竹林寺，杳杳鐘聲晚。,Amid the greens stands the Bamboo Temple alone; In the evening reverberates its late bell's tone.,Cāngcāng zhúlín sì, yǎo yǎo zhōng shēng wǎn.,306,五言绝句,http://zh.wikisource.org/wiki/%E9%80%81%E9%9D%88%E6%BE%88%E4%B8%8A%E4%BA%BA,,,,,,,
102,cāngmáng,苍茫,蒼茫,73,PR,VISUAL,vast,*tsang~#mang,P~P,RHYME,1.广阔无边的样子。 2.模糊不清的样子。 3.犹匆忙。 ,1. Expansive looking. 2. Looking vague. 3. Like being in a hurry.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉 + 《唐韻》《廣韻》莫郞切《集韻》謨郞切，音忙,Gao Shi,高適,716,765,渤海,景县,,燕歌行,,7 34,邊庭飄颻那可度，絕域蒼茫更何有。,How could they stay in the borderland amidst turbulence?; What could they get in the vast place at remotest distance?,Biān tíng piāo yáo nà kě dù, jué yù cāngmáng gèng hé yǒu.,128,乐府,http://zh.wikisource.org/wiki/%E7%87%95%E6%AD%8C%E8%A1%8C_(%E9%AB%98%E9%81%A9),,,,,,,,
31,cāngmáng,苍茫,蒼茫,22,AT,VISUAL,wide,*tsang~#mang,P~P,RHYME,1.广阔无边的样子。 2.模糊不清的样子。 3.犹匆忙。 ,1. Expansive looking. 2. Looking vague. 3. Like being in a hurry.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉 + 《唐韻》《廣韻》莫郞切《集韻》謨郞切，音忙,Li Bai,李白,701,762,綿州,省江油市,托克马克,關山月,,5 12,明月出天山，蒼茫雲海間。,From the Tian Mountain rises the moon bright; in a vast sea of clouds it shines its light.,Míngyuèchū tiānshān, cāngmáng yúnhǎi jiān.,47,乐府,http://zh.wikisource.org/wiki/%E9%97%9C%E5%B1%B1%E6%9C%88_(%E6%9D%8E%E7%99%BD),,,,,,,,
108,cāngmáng,苍茫,蒼茫,77,BG,VISUAL,vast,*tsang~#mang,P~P,RHYME,1.广阔无边的样子。 2.模糊不清的样子。 3.犹匆忙。 ,1. Expansive looking. 2. Looking vague. 3. Like being in a hurry.,PHENO,PHENO,《唐韻》七岡切《正韻》千剛切，音倉 + 《唐韻》《廣韻》莫郞切《集韻》謨郞切，音忙,Wang Wei,王維,699,759,祁县,祁县,永济市,老將行,,7 12,蒼茫古木連窮巷，寥落寒山對虛牖。,Vast were age-old trees extending to his secluded lanes; quiet were bleak hills facing his humble window panes.,Cāngmáng gǔmù lián qióng xiàng, liáoluò hánshān duì xū yǒu.,133,乐府,http://zh.wikisource.org/wiki/%E8%80%81%E5%B0%87%E8%A1%8C_(%E7%8E%8B%E7%B6%AD),,,,,,,,
