pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,variant,Kroll,sensorymod,zdic,note,datasource,morphology,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,H1.sem,H1.semfreq,H1.semfam,H1.phon,H1.phonfreq,H1.phonfam,H2.sem,H2.semfreq,H2.semfam,H2.phon,H2.phonfreq,H2.phonfam,H3.sem,H3.semfreq,H3.semfam,H3.phon,H3.phonfreq,H3.phonfam,H4.sem,H4.semfreq,H4.semfam,H4.phon,H4.phonfreq,H4.phonfam
pu3~su4,pǔ~sù,pu~su,朴簌,朴簌,phaewk~suwk,NA~NA,NA,NA,"(med.) falling in profusion; also, onom. of birds' wings in brisk flight, pfuut-suut",SOUND,NA,NA,Kroll,BR,朴,簌,NA,NA,"20,4593",NA,NA,NA,11,NA,NA,NA,木,"23327,0765",210,卜,"324,0148",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
peng1~pai4,pēng~pài,peng~pai,澎湃,澎湃,phaeng~pheajH,NA~NA,水,NA,"onom. of crashing and colliding, roaring and rushing of waves",SOUND,波濤相衝擊的聲音或氣勢。文明小史．第五十三回：「華嚴上更有一樁奇景，就是瀑布，有二千多丈寬，七十多丈長，望上去煙雲繚繞，底下漭騰澎湃，有若雷鳴。」清．呂碧城．瑞鶴仙．瘴風寬蕙帶詞：「戰松林萬翠鳴秋，併作怒濤澎湃。」近滂澎、汹湧亦作「彭湃」。比喻聲勢浩大，氣勢壯闊。如：「思湧澎湃」、「勢情澎湃」。亦作「彭湃」。,NA,Kroll,BR,澎,湃,NA,NA,"3,9802","3,4667",NA,NA,3,3,NA,NA,氵,"19088,7556",238,彭,"10,2074",3,氵,"19088,7556",238,拜,"3,4667",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
peng1~pi4,pēng~pì,peng~pi,澎濞,澎濞,phaeng~phijH,NA~NA,水,NA,"onom. of crashing and colliding, roaring and rushing of waves",SOUND,狀聲詞。形容水聲。文選．馬融．長笛賦：「爭湍苹縈，汩活澎濞。」,NA,Kroll,BR,澎,濞,NA,NA,"3,9802",NA,NA,NA,3,NA,NA,NA,氵,"19088,7556",238,彭,"10,2074",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xiao1~sa3,xiāo~sǎ,xiao~sa,瀟灑,潇灑,sew~sreajX,NA~*Cə.s<r>ərʔ (MC srj- > sr-),水,"瀟灑, 蕭灑","carefree and detached; onom. of light rain, softly sprinkling",SOUND,形容人清高絕俗、灑脫不羈。唐．杜甫．飲中八僊歌：「宗之瀟灑美少年，舉觴白眼望青天。」紅樓夢．第四回：「三則公私冗雜，且素性瀟灑，不以俗務為要。」近飄逸、俊逸、超脫、灑脫反呆鈍、落拓亦作「蕭灑」。淒涼、悲楚。宋．周邦彥．塞垣春．暮色分平野詞：「漸別離氣味難禁也，更物象，供瀟灑。」元．王修甫．鬥鵪鶉．闕蓋荷枯套．小桃紅曲：「西風夜送廉纖雨，清燈一點，知人瀟灑，相伴影兒孤。」,NA,Kroll,BR,潇,灑,NA,NA,"16,4049",NA,NA,NA,1,NA,NA,NA,氵,"19088,7556",238,萧,"16,4049",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
peng1~ke1,pēng~kē,peng~ke,硼磕,硼磕,pheang~khajH,NA~NA,石,NA,"onom. of te rumble of thunder; also, of many instruments sounding in concert",SOUND,NA,not sure about morph,Kroll,RB,硼,磕,NA,NA,"0,3309","8,0741",NA,NA,2,4,NA,NA,石,"1850,5235",61,朋,70558,5,石,"1850,5235",61,盍,"23,7333",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
peng1~yin3,pēng~yǐn,peng~yin,硼隱,硼隐,pheang~'j+nH,NA~*[ʔ](r)ə[n]ʔ,NA,NA,onom. of the booming reverberation of drms,SOUND,NA,not sure about morph,Kroll,RB,硼,隐,NA,NA,"0,3309","79,5358",NA,NA,2,39,NA,NA,石,"1850,5235",61,朋,70558,5,阝,12852079,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
que4~ke4,què~kè,que~ke,礐硞,礐硞,khaewk~kheak,NA~NA,石,NA,(med.) onom. of water running over rapids or breaking against rocks,SOUND,NA,NA,Kroll,RR,礐,硞,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xiao1~sa3,xiāo~sǎ,xiao~sa,蕭灑,萧灑,sew~sreajX,*sˤiw~*Cə.s<r>ərʔ (MC srj- > sr-),NA,"瀟灑, 蕭灑","carefree and detached; onom. of light rain, softly sprinkling",SOUND,形容人清高絕俗、灑脫不羈。文選．孔稚珪．北山移文：「夫以耿介拔俗之標，蕭灑出塵之想，度白雪以方絜，干青雲而直上，吾方知之矣。」近飄逸、灑脫反土氣、拘泥亦作「瀟灑」。,NA,Kroll,BR,萧,灑,NA,NA,"14,1877",NA,NA,NA,3,NA,NA,NA,艹,"9164,7556",191,肃,"35,3432",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chan2~chu2,chán~chú,chan~chu,蟾蜍,蟾蜍,dzyem~syo,NA~NA,虫,NA,toad name onomatopoeic of its croak,SOUND,動物名。兩棲綱無尾目蟾蜍科。體型肥大，性遲緩，不能鳴，常棲於陰溼之地。皮膚有疣，可分泌毒液。或稱為「癩蛤蟆」、「戚施」、「詹諸」。語出淮南子．精神：「日中有踆烏，而月中有蟾蜍。」後用為月亮的代稱。唐．劉商．胡笳十八拍．第十一拍：「幾回鴻雁來又去，腸斷蟾蜍虧復圓。」元．白樸．牆頭馬上．第二折：「月也你本細如弓一半兒蟾蜍，卻休明如鏡照三千世界。」,animal,Kroll,RR,蟾,蜍,NA,NA,"0,9926","0,4691",NA,NA,1,1,NA,NA,虫,"1653,4963",97,詹,"7,2593",5,虫,"1653,4963",97,余,"522,6765",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
liao2~li4,liáo~lì,liao~li,飂戾,飂戾,lew~ljejH,NA~*[r]ˤe[t]-s,NA,NA,"onom. Wind, soughing silibance, whizzing and whoosing; rapidly passing",SOUND,迅速。後漢書．卷五十九．張衡傳：「戫汨飂戾沛以罔象兮，爛漫麗靡藐以迭逿。」狀聲詞。形容風的聲音。文選．潘岳．西征賦：「吐清風之飂戾，納歸雲之鬱蓊。」,cf. 漻浰,Kroll,BR,飂,戾,NA,NA,NA,"0,6025",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,戶,"2274,1827",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hong1~leng2,hōng~léng,hong~leng,輷輘,輷輘,xong~long,NA~NA,車,NA,onom. of ruble and rattle of carriages and thunder,SOUND,NA,NA,Kroll,RR,輷,輘,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ying1~ying1,yīng~yīng,ying~ying,嚶嚶,嘤嘤,'eang~’eang,NA~NA,口,NA,"onom. of small bells attached to carriage or horse, “ying-ging”",SOUND,狀聲詞：(1)​ 形容禽鳥和鳴的聲音。詩經．小雅．伐木：「伐木丁丁，鳥鳴嚶嚶。」南朝梁．吳均．與朱元思書：「好鳥相鳴，嚶嚶成韻。」(2)​ 形容低語聲。西遊記．第二十回：「只見一老者，斜倚竹床之上，口裡嚶嚶的念佛。」聊齋志異．卷四．辛十四娘：「聞房內嚶嚶膩語，生乘醉搴簾。」(3)​ 形容低泣聲。聊齋志異．卷一．青鳳：「尾而聽之，訶詬萬端。聞青鳳嚶嚶啜泣。」(4)​ 形容清脆而細的聲音。漢．陳琳．神女賦：「文絳虯之奕奕，鳴玉鸞之嚶嚶。」比喻朋友間志趣相投。文選．謝瞻．於安城答靈運詩：「華萼相光飾，嚶嚶悅同響。」,NA,Kroll,BB,嘤,嘤,NA,NA,"5,2494","5,2494",NA,NA,1,1,NA,NA,口,50016563,297,婴,"32,6469",5,口,50016563,297,婴,"32,6469",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lu4~lu4,lù~lù,lu~lu,碌碌,碌碌,luwk~luwk,NA~NA,石,NA,"rough and unworked (of stones or gems); also, crude and common, banal and ordinary; (med.) also, onom. of grumble and groan of cart-wheels, creak and rattle",SOUND,平庸的樣子。後漢書．卷八十．文苑傳下．禰衡傳：「餘子碌碌，莫足數也。」三國演義．第二十一回：「此等碌碌小人，何足挂齒。」或作「逯逯」、「錄錄」、「陸陸」。忙碌、奔波。紅樓夢．第二十二回：「從前碌碌卻因何？到如今，回頭試想真無趣。」狀聲詞。形容車行的聲音。唐．賈島．古意詩：「碌碌復碌碌，百年雙轉轂。」亦作「轆轆」。形容玉石的色彩美麗。南朝梁．劉勰．文心雕龍．總術：「落落之玉，或亂乎石；碌碌之石，時似乎玉。」才氣洋溢。南朝宋．劉義慶．世說新語．識鑒：「唯阿奴碌碌，當在阿母目下耳。」,NA,Kroll,BB,碌,碌,NA,NA,43837,43837,NA,NA,7,7,NA,NA,石,"1850,5235",61,录,"546,4494",5,石,"1850,5235",61,录,"546,4494",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hong1~hong1,hōng~hōng,hong~hong,輷輷,輷輷,xong~xong,NA~NA,車,NA,onom. of rumble of thunder or heavy carriages,SOUND,NA,NA,Kroll,BB,輷,輷,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
