NUMBER,TRAD,SIMPL,PINYIN,SEMANTIC,FORM-CHAR,Old-Chinese,FORM-MECH,TITLE,PoemGroup,LINE,TRANSLATION,ZDIC,RICCI,,,,,
1,哀哀,哀哀,āi āi,SOUND+FEELING,AA,,REDUPLICATION,蓼 莪,XiaoYa,哀哀父母、生我劬勞。,Alas! alas! my parents, With what toil ye gave me birth!,形容悲傷不已的樣子。,,,,,
2,哀哀,哀哀,āi āi,SOUND+FEELING,AA,,REDUPLICATION,蓼 莪,XiaoYa,哀哀父母、生我勞瘁。,Alas! alas! my parents, With what toil and suffering ye gave me birth!,形容悲傷不已的樣子。,,,,,
774,藹藹,蔼蔼,ǎi'ǎi,VISUAL,AA,,REDUPLICATION,卷 阿,DaYa,藹藹王多吉士、維君子使、媚于天子 。,Many are your admirable officers, O king, Ready to be employed by you, Loving you, the son of Heaven.,1. 茂盛的樣子。晉．陶淵明．和郭主簿詩：「藹藹堂前林，中夏貯清陰。」文選．束晳．補亡詩六首之五：「瞻彼崇丘，其林藹藹。」2. 盛大眾多的樣子。詩經．大雅．卷阿：「藹藹王多吉士，維君子使媚于天子。」文選．左思．詠史詩八首之五：「峨峨高門內，藹藹皆王侯。」3.盡力。語出爾雅．釋訓：「藹藹萋萋，臣盡力也。」4.月光微暗的樣子。文選．司馬相如．長門賦：「望中庭之藹藹兮，若季秋之降霜。」南朝宋．謝莊．懷園引：「朱光藹藹雲英英，新禽喈喈又晨鳴。」,,
775,藹藹,蔼蔼,ǎi'ǎi,VISUAL,AA,,REDUPLICATION,卷 阿,DaYa,藹藹王多吉人、維君子命、媚于庶人 。,Many are your admirable officers, O king, Waiting for your commands, And loving the multitudes of the people.,1. 茂盛的樣子。晉．陶淵明．和郭主簿詩：「藹藹堂前林，中夏貯清陰。」文選．束晳．補亡詩六首之五：「瞻彼崇丘，其林藹藹。」2. 盛大眾多的樣子。詩經．大雅．卷阿：「藹藹王多吉士，維君子使媚于天子。」文選．左思．詠史詩八首之五：「峨峨高門內，藹藹皆王侯。」3.盡力。語出爾雅．釋訓：「藹藹萋萋，臣盡力也。」4.月光微暗的樣子。文選．司馬相如．長門賦：「望中庭之藹藹兮，若季秋之降霜。」南朝宋．謝莊．懷園引：「朱光藹藹雲英英，新禽喈喈又晨鳴。」,,,
3,安安,安安,ān'ān,VISUAL+EVALUATION,AA,,REDUPLICATION,皇 矣,DaYa,執訊連連、攸馘安安。,Captives for the question were brought in one after another; ' The left ears [of the slain] were taken leisurely.,,1. Sans effort et comme naturellement; modéré; mesuré; doux. Être à son aise. 2. Content de son sort. 3. Posément.,,,,,
4,卬卬,卬卬,áng áng,EVALUATION,AA,,REDUPLICATION,卷 阿,DaYa,顒顒卬卬、如圭如璋、令聞令望。,Full of dignity and majesty [are they], Like a jade-mace [in its purity], The subject of praise, the contemplation of hope.,1.興盛的樣子。2.高昂的樣子。,,,
5,嗷嗷,嗷嗷,áo áo,SOUND,AA,,REDUPLICATION,鴻 鴈 ,XiaoYa,鴻雁于飛、哀鳴嗷嗷。,The wild geese are flying about, And melancholy is their cry of ao-ao.,狀聲詞：(1)​ 形容哀號聲。詩經．小雅．鴻鴈：「鴻鴈于飛，哀鳴嗷嗷。」宋．歐陽修．綠竹堂獨飲詩：「殘花不共一日看，東風送哭聲嗷嗷。」(2)​ 形容眾口嘈雜聲。漢書．卷三十六．楚元王劉交傳：「無罪無辜，讒口嗷嗷。」或作「熬熬」。,1. Onomat. imitant le murmure plaintif d’une foule. 2. (onomat.) Brouhaha. 3. Dire du mal de qn (en parl. d’une foule de gens).,,,,
733,敖敖,敖敖,áo áo,VISUAL,AA,,REDUPLICATION,碩 人,GuoFeng,碩人敖敖、說于農郊。,Large was she and tall, When she halted in the cultivated suburbs.,1. 長的樣子。詩經．衛風．碩人：「碩人敖敖，說于農郊。」2. 傲慢不遜的樣子。爾雅．釋訓：「仇仇，敖敖，傲也。」,,,,,
7,翱翔,翱翔,áoxiáng,VISUAL,AB,*ŋˤaw~s-[ɢ]aŋ,DIFFERENT,載 驅,GuoFeng,魯道有蕩、齊子翱翔。,The way from Lu is easy and plain, And the daughter of Qi moves on with unconcern.,1. 鳥回旋高飛。近遨遊、飛翔、飛行。淮南子．俶真：「今矰繳機而在上，罔罟張而在下，雖欲翱翔，其勢焉得？」文選．宋玉．對楚王問：「鳳皇上擊九千里，絕雲霓、負蒼天，翱翔乎杳冥之上。」2. 敖遊、彷徉。詩經．齊風．載驅：「魯道有蕩，齊子翱翔。」文選．賈誼．鵩鳥賦：「寥廓忽荒兮，與道翱翔。」,"1. Voler en battant des ailes; planer; planer en rond (comme un oiseau de proie). Étendre (les ailes). 2. (Tao.) Planer dans le vide extatique; errer, ravi et en extase. 3. Se promener; aller de-ci de-là; aller et venir; flâner à loisir.",,,,
6,翱翔,翱翔,áoxiáng,VISUAL,AB,*ŋˤaw~s-[ɢ]aŋ,DIFFERENT,清 人,GuoFeng,二矛重英、河上乎翱翔。,The two spears in it, with their ornaments, rising, one above the other. So do they roam about the He.,1. 鳥回旋高飛。近遨遊、飛翔、飛行。淮南子．俶真：「今矰繳機而在上，罔罟張而在下，雖欲翱翔，其勢焉得？」文選．宋玉．對楚王問：「鳳皇上擊九千里，絕雲霓、負蒼天，翱翔乎杳冥之上。」2. 敖遊、彷徉。詩經．齊風．載驅：「魯道有蕩，齊子翱翔。」文選．賈誼．鵩鳥賦：「寥廓忽荒兮，與道翱翔。」,"1. Voler en battant des ailes; planer; planer en rond (comme un oiseau de proie). Étendre (les ailes). 2. (Tao.) Planer dans le vide extatique; errer, ravi et en extase. 3. Se promener; aller de-ci de-là; aller et venir; flâner à loisir.",,
