pinyinnum,traditional,simplified,morph,pinyinnum,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq
cong2~can2,叢殘,丛残,BR,cong2~can2,丛,残,,,"12,6074","93,9457",,,10,38,,
feng1~rong2,豐茸,丰茸,BR,feng1~rong2,丰,茸,,,"117,4815","3,4963",,,25,3,,
cong1~rong2,從容,从容,BR,cong1~rong2,从,容,,,"960,2074","475,8667",,,59,58,,
qin1~xun2,侵尋,侵寻,BR,qin1~xun2,侵,寻,,,"27,8864","439,8963",,,15,26,,
pian2~pi4,便辟,便辟,BR,pian2~pi4,便,辟,,,"333,1753","6,3753",,,47,6,,
tang3~lang3,儻朗,傥朗,BR,tang3~lang3,傥,朗,,,,"59,2988",,,,16,,
tang3~lang3,儻閬,傥阆,BR,tang3~lang3,傥,阆,,,,,,,,,,
piao4~jiao3,僄狡,僄狡,BR,piao4~jiao3,僄,狡,,,,"4,9037",,,,5,,
xiang1~yang2,儴佯,儴佯,BR,xiang1~yang2,儴,佯,,,,"0,8296",,,,3,,
qi1~chu3,淒楚,凄楚,BR,qi1~chu3,凄,楚,,,"14,6765","115,9901",,,7,13,,
ling2~li4,凌歷,凌历,BR,ling2~li4,凌,历,,,"103,3827","209,3926",,,14,48,,
lie4~que1,列缺,列缺,BR,lie4~que1,列,缺,,,"138,3704","127,2988",,,49,34,,
pan4~huan4,判換,判换,BR,pan4~huan4,判,换,,,"66,1086",348558,,,34,55,,
qu2~lu4,劬錄,劬录,BR,qu2~lu4,劬,录,,,,339037,,,,50,,
bo2~su1,勃窣,勃窣,BR,bo2~su1,勃,窣,,,"16,7259",,,,16,,,
can1~tan2,參潭,参潭,BR,can1~tan2,参,潭,,,"586,9383",7442,,,52,6,,
tao1~ta4,叨沓,叨沓,BR,tao1~ta4,叨,沓,,,"16,4988","1,4568",,,6,2,,
che4~nie4,呫囓,呫囓,BR,che4~nie4,呫,囓,,,,,,,,,,
pao1~xiao1,咆哮,咆哮,BR,pao1~xiao1,咆,哮,,,"4,2469","6,0494",,,1,3,,
an1~yi4,啽囈,啽呓,BR,an1~yi4,啽,呓,,,,"0,5975",,,,2,,
pen1~bo2,噴薄,喷薄,BR,pen1~bo2,喷,薄,,,"39,3679","68,9531",,,31,37,,
nie4~ru2,囁嚅,嗫嚅,BR,nie4~ru2,嗫,嚅,,,,,,,,,,
cao2~cui4,嘈啐,嘈啐,BR,cao2~cui4,嘈,啐,,,"5,8765",237,,,1,0,,
cao2~za2,嘈囋,嘈囋,BR,cao2~za2,嘈,囋,,,"5,8765",,,,1,,,
cao2~za2,嘈雜,嘈杂,BR,cao2~za2,嘈,杂,,,"5,8765","109,4173",,,1,53,,
yan3~yong2,噞喁,噞喁,BR,yan3~yong2,噞,喁,,,,,,,,,,
jin4~yin2,噤吟,噤吟,BR,jin4~yin2,噤,吟,,,,8,,,,9,,
ao2~ai3,囂藹,嚣蔼,BR,ao2~ai3,嚣,蔼,,,"24,5284","2,1383",,,5,2,,
kuang4~lang2,壙埌,圹埌,BR,kuang4~lang2,圹,埌,,,,,,,,,,
kan3~ke3,坎坷,坎坷,BR,kan3~ke3,坎,坷,,,"17,7284","7,0173",,,7,2,,
dan4~man4,壇曼,坛曼,BR,dan4~man4,坛,曼,,,"32,5975","69,2296",,,24,12,,
dan4~man4,壇漫,坛漫,BR,dan4~man4,坛,漫,,,"32,5975","205,5358",,,24,20,,
po1~tuo2,坡坨,坡坨,BR,po1~tuo2,坡,坨,,,"35,0123","6,2025",,,16,1,,
yi2~mi2,夷靡,夷靡,BR,yi2~mi2,夷,靡,,,"11,2444","6,6123",,,3,6,,
wei3~she2,委蛇,委蛇,BR,wei3~she2,委,蛇,,,"86,3111","35,1753",,,29,17,,
jiao1~rao2,嬌嬈,娇娆,BR,jiao1~rao2,娇,娆,,,"36,1481","2,2025",,,17,1,,
po2~suo1,婆娑,婆娑,BR,po2~suo1,婆,娑,,,"217,5111","1,2",,,26,1,,
wan3~lian4,婉戀,婉恋,BR,wan3~lian4,婉,恋,,,"8,3556","473,4074",,,5,21,,
po2~suo1,媻娑,媻娑,BR,po2~suo1,媻,娑,,,,"1,2",,,,1,,
piao1~yao2,嫖姚,嫖姚,BR,piao1~yao2,嫖,姚,,,"2,4247","13,0963",,,2,0,,
rong2~yu3,容與,容与,BR,rong2~yu3,容,与,,,"475,8667","962,0346",,,58,18,,
liao2~luo4,寥落,寥落,BR,liao2~luo4,寥,落,,,3363,"304,3951",,,2,111,,
kang1~lang2,㝩㝗,㝩㝗,BR,kang1~lang2,㝩,㝗,,,,,,,,,,
kang1~liang2,㝩梁,㝩梁,BR,kang1~liang2,㝩,梁,,,,"31,1111",,,,23,,
ju2~cu4,局促,局促,BR,ju2~cu4,局,促,,,"196,2815","77,8815",,,90,16,,
qi2~yi2,岐嶷,岐嶷,BR,qi2~yi2,岐,嶷,,,1516,,,,0,,,
tiao2~di4,岧嵽,岧嵽,BR,tiao2~di4,岧,嵽,,,,,,,,,,
tiao2~yao2,岧嶤,岧嶤,BR,tiao2~yao2,岧,嶤,,,,,,,,,,
ju3~yu3,岨峿,岨峿,BR,ju3~yu3,岨,峿,,,,,,,,,,
tiao2~di4,岹嵽,岹嵽,BR,tiao2~di4,岹,嵽,,,,,,,,,,
tiao2~yao2,岹嶤,岹嶤,BR,tiao2~yao2,岹,嶤,,,,,,,,,,
