pinyinnum,traditional,simplified,morph,morphnew,pinyinnum_1,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,morphnew
tan4,嘆,叹,A,A,tan4,叹,,,,38158,,,,21,,,,A
xu1,吁,吁,A,A,xu1,吁,,,,"4,4691",,,,5,,,,A
fei4,吠,吠,A,A,fei4,吠,,,,2558,,,,1,,,,A
zha4,咤,咤,A,A,zha4,咤,,,,"0,6519",,,,1,,,,A
zi1,咨,咨,A,A,zi1,咨,,,,"10,7951",,,,3,,,,A
xiu1,咻,咻,A,A,xiu1,咻,,,,"2,2173",,,,0,,,,A
wa1,哇,哇,A,A,wa1,哇,,,,"204,4444",,,,5,,,,A
xi1,唏,唏,A,A,xi1,唏,,,,2558,,,,1,,,,A
xiao4,嘯,啸,A,A,xiao4,啸,,,,"19,2889",,,,4,,,,A
kui4,喟,喟,A,A,kui4,喟,,,,,,,,,,,,A
xiao1,嗃,嗃,A,A,xiao1,嗃,,,,,,,,,,,,A
jie1,嗟,嗟,A,A,jie1,嗟,,,,"0,9679",,,,2,,,,A
shu4,嗽,嗽,A,A,shu4,嗽,,,,"18,4593",,,,1,,,,A
sou4,嗽,嗽,A,A,sou4,嗽,,,,"18,4593",,,,1,,,,A
sou3,嗾,嗾,A,A,sou3,嗾,,,,,,,,,,,,A
xu1,噓,嘘,A,A,xu1,嘘,,,,"19,2938",,,,3,,,,A
ying1,嚶,嘤,A,A,ying1,嘤,,,,"5,2494",,,,1,,,,A
si1,嘶,嘶,A,A,si1,嘶,,,,"3,5556",,,,5,,,,A
xi1,嘻,嘻,A,A,xi1,嘻,,,,"65,7778",,,,3,,,,A
ti4,嚏,嚏,A,A,ti4,嚏,,,,"6,8296",,,,3,,,,A
xi4,嚱,嚱,A,A,xi4,嚱,,,,,,,,,,,,A
kai4,愾,忾,A,A,kai4,忾,,,,"0,1086",,,,0,,,,A
yi4,抑,抑,A,A,yi4,抑,,,,"33,1309",,,,8,,,,A
que4,搉,搉,A,A,que4,搉,,,,,,,,,,,,A
xi1,欷,欷,A,A,xi1,欷,,,,,,,,,,,,A
ai3,欸,欸,A,A,ai3,欸,,,,"1,5111",,,,0,,,,A
tan4,歎,歎,A,A,tan4,歎,,,,,,,,,,,,A
yin3,殷,殷,A,A,yin3,殷,,,,"4,4593",,,,5,,,,A
xi1,淅,淅,A,A,xi1,淅,,,,,,,,,,,,A
dong4,湩,湩,A,A,dong4,湩,,,,,,,,,,,,A
shu4,漱,漱,A,A,shu4,漱,,,,"6,3457",,,,3,,,,A
si1,澌,澌,A,A,si1,澌,,,,,,,,,,,,A
yi1,猗,猗,A,A,yi1,猗,,,,,,,,,,,,A
xu1,砉,砉,A,A,xu1,砉,,,,,,,,,,,,A
ping1,砯,砯,A,A,ping1,砯,,,,,,,,,,,,A
lang2,硠,硠,A,A,lang2,硠,,,,,,,,,,,,A
tian2,磌,磌,A,A,tian2,磌,,,,,,,,,,,,A
que4,礐,礐,A,A,que4,礐,,,,,,,,,,,,A
hua4,繣,繣,A,A,hua4,繣,,,,,,,,,,,,A
xi4,翕,翕,A,A,xi4,翕,,,,,,,,,,,,A
mi3,羋,芈,A,A,mi3,芈,,,,,,,,,,,,A
hong1,訇,訇,A,A,hong1,訇,,,,"0,1975",,,,1,,,,A
qiong2,跫,跫,A,A,qiong2,跫,,,,,,,,,,,,A
xuan4,鋗,鋗,A,A,xuan4,鋗,,,,,,,,,,,,A
tang1,鏜,镗,A,A,tang1,镗,,,,"0,0444",,,,0,,,,A
tang2,闛,闛,A,A,tang2,闛,,,,,,,,,,,,A
gou1,雊,雊,A,A,gou1,雊,,,,,,,,,,,,A
huo4,霍,霍,A,A,huo4,霍,,,,"39,7333",,,,3,,,,A
fu4,馥,馥,A,A,fu4,馥,,,,,,,,,,,,A
huo1,騞,騞,A,A,huo1,騞,,,,,,,,,,,,A
bo2,魄,魄,A,A,bo2,魄,,,,"9,8716",,,,7,,,,A
yao3,鷕,鷕,A,A,yao3,鷕,,,,,,,,,,,,A
ta4,䶀,䶀,A,A,ta4,䶀,,,,,,,,,,,,A
ding1,丁,丁,A,A,ding1,丁,,,,"65,2543",,,,34,,,,A
dong1,東,东,A,A,dong1,东,,,,"805,9358",,,,101,,,,A
ping1,乒,乒,A,A,ping1,乒,,,,"3,8272",,,,5,,,,A
pang1,乓,乓,A,A,pang1,乓,,,,"3,9506",,,,5,,,,A
liang4,亮,亮,A,A,liang4,亮,,,,"441,8864",,,,38,,,,A
qi1~qi1,萋萋,萋萋,RED,A,qi1~qi1,x,,,,,,,,,,,,A
ke4,克,克,,A,ke4,克,,,,"612,6568",,,,37,,,,A
dong1,冬,冬,,A,dong1,冬,,,,"220,0049",,,,37,,,,A
lin3,凜,凛,,A,lin3,凛,,,,"2,0691",,,,4,,,,A
kai3,凱,凯,,A,kai3,凯,,,,87279,,,,3,,,,A
qie1,切,切,,A,qie1,切,,,,"555,2889",,,,58,,,,A
gua1,刮,刮,,A,gua1,刮,,,,"33,5012",,,,9,,,,A
shua1,刷,刷,,A,shua1,刷,,,,"149,0963",,,,20,,,,A
ci1,刺,刺,,A,ci1,刺,,,,"148,0593",,,,28,,,,A
ci4,刺,刺,,A,ci4,刺,,,,"148,0593",,,,28,,,,A
bo1,剝,剥,,A,bo1,剥,,,,"15,5111",,,,7,,,,A
pi1,劈,劈,,A,pi1,劈,,,,"9,2642",,,,7,,,,A
peng1,匉,匉,,A,peng1,匉,,,,,,,,,,,,A
bu3,卜,卜,,A,bu3,卜,,,,53284,,,,9,,,,A
kou4,叩,叩,,A,kou4,叩,,,,"1,7235",,,,4,,,,A
ba1,叭,叭,,A,ba1,叭,,,,"7,4321",,,,6,,,,A
ding1,叮,叮,,A,ding1,叮,,,,"14,0988",,,,5,,,,A
tai2,台,台,,A,tai2,台,,,,412316,,,,107,,,,A
hao2,號,号,,A,hao2,号,,,,"436,8296",,,,106,,,,A
ji1,嘰,叽,,A,ji1,叽,,,,5758,,,,5,,,,A
yu1,吁,吁,,A,yu1,吁,,,,"4,4691",,,,5,,,,A
he1,吓,吓,,A,he1,吓,,,,"96,8889",,,,9,,,,A
tun1,吞,吞,,A,tun1,吞,,,,"23,0025",,,,18,,,,A
yin2,吟,吟,,A,yin2,吟,,,,8,,,,9,,,,A
bi3,吡,吡,,A,bi3,吡,,,,"0,5037",,,,1,,,,A
