pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,morph,variant,Kroll,sensorymod,zdic,note,datasource,morphology
pu3~su4,pǔ~sù,pu~su,朴簌,朴簌,phaewk~suwk,NA~NA,"NA",BR,"NA","(med.) falling in profusion; also, onom. of birds' wings in brisk flight, pfuut-suut",SOUND,"NA","NA",Kroll,NA
peng1~pai4,pēng~pài,peng~pai,澎湃,澎湃,phaeng~pheajH,NA~NA,水,BR,"NA","onom. of crashing and colliding, roaring and rushing of waves",SOUND,波濤相衝擊的聲音或氣勢。文明小史．第五十三回：「華嚴上更有一樁奇景，就是瀑布，有二千多丈寬，七十多丈長，望上去煙雲繚繞，底下漭騰澎湃，有若雷鳴。」清．呂碧城．瑞鶴仙．瘴風寬蕙帶詞：「戰松林萬翠鳴秋，併作怒濤澎湃。」近滂澎、汹湧亦作「彭湃」。比喻聲勢浩大，氣勢壯闊。如：「思湧澎湃」、「勢情澎湃」。亦作「彭湃」。,"NA",Kroll,NA
peng1~pi4,pēng~pì,peng~pi,澎濞,澎濞,phaeng~phijH,NA~NA,水,BR,"NA","onom. of crashing and colliding, roaring and rushing of waves",SOUND,狀聲詞。形容水聲。文選．馬融．長笛賦：「爭湍苹縈，汩活澎濞。」,"NA",Kroll,NA
xiao1~sa3,xiāo~sǎ,xiao~sa,瀟灑,潇灑,sew~sreajX,NA~*Cə.s<r>ərʔ (MC srj- > sr-),水,BR,"瀟灑, 蕭灑","carefree and detached; onom. of light rain, softly sprinkling",SOUND,形容人清高絕俗、灑脫不羈。唐．杜甫．飲中八僊歌：「宗之瀟灑美少年，舉觴白眼望青天。」紅樓夢．第四回：「三則公私冗雜，且素性瀟灑，不以俗務為要。」近飄逸、俊逸、超脫、灑脫反呆鈍、落拓亦作「蕭灑」。淒涼、悲楚。宋．周邦彥．塞垣春．暮色分平野詞：「漸別離氣味難禁也，更物象，供瀟灑。」元．王修甫．鬥鵪鶉．闕蓋荷枯套．小桃紅曲：「西風夜送廉纖雨，清燈一點，知人瀟灑，相伴影兒孤。」,"NA",Kroll,NA
peng1~ke1,pēng~kē,peng~ke,硼磕,硼磕,pheang~khajH,NA~NA,石,BR,"NA","onom. of te rumble of thunder; also, of many instruments sounding in concert",SOUND,"NA",not sure about morph,Kroll,NA
peng1~yin3,pēng~yǐn,peng~yin,硼隱,硼隐,pheang~'j+nH,NA~*[ʔ](r)ə[n]ʔ,"NA",BR,"NA",onom. of the booming reverberation of drms,SOUND,"NA",not sure about morph,Kroll,NA
que4~ke4,què~kè,que~ke,礐硞,礐硞,khaewk~kheak,NA~NA,石,BR,"NA",(med.) onom. of water running over rapids or breaking against rocks,SOUND,"NA","NA",Kroll,NA
xiao1~sa3,xiāo~sǎ,xiao~sa,蕭灑,萧灑,sew~sreajX,*sˤiw~*Cə.s<r>ərʔ (MC srj- > sr-),"NA",BR,"瀟灑, 蕭灑","carefree and detached; onom. of light rain, softly sprinkling",SOUND,形容人清高絕俗、灑脫不羈。文選．孔稚珪．北山移文：「夫以耿介拔俗之標，蕭灑出塵之想，度白雪以方絜，干青雲而直上，吾方知之矣。」近飄逸、灑脫反土氣、拘泥亦作「瀟灑」。,"NA",Kroll,NA
chan2~chu2,chán~chú,chan~chu,蟾蜍,蟾蜍,dzyem~syo,NA~NA,虫,BR,"NA",toad name onomatopoeic of its croak,SOUND,動物名。兩棲綱無尾目蟾蜍科。體型肥大，性遲緩，不能鳴，常棲於陰溼之地。皮膚有疣，可分泌毒液。或稱為「癩蛤蟆」、「戚施」、「詹諸」。語出淮南子．精神：「日中有踆烏，而月中有蟾蜍。」後用為月亮的代稱。唐．劉商．胡笳十八拍．第十一拍：「幾回鴻雁來又去，腸斷蟾蜍虧復圓。」元．白樸．牆頭馬上．第二折：「月也你本細如弓一半兒蟾蜍，卻休明如鏡照三千世界。」,animal,Kroll,NA
liao2~li4,liáo~lì,liao~li,飂戾,飂戾,lew~ljejH,NA~*[r]ˤe[t]-s,"NA",BR,"NA","onom. Wind, soughing silibance, whizzing and whoosing; rapidly passing",SOUND,迅速。後漢書．卷五十九．張衡傳：「戫汨飂戾沛以罔象兮，爛漫麗靡藐以迭逿。」狀聲詞。形容風的聲音。文選．潘岳．西征賦：「吐清風之飂戾，納歸雲之鬱蓊。」,cf. 漻浰,Kroll,NA
hong1~leng2,hōng~léng,hong~leng,輷輘,輷輘,xong~long,NA~NA,車,RR,"NA",onom. of ruble and rattle of carriages and thunder,SOUND,"NA","NA",Kroll,NA
ying1~ying1,yīng~yīng,ying~ying,嚶嚶,嘤嘤,'eang~’eang,NA~NA,口,RED,"NA","onom. of small bells attached to carriage or horse, “ying-ging”",SOUND,狀聲詞：(1)​ 形容禽鳥和鳴的聲音。詩經．小雅．伐木：「伐木丁丁，鳥鳴嚶嚶。」南朝梁．吳均．與朱元思書：「好鳥相鳴，嚶嚶成韻。」(2)​ 形容低語聲。西遊記．第二十回：「只見一老者，斜倚竹床之上，口裡嚶嚶的念佛。」聊齋志異．卷四．辛十四娘：「聞房內嚶嚶膩語，生乘醉搴簾。」(3)​ 形容低泣聲。聊齋志異．卷一．青鳳：「尾而聽之，訶詬萬端。聞青鳳嚶嚶啜泣。」(4)​ 形容清脆而細的聲音。漢．陳琳．神女賦：「文絳虯之奕奕，鳴玉鸞之嚶嚶。」比喻朋友間志趣相投。文選．謝瞻．於安城答靈運詩：「華萼相光飾，嚶嚶悅同響。」,"NA",Kroll,NA
lu4~lu4,lù~lù,lu~lu,碌碌,碌碌,luwk~luwk,NA~NA,石,RED,"NA","rough and unworked (of stones or gems); also, crude and common, banal and ordinary; (med.) also, onom. of grumble and groan of cart-wheels, creak and rattle",SOUND,平庸的樣子。後漢書．卷八十．文苑傳下．禰衡傳：「餘子碌碌，莫足數也。」三國演義．第二十一回：「此等碌碌小人，何足挂齒。」或作「逯逯」、「錄錄」、「陸陸」。忙碌、奔波。紅樓夢．第二十二回：「從前碌碌卻因何？到如今，回頭試想真無趣。」狀聲詞。形容車行的聲音。唐．賈島．古意詩：「碌碌復碌碌，百年雙轉轂。」亦作「轆轆」。形容玉石的色彩美麗。南朝梁．劉勰．文心雕龍．總術：「落落之玉，或亂乎石；碌碌之石，時似乎玉。」才氣洋溢。南朝宋．劉義慶．世說新語．識鑒：「唯阿奴碌碌，當在阿母目下耳。」,"NA",Kroll,NA
hong1~hong1,hōng~hōng,hong~hong,輷輷,輷輷,xong~xong,NA~NA,車,RED,"NA",onom. of rumble of thunder or heavy carriages,SOUND,"NA","NA",Kroll,NA
ling2~ling2,líng~líng,ling~ling,鈴鈴,铃铃,leng~leng,NA~NA,金,RED,"NA","grelot, folly-bell, croatal, jingler, small clapper-bells used on horses or carriages.: onom. of sound of preceding",SOUND,"NA","NA",Kroll,NA
zheng1~zheng1,zhēng~zhēng,zheng~zheng,丁丁,丁丁,tsreng~tsreng,*tˤeŋ~*tˤeŋ,"NA",RED,"NA",onom. Axe hitting a tree,SOUND,狀聲詞：(1)​ 形容伐木的聲音。詩經．小雅．伐木：「伐木丁丁，鳥鳴嚶嚶。」(2)​ 形容下雨的聲音。唐．元稹．景申秋詩八首之三：「嗢嗢簷霤凝，丁丁窗雨繁。」(3)​ 形容樂器彈奏的聲音。唐．許渾．聽琵琶詩：「欲寫明妃萬里情，紫槽紅撥夜丁丁。」(4)​ 形容下棋的聲音。宋．王禹偁．黃州新建小竹樓記：「宜圍棋，子聲丁丁然。」,"NA",Kroll,NA
leng3~leng3,lěng~lěng,leng~leng,冷冷,冷冷,lengX~lengX,NA~NA,冫,RED,"NA",onom. Zither playing clear and melodious notes,SOUND,寒冷。宋．王偊偁．李太白真讚序：「冷冷碧江，下浸秋石。」態度冷漠。如：「他只對她冷冷的一笑，一句寒暄的話也不肯說。」,"NA",Kroll,NA
la4~la1,là~lā,la~la,剌剌,剌剌,lat~lat,*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),刀,RED,"NA",onom. Gusting or lapping wind,SOUND,狀聲詞。形容風聲或拍擊聲。唐．李商隱．送千牛李將軍赴闕五十韻：「去程風剌剌，別夜漏丁丁。」語助詞。表示加重語氣。元．王曄．桃花女．第三折：「倒做這等魘鎮事，欺心剌剌的。我不去！我不去！」紅樓夢．第二十六回：「薛蟠道：『越發說的人熱剌剌的丟不下。』」,"NA",Kroll,NA
sou3~sou3,sǒu~sǒu,sou~sou,叟叟,叟叟,sjuw~sjuw,*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX)~*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX),"NA",RED,"NA",onom. of washing rice: shyoo-shyoo,SOUND,狀聲詞。形容淘米的聲音。詩經．大雅．生民：「釋之叟叟，烝之浮浮。」亦作「溲溲」。,radical support?,Kroll,NA
you1~you1,yōu~yōu,you~you,呦呦,呦呦,'jiw~'jiw,NA~NA,口,RED,"NA",onom. of the bleating or mewing of dee: nyaaoo-nyaaoo; (med.) onom. of weeping: ngew-ngew,SOUND,狀聲詞。形容鹿鳴聲。詩經．小雅．鹿鳴：「呦呦鹿鳴，食野之苹。」唐．李頎．聽董大彈胡笳兼寄語弄房給事詩：「迸泉颯颯飛木末，野鹿呦呦走堂下。」,"NA",Kroll,NA
ji1~ji1,jī~jī,ji~ji,唧唧,唧唧,tsik~tsik,NA~NA,口,RED,"NA","onom. Sigh of sadness or admiration; onom. Bird's chirping, cicada's humming, cricket's chirping",SOUND,狀聲詞：(1)​ 形容機杼聲或嘆息聲。南朝梁．無名氏．木蘭詩二首之一：「唧唧復唧唧，木蘭當戶織。不聞機杼聲，唯聞女歎息。」(2)​ 形容嘆息聲。唐．白居易．琵琶行：「我聞琵琶已嘆息，又聞此語重唧唧。」(3)​ 形容蟲鳴聲。唐．王維．青雀歌：「猶勝黃雀爭上下，唧唧空倉復若何。」唐．李郢．宿杭州虛白堂詩：「秋月斜明虛白堂，寒蛩唧唧樹蒼蒼。」(4)​ 形容鳥鳴聲。唐．劉禹錫．鶗鴂吟：「如何上春日，唧唧滿庭飛。」(5)​ 形容哭泣聲。宋．蘇軾．岐亭詩五首之一：「醒時夜向闌，唧唧銅缾泣。」,"NA",Kroll,NA
e4~e4,è~è,e~e,啞啞,哑哑,'eak~'eak,*ʔˤraʔ~*ʔˤraʔ,口,RED,"NA","onom. of laughter, heh-heh",SOUND,狀聲詞：(1)​ 形容小兒學語聲。唐．于鵠．古詞三首之二：「新長青絲髮，啞啞言語黠。」聊齋志異．卷二．口技：「小兒啞啞，貓貓唔唔。」(2)​ 形容鳥鳴聲。淮南子．原道：「故夫烏之啞啞，鵲之唶唶，豈嘗為寒暑燥溼，變其聲哉。」唐．白居易．慈烏夜啼詩：「慈烏失其母，啞啞吐哀音。」(3)​ 形容車聲。宋．陸游．滄灘詩：「嘔嘔啞啞車轉急，舟人已在沙際立。」狀聲詞。形容笑聲。易經．震卦．初九：「震來虩虩，後笑言啞啞，吉。」清．張爾岐．蒿庵集．卷一：「今夫人生而呱呱以啼，啞啞以笑。」,"NA",Kroll,NA
