traditional,radsup,radsupNEW,morphology
丁,NA,NA,A
乒,NA,NA,A
乓,NA,NA,A
亮,NA,NA,A
克,NA,NA,A
冬,NA,NA,A
凜,NA,NA,A
凱,NA,NA,A
切,NA,NA,A
刮,NA,NA,A
刷,NA,NA,A
刺,NA,NA,A
剝,NA,NA,A
劈,NA,NA,A
匉,NA,NA,A
卜,NA,NA,A
叩,NA,口,A
叭,NA,口,A
叭兒,NA,口,A
叮,NA,口,A
台,NA,口,A
吁,口,口,A
吁,NA,口,A
吓,NA,口,A
吞,NA,口,A
吟,NA,口,A
吠,口,口,A
吡,NA,口,A
吧,NA,口,A
吭,NA,口,A
吱,NA,口,A
吼,NA,口,A
呀,NA,口,A
呃,NA,口,A
呢,NA,口,A
呱,NA,口,A
呵,NA,口,A
呸,NA,口,A
呼,NA,口,A
咄,NA,口,A
咔,NA,口,A
咕,NA,口,A
咚,NA,口,A
咣,NA,口,A
咤,口,口,A
咦,NA,口,A
咨,口,口,A
咩,NA,口,A
咪,NA,口,A
咯,NA,口,A
咳,NA,口,A
咴,NA,口,A
咻,口,口,A
咻,NA,口,A
哄,NA,口,A
哆,NA,口,A
哇,口,口,A
哇,NA,口,A
哈,NA,口,A
哎,NA,口,A
哐,NA,口,A
哞,NA,口,A
哦,NA,口,A
哧,NA,口,A
哼,NA,口,A
唉,NA,口,A
唏,口,口,A
唏,NA,口,A
唦,NA,口,A
唧,NA,口,A
𠳐,NA,口,A
唯,NA,口,A
唰,NA,口,A
唷,NA,口,A
唿,NA,口,A
啄,NA,口,A
啊,NA,口,A
啞,NA,口,A
啪,NA,口,A
啷,NA,口,A
啾,NA,口,A
喀,NA,口,A
喃,NA,口,A
喇,NA,口,A
喈,NA,口,A
喔,NA,口,A
喟,NA,口,A
喲,NA,口,A
喳,NA,口,A
喵,NA,口,A
嗃,口,口,A
嗑,NA,口,A
嗒,NA,口,A
嗖,NA,口,A
嗚,NA,口,A
嗝,NA,口,A
嗞,NA,口,A
嗟,口,口,A
嗡,NA,口,A
嗤,NA,口,A
嗨,NA,口,A
嗫,NA,口,A
嗯,NA,口,A
嗵,NA,口,A
嗶,NA,口,A
嗷,NA,口,A
嗽,口,口,A
嗾,口,口,A
嘁,NA,口,A
嘆,口,口,A
嘈,NA,口,A
嘍,NA,口,A
嘎,NA,口,A
嘔,NA,口,A
嘖,NA,口,A
嘚,NA,口,A
嘞,NA,口,A
嘡,NA,口,A
嘣,NA,口,A
噓,口,口,A
噓,NA,口,A
㗫,NA,口,A
嘟,NA,口,A
嘩,NA,口,A
嘭,NA,口,A
嘯,口,口,A
嘯,NA,口,A
嘰,NA,口,A
嘶,口,口,A
嘶,NA,口,A
嘻,口,口,A
嘻,NA,口,A
嘿,NA,口,A
噌,NA,口,A
噔,NA,口,A
噗,NA,口,A
噝,NA,口,A
噠,NA,口,A
噢,NA,口,A
噥,NA,口,A
噦,NA,口,A
噹,NA,口,A
噼,NA,口,A
嚎,NA,口,A
嚏,口,口,A
嚏,NA,口,A
嚓,NA,口,A
嚕,NA,口,A
嚯,NA,口,A
嚱,口,口,A
嚶,口,口,A
嚶,NA,口,A
㘗,NA,口,A
囔,NA,口,A
宏,NA,NA,A
宗,NA,NA,A
巴,NA,NA,A
得,NA,NA,A
忒兒,NA,NA,A
念,NA,NA,A
怦,NA,忄,A
愾,心,忄,A
慶,NA,NA,A
扑,NA,NA,A
托,NA,NA,A
扭,NA,NA,A
抑,手,手,A
拍,NA,NA,A
搉,手,手,A
擦,NA,NA,A
東,NA,NA,A
梆,NA,NA,A
楞,NA,NA,A
橐,NA,NA,A
欷,NA,NA,A
欸,NA,NA,A
歎,欠,欠,A
殷,NA,NA,A
汪,NA,NA,A
沙,NA,NA,A
沸,NA,NA,A
淅,水,水,A
湩,水,水,A
湫,NA,NA,A
溜,NA,NA,A
滴,NA,NA,A
漱,水,水,A
潺,NA,NA,A
澌,水,水,A
濺,NA,NA,A
猗,NA,NA,A
獵,NA,NA,A
玲,NA,NA,A
琤,NA,NA,A
琮,NA,NA,A
瑟,NA,NA,A
瑢,NA,NA,A
璫,NA,NA,A
當,NA,NA,A
登,NA,NA,A
砉,NA,NA,A
砉,石,石,A
砯,石,石,A
砰,NA,NA,A
硜,NA,NA,A
硠,石,石,A
磅,NA,NA,A
磌,石,石,A
磕,NA,NA,A
磞,NA,NA,A
礐,NA,NA,A
礥,NA,NA,A
空,NA,NA,A
突,NA,NA,A
答,NA,NA,A
篤,NA,NA,A
簌,NA,NA,A
繣,糸,糸,A
羋,NA,NA,A
翕,羽,羽,A
耷,NA,NA,A
落,NA,NA,A
蓬,NA,NA,A
號,NA,口,A
蛐,NA,NA,A
訇,NA,NA,A
訇,言,言,A
諾,NA,NA,A
貓,NA,NA,A
跫,足,足,A
輷,NA,NA,A
轟,NA,NA,A
通,NA,NA,A
邦,NA,NA,A
鈴,NA,NA,A
鋗,金,金,A
錚,NA,NA,A
鍠,NA,NA,A
鍧,NA,NA,A
鏘,NA,NA,A
鏜,NA,NA,A
鏜,金,金,A
鐺,NA,NA,A
閛,NA,NA,A
閶,NA,NA,A
闛,NA,NA,A
闛,門,門,A
隆,NA,NA,A
雊,NA,NA,A
霍,NA,NA,A
霍,雨,雨,A
鞺,NA,NA,A
颯,NA,NA,A
颼,NA,NA,A
馥,香,香,A
騞,馬,馬,A
騰,NA,NA,A
魄,NA,NA,A
鷕,鳥,鳥,A
䶀,NA,NA,A
齁,NA,NA,A
丁零零,NA,NA,ARR
不剌剌,NA,NA,ARR
不喇喇,NA,NA,ARR
不朗朗,NA,NA,ARR
不琅琅,NA,NA,ARR
克匝匝,NA,NA,ARR
刮喇喇,NA,NA,ARR
刷啦啦,NA,NA,ARR
勃喇喇,NA,NA,ARR
卒律律,NA,NA,ARR
古剌剌,NA,NA,ARR
古都都,NA,NA,ARR
古魯魯,NA,NA,ARR
古鹿鹿,NA,NA,ARR
叭啦啦,NA,口,ARR
叭噠噠,NA,口,ARR
叮呤呤,NA,口,ARR
叮當當,NA,NA,ARR
叮鈴鈴,NA,NA,ARR
可丕丕,NA,NA,ARR
可扑扑,NA,NA,ARR
吃丕丕,NA,NA,ARR
吃忒忒,NA,NA,ARR
各剌剌,NA,NA,ARR
各支支,NA,NA,ARR
各琅琅,NA,NA,ARR
合剌剌,NA,NA,ARR
吉蹬蹬,NA,NA,ARR
吱嘍嘍,NA,口,ARR
吱婁婁,NA,NA,ARR
吱扭扭,NA,NA,ARR
吸力力,NA,NA,ARR
吸哩哩,NA,口,ARR
吸淋淋,NA,NA,ARR
呱啦啦,NA,口,ARR
呼啦啦,NA,口,ARR
呼喇喇,NA,口,ARR
呼噠噠,NA,口,ARR
呼嚕嚕,NA,口,ARR
咔叭叭,NA,口,ARR
咔啦啦,NA,口,ARR
咔嚓嚓,NA,口,ARR
咕冬冬,NA,NA,ARR
咕咚咚,NA,口,ARR
咕啷啷,NA,口,ARR
咕㖨㖨,NA,口,ARR
咕嘟嘟,NA,口,ARR
咕嚕嚕,NA,口,ARR
咕碌碌,NA,NA,ARR
咕隆隆,NA,NA,ARR
咯吱吱,NA,口,ARR
咯喳喳,NA,口,ARR
咯嘣嘣,NA,口,ARR
咯塔塔,NA,NA,ARR
咯辣辣,NA,NA,ARR
咴嘔嘔,NA,口,ARR
哇呀呀,NA,口,ARR
哐啷啷,NA,口,ARR
哐當當,NA,NA,ARR
唰哩哩,NA,口,ARR
唰啦啦,NA,口,ARR
唿喇喇,NA,口,ARR
唿嚕嚕,NA,口,ARR
唿隆隆,NA,NA,ARR
喝嘍嘍,NA,口,ARR
喳啦啦,NA,口,ARR
嗗㖨㖨,NA,口,ARR
嗗碌碌,NA,NA,ARR
嗚呀呀,NA,口,ARR
嗚哈哈,NA,口,ARR
嗤溜溜,NA,NA,ARR
嗶剝剝,NA,NA,ARR
嘀嚦嚦,NA,口,ARR
嘎啦啦,NA,口,ARR
嘎喳喳,NA,口,ARR
嘎嘣嘣,NA,口,ARR
嘎噔噔,NA,口,ARR
嘓嘟嘟,NA,口,ARR
嘟噌噌,NA,口,ARR
嘩啦啦,NA,口,ARR
嘩啷啷,NA,口,ARR
嘩喇喇,NA,口,ARR
嘰喳喳,NA,口,ARR
嘶啦啦,NA,口,ARR
嘶拉拉,NA,NA,ARR
嘶沙沙,NA,NA,ARR
噔棱棱,NA,NA,ARR
噗咚咚,NA,口,ARR
噗嗒嗒,NA,口,ARR
噗嚕嚕,NA,口,ARR
噗拉拉,NA,NA,ARR
噗碌碌,NA,NA,ARR
噶吱吱,NA,口,ARR
噼啪啪,NA,口,ARR
土魯魯,NA,NA,ARR
圪嗒嗒,NA,NA,ARR
圪嘣嘣,NA,NA,ARR
圪察察,NA,NA,ARR
屹剌剌,NA,NA,ARR
