traditional,simplified,pyoriginal,pinyintone,pinyinnum,morphology,sensorymod,datasource,inbetween,same
丁丁,丁丁,zhēng zhēng,zhēng~zhēng,zheng1~zheng1,REDUPLICATION,SOUND,Shijing,dīngdīng,different
丁丁,丁丁,zhēng zhēng,zhēng~zhēng,zheng1~zheng1,REDUPLICATION,SOUND,Shijing,dīngdīng,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+FEELING,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+FEELING,Shijing,yújiē,different
于嗟乎,于嗟乎,yú jiē hū,yú~jiē~hū,yu2~jie1~hu1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē~hū,different
于嗟乎,于嗟乎,yú jiē hū,yú~jiē~hū,yu2~jie1~hu1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē~hū,different
于嗟乎,于嗟乎,yú jiē hū,yú~jiē~hū,yu2~jie1~hu1,DIFFERENT,SOUND+FEELING,Shijing,yújiē~hū,different
于嗟乎,于嗟乎,yú jiē hū,yú~jiē~hū,yu2~jie1~hu1,DIFFERENT,SOUND+FEELING,Shijing,yújiē~hū,different
亹亹,亹亹,mén mén,mén~mén,men2~men2,REDUPLICATION,EVALUATION,Shijing,wěiwěi,different
亹亹,亹亹,mén mén,mén~mén,men2~men2,REDUPLICATION,EVALUATION,Shijing,wěiwěi,different
仇仇,仇仇,chóu chóu,chóu~chóu,chou2~chou2,REDUPLICATION,EVALUATION,Shijing,chóuchóu,different
仡仡,仡仡,yì yì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL,Shijing,yìyì,different
令令,令令,lìng lìng,lìng~lìng,ling4~ling4,REDUPLICATION,SOUND,Shijing,lìnglìng,different
伎伎,伎伎,jì jì,jì~jì,ji4~ji4,REDUPLICATION,MOVEMENT,Shijing,jìjì,different
休休,休休,xiū xiū,xīu~xīu,xiu1~xiu1,REDUPLICATION,EVALUATION,Shijing,xīuxīu,different
伴奐,伴奂,bàn huàn,bàn~huàn,ban4~huan4,RHYME,EVALUATION,Shijing,bànhuàn,different
伾伾,伾伾,pī pī,pī~pī,pi1~pi1,REDUPLICATION,VISUAL+EVALUATION,Shijing,pīpī,different
佌佌,佌佌,cǐ cǐ,cǐ~cǐ,ci3~ci3,REDUPLICATION,VISUAL,Shijing,cǐcǐ,different
佗佗,佗佗,tuó tuó,tuó~tuó,tuo2~tuo2,REDUPLICATION,EVALUATION,Shijing,tuótuó,different
佻佻,佻佻,tiāo tiāo,tiāo~tiāo,tiao1~tiao1,REDUPLICATION,EVALUATION,Shijing,tiāotiāo,different
俁俁,俣俣,yǔ yǔ,yǔ~yǔ,yu3~yu3,REDUPLICATION,VISUAL,Shijing,yǔyǔ,different
俅俅,俅俅,qiú qiú,qíu~qíu,qiu2~qiu2,REDUPLICATION,EVALUATION,Shijing,qíuqíu,different
俟俟,俟俟,sì sì,sì~sì,si4~si4,REDUPLICATION,MOVEMENT,Shijing,sìsì,different
倉兄,仓兄,chuànghuǎng,chuàng~huǎng,chuang4~huang3,RHYME,FEELING,Shijing,cāngxiōng~ ~c~h~u~à~n~g~h~u~a~3~n~g,different
偃仰,偃仰,yǎn yǎng,yǎn~yǎng,yan3~yang3,RHYME,VISUAL,Shijing,yǎnyǎng,different
偕偕,偕偕,xié xié,xié~xié,xie2~xie2,REDUPLICATION,EVALUATION,Shijing,xiéxié,different
傍傍,傍傍,bàng bàng,bàng~bàng,bang4~bang4,REDUPLICATION,MOVEMENT,Shijing,bàngbàng,different
傞傞,傞傞,suō suō,suō~suō,suo1~suo1,REDUPLICATION,MOVEMENT,Shijing,suōsuō,different
僊僊,仙仙,xiān xiān,xiān~xiān,xian1~xian1,REDUPLICATION,MOVEMENT,Shijing,xiānxiān,different
僛僛,僛僛,qī qī,qī~qī,qi1~qi1,REDUPLICATION,MOVEMENT,Shijing,qīqī,different
僮僮,童童,tóng tóng,tóng~tóng,tong2~tong2,REDUPLICATION,VISUAL,Shijing,tóngtóng,different
儦儦,儦儦,biāo biāo,biāo~biāo,biao1~biao1,REDUPLICATION,MOVEMENT+VISUAL,Shijing,biāobiāo,different
儦儦,儦儦,biāo biāo,biāo~biāo,biao1~biao1,REDUPLICATION,MOVEMENT+VISUAL,Shijing,biāobiāo,different
優優,优优,yōu yōu,yōu~yōu,you1~you1,REDUPLICATION,EVALUATION,Shijing,yōuyōu,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,VISUAL+EVALUATION,Shijing,jīngjīng,different
冥冥,冥冥,míng míng,míng~míng,ming2~ming2,REDUPLICATION,VISUAL,Shijing,míngmíng,different
几几,几几,jǐ jǐ,jī~jī,ji1~ji1,REDUPLICATION,EVALUATION,Shijing,jījī,different
切切,切切,qièqiè,qiē~qiē,qie1~qie1,RED,SOUND,Tang,qiēqiē,different
勉勉,勉勉,miǎn miǎn,miǎn~miǎn,mian3~mian3,REDUPLICATION,EVALUATION,Shijing,miǎnmiǎn,different
卬卬,卬卬,áng áng,áng~áng,ang2~ang2,REDUPLICATION,EVALUATION,Shijing,ángáng,different
厭厭,厌厌,yàn yàn,yàn~yàn,yan4~yan4,REDUPLICATION,FEELING,Shijing,yànyàn,different
厭厭,厌厌,yàn yàn,yàn~yàn,yan4~yan4,REDUPLICATION,FEELING,Shijing,yànyàn,different
厭厭,厌厌,yàn yàn,yàn~yàn,yan4~yan4,REDUPLICATION,VISUAL,Shijing,yànyàn,different
厭厭,厌厌,yàn yàn,yàn~yàn,yan4~yan4,REDUPLICATION,VISUAL+EVALUATION,Shijing,yànyàn,different
參差,参差,cēncī,cēn~cī,cen1~ci1,ALLIT,MOVEMENT+EVALUATION,Tang,cānchà,different
參差,参差,cēncī,cēn~cī,cen1~ci1,ALLITERATION,VISUAL,Shijing,cānchà,different
參差,参差,cēncī,cēn~cī,cen1~ci1,ALLITERATION,VISUAL,Shijing,cānchà,different
參差,参差,cēncī,cēn~cī,cen1~ci1,ALLITERATION,VISUAL,Shijing,cānchà,different
反反,反反,fǎn fǎn,fǎn~fǎn,fan3~fan3,REDUPLICATION,EVALUATION,Shijing,fǎnfǎn,different
