type,item,meaning,example
ideo,丁寧,4.言語懇切貌。  ,  唐 張籍 《臥疾》詩： “童僕各憂愁， 杵臼無停聲。 見我形憔悴， 勸藥語丁寧。” 
ideo,丁東,2.癟塌貌。  ,  清 褚人穫 《堅瓠補集‧嘲齆鼻》： “雖是五官畢具， 可憐鼻不通風。 印堂底下癟丁東， 五味馨香難哄。”
prov,七大八小,2.零落貌。  ,《紅樓夢》第一○八回： “﹝ 寶玉 ﹞心裏想： ‘這十二釵說是 金陵 的， 怎麼我家這些人， 如今七大八小的就剩了這幾個？’” 
prov,七手八腳,1.動作忙亂貌。 ; 2.眾人一起動手貌。  ,《五燈會元‧徑山杲禪師法嗣‧育王德光禪師》： “上堂七手八腳， 三頭兩面， 耳聽不聞， 眼覷不見， 苦樂逆順， 打成一片。” ; 《紅樓夢》第二六回： “眾小廝七手八腳， 擺了半天， 方才停當歸坐。” 
prov,七長八短,1.長短高低不齊貌。 ; 2.零落不全貌。  ,《水滸傳》第六三回： “左有 顧大嫂 ， 右有 孫二娘 ， 引一千餘軍馬， 都是七長八短漢， 四山五嶽人。” ;   柳青 《銅墻鐵壁》第三章： “‘這村裏就這幾個七長八短的人手。 ’ 曹安本 盡量把在家的人手說得不行， 不安地一眼盯着專員。” 
prov,七零八落,1.散亂；不整齊貌。 ; 2.破敗、破殘貌。  ,《五燈會元‧泐潭澄禪師法嗣‧有文禪師》： “無味之談， 七零八落。” ; 《宣和遺事》前集： “﹝ 李師師 ﹞一片心只待求食巴謾， 兩隻手偏會拏雲握霧， 便有富貴郎君， 也使得七零八落。” 
saying,不勝衣,2.謙恭退讓貌。  ,《禮記‧檀弓下》： “ 文子 其中退然如不勝衣， 其言吶吶然如不出其口。” 
saying,不顯,3.盛大貌。 不， 通“ 丕 ”。  ,《詩‧周頌‧清廟》： “不顯不承， 無射於人斯。” 
Q,且,1.多貌。  ; 2.恭敬貌。  ,《詩‧大雅‧韓奕》： “籩豆有且， 侯氏燕胥。” ; 《詩‧周頌‧有客》： “有萋有且， 敦琢其旅。” 
ideo,丘墟,6.堆壟不平貌。  ,NA
ideo,中中,3.不偏不倚貌。  ,  宋 蘇轍 《書＜楞嚴經＞後》： “每趺坐燕安， 覺外塵引起六根， 根若隨去， 即墮生死道中。 根若不隨， 返流全一， 中中流入， 即是涅槃真際。”
Q,乙,1.物屈曲生長貌。  ,《史記‧律書》： “其於十母為甲乙。 甲者， 言萬物剖符甲而出也；乙者， 言萬物生軋軋也。” 
ideo,乙乙,1.難出之貌。 ,《說文‧乙部》： “乙， 像春艸木冤曲而出， 陰氣尚強， 其出乙乙也。” 
ideo,乜斜,4.走路踉蹌跌沖貌。  ,  元 王元鼎 《河西後庭花》套曲： “走將來乜斜頭撒唚， 不熨貼性兒希林。” 
ideo,乾乾,1.自強不息貌。 ; 2.敬慎貌。  ,《易‧乾》： “君子終日乾乾， 夕惕若厲， 無咎。” ; 《文選‧張衡＜東都賦＞》： “勤屢省， 懋乾乾。” 
ideo,乾巴巴,1.乾硬貌。 ; 2.乾瘦貌。  ,  老舍 《駱駝祥子》十八： “馬路上一個水點也沒有， 乾巴巴的發着些白光。” ;   張天翼 《春風》： “那孩子慌慌地站了起來。 又黃又瘦， 臉上乾巴巴的。” 
ideo,了戾,1.縈回盤曲貌。 ,NA
