pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
ā~tì,a~ti,a1~ti4,阿嚏,阿嚏,'a~tejH,*qˤa[j]~*[t]ˤi[t]-s (< *t.lˤ-?),GongLiangYu,SOUND
ā~tì,a~ti,a1~ti4,啊嚏,啊嚏,NA~tejH,NA~*[t]ˤi[t]-s (< *t.lˤ-?),GongLiangYu,SOUND
ā~tì,a~ti,a1~ti4,阿叱,阿叱,'a,*qˤa[j],GongLiangYu,SOUND
a~yā,a~ya,a5~ya1,啊呀,啊呀,NA,NA,GongLiangYu,SOUND
a~yī,a~yi,a5~yi1,啊咿,啊咿,NA~'jij,NA~*[ʔ]ij,GongLiangYu,SOUND
ā~yō,a~yo,a1~yo1,阿唷,阿唷,'a,*qˤa[j],GongLiangYu,SOUND
ā~yòu,a~you,a1~you4,阿侑,阿侑,'a,*qˤa[j],GongLiangYu,SOUND
à,a,a4,啊,啊,NA,NA,GongLiangYu,SOUND
āi,ai,ai1,唉,唉,NA,NA,GongLiangYu,SOUND
āi,ai,ai1,哎,哎,NA,NA,GongLiangYu,SOUND
āi~āi,ai~ai,ai1~ai1,唉唉,唉唉,NA,NA,GongLiangYu,SOUND
āi~yā,ai~ya,ai1~ya1,哎呀,哎呀,NA,NA,GongLiangYu,SOUND
āi~yō,ai~yo,ai1~yo1,哎唷,哎唷,NA,NA,GongLiangYu,SOUND
āi~yōu,ai~you,ai1~you1,哎呦,哎呦,NA,NA,GongLiangYu,SOUND
ǎi~nǎi,ai~nai,ai3~nai3,欸乃,欸乃,NA~nojX,NA~*nˤə(ŋ)ʔ,GongLiangYu,SOUND
áo~áo,ao~ao,ao2~ao2,嗷嗷,嗷嗷,NA,NA,GongLiangYu,SOUND
bā,ba,ba1,吧,吧,NA,NA,GongLiangYu,SOUND
bā,ba,ba1,叭,叭,NA,NA,GongLiangYu,SOUND
bā~bā,ba~ba,ba1~ba1,叭叭,叭叭,NA,NA,GongLiangYu,SOUND
bā~dā,ba~da,ba1~da1,吧嗒,吧嗒,NA,NA,GongLiangYu,SOUND
bā~dā,ba~da,ba1~da1,吧噠,吧哒,NA,NA,GongLiangYu,SOUND
bā~dā~bā~dā,ba~da~ba~da,ba1~da1~ba1~da1,吧嗒吧嗒,吧嗒吧嗒,NA,NA,GongLiangYu,SOUND
bā~dī,ba~di,ba1~di,吧的,吧的,NA~tek,NA~*[t-l]ˤewk,GongLiangYu,SOUND
bā~jī,ba~ji,ba1~ji1,吧唧,吧唧,NA,NA,GongLiangYu,SOUND
bā~jī,ba~ji,ba1~ji1,叭唧,叭唧,NA,NA,GongLiangYu,SOUND
ba~jī~ba~jī,ba~ji~ba~ji,ba1~ji1~ba5~ji1,吧唧吧唧,吧唧吧唧,NA,NA,GongLiangYu,SOUND
bāng,bang,bang1,梆,梆,NA,NA,GongLiangYu,SOUND
bāng~bāng~pò~pò,bang~bang~po~po,bang1~bang1~po4~po4,澎澎魄魄,澎澎魄魄,NA~NA~phaek~phaek,NA~NA~*pʰˤrak~*pʰˤrak,GongLiangYu,SOUND
bāng~láng~bāng~láng,bang~lang~bang~lang,bang1~lang2~bang1~lang2,幫郎幫郎,帮郎帮郎,NA~lang~NA~lang,NA~*C.rˤaŋ~NA~*C.rˤaŋ,GongLiangYu,SOUND
bāng~lāng~bāng~lāng,bang~lang~bang~lang,bang1~lang1~bang1~lang1,幫啷幫啷,帮啷帮啷,NA,NA,GongLiangYu,SOUND
bēng,beng,beng1,嘣,嘣,NA,NA,GongLiangYu,SOUND
pēng,peng,peng1,磞,磞,NA,NA,GongLiangYu,SOUND
bēng~bēng,beng~beng,beng1~beng1,嘣嘣,嘣嘣,NA,NA,GongLiangYu,SOUND
bì~bì~bō~bō,bi~bi~bo~bo,bi4~bi4~bo1~bo1,畢畢剝剝,毕毕剥剥,pjit~pjit~paewk~paewk,*pi[t]~*pi[t]~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~bì~bō~bō,bi~bi~bo~bo,bi4~bi4~bo1~bo1,嗶嗶剝剝,哔哔剥剥,NA~NA~paewk~paewk,NA~NA~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~bì~bō~bō,bi~bi~bo~bo,bi4~bi4~bo1~bo1,必必剝剝,必必剥剥,pjit~pjit~paewk~paewk,*pi[t]~*pi[t]~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~bì~pā~pā,bi~bi~pa~pa,bi4~bi4~pa1~pa1,畢畢啪啪,毕毕啪啪,pjit~pjit,*pi[t]~*pi[t],GongLiangYu,SOUND
bì~bō,bi~bo,bi4~bo1,必剝,必剥,pjit~paewk,*pi[t]~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~bō~bō,bi~bo~bo,bi4~bo1~bo1,嗶剝剝,哔剥剥,NA~paewk~paewk,NA~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~lī~pā~la,bi~li~pa~la,bi4~li1~pa1~la5,嗶哩啪啦,哔哩啪啦,NA,NA,GongLiangYu,SOUND
bì~lǐ~pāi~lā,bi~li~pai~la,bi4~li3~pai1~la1,畢裡拍拉,毕里拍拉,pjit~NA~phaek~lop,*pi[t]~NA~*mə-pʰˤrak~*[r]ˤəp,GongLiangYu,SOUND
bì~lǜ~bù~lā,bi~lü~bu~la,bi4~lü4~bu4~la1,必律不剌,必律不剌,pjit~lwit~pjuw~lat,*pi[t]~*[r]ut~*pə~*mə.rˤat (~ C.rˤat ?),GongLiangYu,SOUND
