pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
a,a,a5,啊,啊,"NA","NA",LiJingEr,SOUND
bā,ba,ba1,叭,叭,"NA","NA",LiJingEr,SOUND
bāng,bang,bang1,邦,邦,paewng,*pˤroŋ,LiJingEr,SOUND
bié~cāng,bie~cang,bie2~cang1,別倉,别仓,bjet~tshang,*N-pret~*[s.r̥]ˤaŋ,LiJingEr,SOUND
cā,ca,ca1,嚓,嚓,"NA","NA",LiJingEr,SOUND
chēng,cheng,cheng1,噌,噌,"NA","NA",LiJingEr,SOUND
cì,ci,ci4,刺,刺,tshjeH,*[tsʰ]ek-s,LiJingEr,SOUND
dā,da,da1,噠,哒,"NA","NA",LiJingEr,SOUND
āi,ai,ai1,哎,哎,"NA","NA",LiJingEr,SOUND
bā,ba,ba1,巴,巴,pae,*pˤra,LiJingEr,SOUND
bēng,beng,beng1,嘣,嘣,"NA","NA",LiJingEr,SOUND
bō,bo,bo1,剝,剥,paewk,*[p]ˤrok (~ *mə-pˤrok),LiJingEr,SOUND
cáo,cao,cao2,嘈,嘈,"NA","NA",LiJingEr,SOUND
chán,chan,chan2,潺,潺,"NA","NA",LiJingEr,SOUND
chī,chi,chi1,哧,哧,"NA","NA",LiJingEr,SOUND
cóng,cong,cong2,琮,琮,"NA","NA",LiJingEr,SOUND
dá,da,da2,答,答,top,*[t]ˤ[u]p,LiJingEr,SOUND
āi,ai,ai1,唉,唉,"NA","NA",LiJingEr,SOUND
ba,ba,ba5,吧,吧,"NA","NA",LiJingEr,SOUND
bǐ,bi,bi3,吡,吡,"NA","NA",LiJingEr,SOUND
bǔ,bu,bu3,卜,卜,puwk,*pˤok,LiJingEr,SOUND
chēng,cheng,cheng1,噌,噌,"NA","NA",LiJingEr,SOUND
chēng,cheng,cheng1,琤,琤,"NA","NA",LiJingEr,SOUND
chī,chi,chi1,哧,哧,"NA","NA",LiJingEr,SOUND
dā,da,da1,耷,耷,"NA","NA",LiJingEr,SOUND
dāng,dang,dang1,當,当,tang,*tˤaŋ,LiJingEr,SOUND
áo,ao,ao2,嗷,嗷,"NA","NA",LiJingEr,SOUND
bāng,bang,bang1,梆,梆,"NA","NA",LiJingEr,SOUND
bì,bi,bi4,嗶,哔,"NA","NA",LiJingEr,SOUND
cā,ca,ca1,嚓,嚓,"NA","NA",LiJingEr,SOUND
zhā,zha,zha1,喳,喳,"NA","NA",LiJingEr,SOUND
hóng,hong,hong2,宏,宏,hweang,*[g]ʷˤ<r>əŋ,LiJingEr,SOUND
tà,ta,ta4,嗒,嗒,"NA","NA",LiJingEr,SOUND
dāng,dang,dang1,璫,璫,"NA","NA",LiJingEr,SOUND
dāng,dang,dang1,鐺,铛,"NA","NA",LiJingEr,SOUND
dī,di,di1,滴,滴,"NA","NA",LiJingEr,SOUND
dū,du,du1,嘟,嘟,"NA","NA",LiJingEr,SOUND
è,e,e4,呃,呃,"NA","NA",LiJingEr,SOUND
gū,gu,gu1,咕,咕,"NA","NA",LiJingEr,SOUND
guāng,guang,guang1,咣,咣,"NA","NA",LiJingEr,SOUND
xià,xia,xia4,吓,吓,"NA","NA",LiJingEr,SOUND
hōng,hong,hong1,哄,哄,"NA","NA",LiJingEr,SOUND
huā,hua,hua1,嘩,哗,"NA","NA",LiJingEr,SOUND
huáng,huang,huang2,鍠,鍠,"NA","NA",LiJingEr,SOUND
jiē,jie,jie1,喈,喈,keaj,*kˤrəj,LiJingEr,SOUND
kè,ke,ke4,克,克,khok,*kʰˤək,LiJingEr,SOUND
lǎ,la,la3,喇,喇,"NA","NA",LiJingEr,SOUND
léng,leng,leng2,楞,楞,"NA","NA",LiJingEr,SOUND
lóng,long,long2,隆,隆,ljuwng,*[r]uŋ,LiJingEr,SOUND
mī,mi,mi1,咪,咪,"NA","NA",LiJingEr,SOUND
nán,nan,nan2,喃,喃,"NA","NA",LiJingEr,SOUND
niàn,nian,nian4,念,念,nemH,*nˤim-s,LiJingEr,SOUND
é,e,e2,哦,哦,"NA","NA",LiJingEr,SOUND
pāng,pang,pang1,乓,乓,"NA","NA",LiJingEr,SOUND
pēng,peng,peng1,嘭,嘭,"NA","NA",LiJingEr,SOUND
pū,pu,pu1,噗,噗,"NA","NA",LiJingEr,SOUND
qìng,qing,qing4,慶,庆,khjaengH,*[kʰ]raŋ-s,LiJingEr,SOUND
sà,sa,sa4,颯,飒,"NA","NA",LiJingEr,SOUND
sī,si,si1,噝,噝,"NA","NA",LiJingEr,SOUND
sù,su,su4,簌,簌,"NA","NA",LiJingEr,SOUND
tāng,tang,tang1,鏜,镗,thang,*tʰˤaŋ,LiJingEr,SOUND
tōng,tong,tong1,嗵,嗵,"NA","NA",LiJingEr,SOUND
dé,de,de2,得,得,tok,*tˤək,LiJingEr,SOUND
dīng,ding,ding1,丁,丁,teng,*tˤeŋ,LiJingEr,SOUND
dǔ,du,du3,篤,笃,towk,*tˤuk,LiJingEr,SOUND
