pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
ā~tì,a~ti,a1~ti4,阿嚏,阿嚏,'a~tejH,*qˤa[j]~*[t]ˤi[t]-s (< *t.lˤ-?),WangWanRen,SOUND
ǎi~nǎi,ai~nai,ai3~nai3,欸乃,欸乃,NA~nojX,NA~*nˤə(ŋ)ʔ,WangWanRen,SOUND
áo~áo,ao~ao,ao2~ao2,嗷嗷,嗷嗷,NA,NA,WangWanRen,SOUND
bā,ba,ba1,叭,叭,NA,NA,WangWanRen,SOUND
bā~bā,ba~ba,ba1~ba1,叭叭,叭叭,NA,NA,WangWanRen,SOUND
bā~bā~bā~bā,ba~ba~ba~ba,ba1~ba1~ba1~ba1,叭叭叭叭,叭叭叭叭,NA,NA,WangWanRen,SOUND
bā~bā~bā~bā,ba~ba~ba~ba,ba1~ba1~ba1~ba1,叭吧叭吧,叭吧叭吧,NA,NA,WangWanRen,SOUND
bā~cā,ba~ca,ba1~ca1,叭嚓,叭嚓,NA,NA,WangWanRen,SOUND
bā~zhā,ba~zha,ba1~zha1,叭喳,叭喳,NA,NA,WangWanRen,SOUND
bā~dā,ba~ta,ba1~da1,吧嗒,吧嗒,NA,NA,WangWanRen,SOUND
bā~dā~bā~dā,ba~ta~ba~ta,ba1~da1~ba1~da1,吧嗒吧嗒,吧嗒吧嗒,NA,NA,WangWanRen,SOUND
bā~dā~dā,ba~da~da,ba1~da1~da1,叭噠噠,叭哒哒,NA,NA,WangWanRen,SOUND
bār,ba~er,bar1,叭兒,叭儿,NA~nye,NA~*ŋe,WangWanRen,SOUND
bā~jī~bā~jī,ba~ji~ba~ji,ba1~ji1~ba1~ji1,吧唧吧唧,吧唧吧唧,NA,NA,WangWanRen,SOUND
bā~lā~bā~lā,ba~la~ba~la,ba1~la1~ba1~la1,叭啦叭啦,叭啦叭啦,NA,NA,WangWanRen,SOUND
bā~lā~lā,ba~la~la,ba1~la1~la1,叭啦啦,叭啦啦,NA,NA,WangWanRen,SOUND
bā,ba,ba1,吧,吧,NA,NA,WangWanRen,SOUND
bā~dā,ba~ta,ba1~da1,吧嗒,吧嗒,NA,NA,WangWanRen,SOUND
bā~dā~bā~dā,ba~ta~ba~ta,ba1~da1~ba1~da1,吧嗒吧嗒,吧嗒吧嗒,NA,NA,WangWanRen,SOUND
bā~jī~bā~jī,ba~ji~ba~ji,ba1~ji1~ba1~ji1,吧唧吧唧,吧唧吧唧,NA,NA,WangWanRen,SOUND
bā~zā~bā~zā,ba~za~ba~za,ba1~za1~ba1~za1,吧咂吧咂,吧咂吧咂,NA,NA,WangWanRen,SOUND
bāng~bāng,bang~bang,bang1~bang1,梆梆,梆梆,NA,NA,WangWanRen,SOUND
bēng,beng,beng1,嘣,嘣,NA,NA,WangWanRen,SOUND
bēng~bēng,beng~beng,beng1~beng1,嘣嘣,嘣嘣,NA,NA,WangWanRen,SOUND
bì~bì~bō~bō,bi~bi~bo~bo,bi4~bi4~bo1~bo1,畢畢剝剝,毕毕剥剥,pjit~pjit~paewk~paewk,*pi[t]~*pi[t]~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),WangWanRen,SOUND
bì~bō,bi~bo,bi4~bo1,畢剝,毕剥,pjit~paewk,*pi[t]~*[p]ˤrok (~ *mə-pˤrok),WangWanRen,SOUND
bì~bì~bō~bō,bi~bi~𠺣~𠺣,bi4~bi4~bo1~bo1,嗶嗶𠺣𠺣,哔哔𠺣𠺣,NA,NA,WangWanRen,SOUND
bì~bì~bǔ~bǔ,bi~bi~bu~bu,bi4~bi4~bu3~bu3,嗶嗶卟卟,哔哔卟卟,NA,NA,WangWanRen,SOUND
bì~bō~bì~bō,bi~𠺣~bi~𠺣,bi4~bo1~bi4~bo1,嗶𠺣嗶𠺣,哔𠺣哔𠺣,NA,NA,WangWanRen,SOUND
bì~bì~bō~bō,bi~bi~bo~bo,bi4~bi4~bo1~bo1,必必剝剝,必必剥剥,pjit~pjit~paewk~paewk,*pi[t]~*pi[t]~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),WangWanRen,SOUND
bié~bié,bie~bie,bie2~bie2,別別,别别,bjet~bjet,*N-pret~*N-pret,WangWanRen,SOUND
bō~bō,bo~bo,bo1~bo1,剝剝,剥剥,paewk~paewk,*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),WangWanRen,SOUND
bō~bō,bo~bo,bo1~bo1,啵啵,啵啵,NA,NA,WangWanRen,SOUND
bō~duō~bō~duō,bo~duo~bo~duo,bo1~duo1~bo1~duo1,啵哆啵哆,啵哆啵哆,NA~tsyhaeX~NA~tsyhaeX,NA~*[t-l̥]Ajʔ~NA~*[t-l̥]Ajʔ,WangWanRen,SOUND
bǔ~bǔ,bu~bu,bu3~bu3,卜卜,卜卜,puwk~puwk,*pˤok~*pˤok,WangWanRen,SOUND
bǔ~dōng,bu~dong,bu3~dong1,卜東,卜东,puwk~tuwng,*pˤok~*tˤoŋ (< *tˤoŋʔ ?),WangWanRen,SOUND
bǔ~bǔ,bu~bu,bu3~bu3,卟卟,卟卟,NA,NA,WangWanRen,SOUND
cā,ca,ca1,嚓,嚓,NA,NA,WangWanRen,SOUND
cā~cā,ca~ca,ca1~ca1,嚓嚓,嚓嚓,NA,NA,WangWanRen,SOUND
cā~cā~cā,ca~ca~ca,ca1~ca1~ca1,嚓嚓嚓,嚓嚓嚓,NA,NA,WangWanRen,SOUND
cā~yā~cā,ca~ya~ca,ca1~ya1~ca1,擦呀擦,擦呀擦,NA,NA,WangWanRen,SOUND
cáo~cáo,cao~cao,cao2~cao2,嘈嘈,嘈嘈,NA,NA,WangWanRen,SOUND
cēng,cheng,ceng1,噌,噌,NA,NA,WangWanRen,SOUND
cēng~cēng,cheng~cheng,ceng1~ceng1,噌噌,噌噌,NA,NA,WangWanRen,SOUND
