collocate,value,ideo,period
暉暉,0.2006948522098952,暉暉,ming
寂寂,0.04404576393841846,暉暉,ming
若,0.04162524863910212,暉暉,ming
相沓光,0.03933052314228895,暉暉,ming
流星,0.039049203352182135,暉暉,ming
空中,0.037895648102112524,暉暉,ming
釣,0.03588426273888245,暉暉,ming
觀隱,0.034440868308330055,暉暉,ming
之煥曜,0.03426752906471464,暉暉,ming
芝秀鳳丘,0.03337354918831457,暉暉,ming
常有,0.0333226873581306,暉暉,ming
化生,0.03326034628725843,暉暉,ming
須臾,0.03254824106337101,暉暉,ming
無濠涯,0.03192850520834413,暉暉,ming
霍霍,0.0318060898426339,暉暉,ming
灌入,0.031757137317116865,暉暉,ming
九日,0.03061534113936131,暉暉,ming
相沓先,0.03041171926784232,暉暉,ming
冉冉,0.030226394090733993,暉暉,ming
華池,0.03002080038108552,暉暉,ming
下稻,0.029993899828484053,暉暉,ming
形從,0.029727438512532973,暉暉,ming
黑黑,0.029437625112168225,暉暉,ming
之所出,0.029166033412817816,暉暉,ming
貫覆己,0.029159522285136973,暉暉,ming
逡巡,0.029137202651822736,暉暉,ming
瑤林畔,0.029077580034920145,暉暉,ming
寒日,0.0290474682816249,暉暉,ming
如薄霧,0.028885787236208653,暉暉,ming
秋月,0.02871476089009931,暉暉,ming
登晨岸,0.028644755313039873,暉暉,ming
之光鬱,0.02846216071506424,暉暉,ming
常獨,0.028452175701355914,暉暉,ming
紫元,0.02802027910028585,暉暉,ming
斧,0.02788904454374352,暉暉,ming
堆,0.0278087202547837,暉暉,ming
有如,0.027767534583563704,暉暉,ming
之天,0.027742584872632384,暉暉,ming
蘌,0.02769639188655417,暉暉,ming
如薄霞,0.027328074016305687,暉暉,ming
灌覆己,0.027202330497376005,暉暉,ming
嚥,0.02691565795843078,暉暉,ming
晴旭,0.026798645539534743,暉暉,ming
開,0.026578609467775394,暉暉,ming
瀠,0.026460549281749172,暉暉,ming
皇初,0.02609967316337721,暉暉,ming
口中,0.025922549113001125,暉暉,ming
景曜,0.025868189583123757,暉暉,ming
而入,0.02584350163503649,暉暉,ming
過松岡尋,0.025824666591924016,暉暉,ming
前雲氣,0.025709020081349253,暉暉,ming
採吸,0.025613586011892914,暉暉,ming
轡,0.02549524238023602,暉暉,ming
瞳子,0.02538097275190443,暉暉,ming
存想,0.02534575484102769,暉暉,ming
五靈遊,0.025079887866734818,暉暉,ming
夲,0.024822211894373034,暉暉,ming
似鋒,0.024807617980098732,暉暉,ming
山腳水,0.02479607283432747,暉暉,ming
遠映,0.024780820219289148,暉暉,ming
理觸,0.024391022209289768,暉暉,ming
之煥耀貫,0.024351898462898293,暉暉,ming
氤氲,0.024319161464751365,暉暉,ming
龍胎,0.024253338648634003,暉暉,ming
鬱鬱,0.024193322375226145,暉暉,ming
躡,0.024157667918429142,暉暉,ming
黑氣,0.023976116898372413,暉暉,ming
