item1,value
暉暉,0.20084819725817626
寂寂,0.04384731147648495
若,0.04148877676596828
相沓光,0.03883825597036018
流星,0.03854425495630864
空中,0.03739319944762859
釣,0.03615913400327105
觀隱,0.03402552105406202
之煥曜,0.03377676744138083
常有,0.03356110499168399
化生,0.033112587255706386
芝秀鳳丘,0.03294738167409108
須臾,0.032550240898883406
灌入,0.031960703063137454
霍霍,0.0319424925328233
無濠涯,0.031655621162762396
九日,0.030720186076842397
華池,0.03050881809001548
冉冉,0.03044436109398741
相沓先,0.030101229084857458
下稻,0.029770492308185452
之所出,0.029248303424945464
黑黑,0.029229288360904812
形從,0.029196947877400535
如薄霧,0.02898294139579364
寒日,0.02885496282036643
秋月,0.02882880332169474
逡巡,0.02882282041946893
貫覆己,0.02872165865788303
瑤林畔,0.028658429609280747
之光鬱,0.028597448503192548
常獨,0.028561581921600538
登晨岸,0.028428447989023314
蘌,0.028293154585890868
紫元,0.028280294022023963
之天,0.028230607746333524
斧,0.028013362218747465
有如,0.02784193754591699
如薄霞,0.02749733839026592
堆,0.027492415648345234
開,0.02729793449986899
嚥,0.027292046625896575
晴旭,0.027240419709307948
灌覆己,0.026753199873147105
皇初,0.02636235774274064
瀠,0.026338423429235994
景曜,0.026041945235585433
採吸,0.025821520929490457
前雲氣,0.025668879952106618
瞳子,0.02557609064459031
過松岡尋,0.025567198568117917
轡,0.02551850234093277
口中,0.02541233995904664
五靈遊,0.025314634169331163
而入,0.02521997978708648
存想,0.025113641064273967
氤氲,0.024984394581680665
夲,0.024979696892695788
似鋒,0.024975946003176926
遠映,0.024903354583266663
山腳水,0.02471912895229133
鬱鬱,0.024637210688433112
理觸,0.02443275059480899
躡,0.024417291238589458
魚詩,0.024213295519006597
春山,0.024039035308149857
之煥耀貫,0.023969143165873983
，,0.02395765529507058
龍胎,0.0238631540429083
我生,0.023624322642106645
黑氣,0.023605118319437214
法相,0.023588407432407584
艶,0.02346962891851559
重磨,0.023420261641314454
隱冥遍,0.023417879034344554
花氣,0.02338980824457656
挂,0.023360788014277233
虛空界,0.023218414913091366
苑,0.023195112689173507
矯,0.023133956740010578
降室,0.023084539350130696
因,0.022992659388892958
闇,0.02295229299657866
乃紅,0.022896999249854378
春桑葉,0.02275391313057801
自作,0.02245736786924355
雲氣,0.022400453704434605
沒人逢,0.02235249018210503
杳,0.022343065658455136
天罡,0.02227178636830488
奕奕,0.022251011517715354
之丹色,0.022233281667928078
之液,0.022226213965556595
濃,0.022220397762501908
內,0.022091347202690993
覆己,0.02200181784102778
返照,0.02191040139205451
滿空黃葉,0.021903180913313027
退,0.021716807576887223
咒遣,0.021673135451351386
紫霞,0.021657306308360675
黑,0.021638770027077595
頭頭,0.02161519600920404
經緯,0.021578389182458215
嫋嫋,0.021417434573724258
林林,0.02132379719225295
童子,0.021249657346160307
斜入,0.021120678906693256
星,0.021016649019844322
窗前,0.02085274433713125
鳥聲,0.02085274433713124
此玉,0.02077910676979609
雨度,0.020719398659498806
嬰爾,0.020663815983809074
峯,0.02058260473669877
無持,0.02055023699056593
涯,0.020456186895872138
照,0.020422517584196106
然鮮明,0.020378912494356385
九道,0.020368388631095868
會,0.020230613933646075
穿,0.020188354504109614
之光,0.020165276443297846
賞花,0.020079526399153523
陌上,0.020055676071721356
日,0.019968625292279843
直下,0.019916717351993567
用無作,0.0198953428795698
石上,0.01987662949515799
竹日淨,0.019864501421078984
形從口,0.01984598354816126
繁枝亞,0.019793079766508376
出,0.0197468613467006
岫,0.019628079426449205
師不自作,0.01959483222761664
衝天,0.01959418227030953
光曜明,0.019507873462273888
秦家,0.019461488241426
清風,0.01945616220095694
面前,0.019453939366551338
聒聒,0.01944022711308342
登元,0.019349530955437275
㣲,0.019299933365065605
風来,0.019295246715819767
含,0.019246437804979425
朝雨,0.01922417617807136
高,0.019201888223100747
遍,0.019181627932581664
疎,0.01912742342742344
可愛不,0.019118591240748398
之照,0.019094108769388905
烟輕,0.019083987143207293
淨明,0.01905123023443344
飛汀,0.01894245344514305
田父,0.0188336266095578
絞亂,0.0187930895464237
天星,0.018793089546423676
光林召,0.018793089546423673
祈求,0.01869531459446911
打頭,0.01863391178602293
來,0.01857235090049325
紫元君,0.01854156984152675
念,0.018529641474688257
正法,0.01850823206123479
皓月,0.01843440188679182
登无濯形,0.01841645204861935
二十,0.01839416821982217
落鳳控,0.0182615419043634
誰,0.01824353273396935
咽,0.018240612588115865
迴,0.01823851529460485
行神步,0.018175145334317723
无濠涯,0.01814433768162173
