item1,value
暉暉,0.2432740772985419
映,0.037965201719250635
寶氣,0.03603422965642192
銀橋望,0.03569128794538626
千古,0.035577823756867105
寒日,0.035499995983833355
祐,0.035402136237959056
下稻,0.03495393310130495
極竟,0.03420209052830368
洄,0.03412763449594003
堆,0.033407770873588497
常有,0.03291058696587246
以招,0.032678193096191833
軍繼,0.032610266251965524
之光,0.03258251441702334
不歸滅,0.0324770401725092
瀠,0.0320586824261027
賓序,0.03180904350680386
進彥,0.03174019282232928
之天,0.031686104386136074
紫元,0.03157424175084286
沒燕鴻下,0.03142933832774844
旅,0.031422124283108144
鬱鬱,0.03136161590455873
超大,0.031030895629406575
晨,0.030793930944925756
夲,0.030561563533815454
霓裳,0.03047338658626188
條晴旭,0.03044709290404199
花盡,0.030447092904041982
開案,0.030447092904041975
授,0.03041713234138819
秩秩,0.03033272150079712
無濠涯,0.030257239866688827
腳水,0.029978457346185504
過松岡尋,0.02992849256783498
遠映,0.029876157220030577
空中,0.029817880866834297
醻,0.02965301310350499
照,0.0295576027231723
舉黃旗,0.029540503730422527
寂寂,0.0293946660575159
果潰,0.02937821351642421
極祚祚,0.02906049868179819
平楚,0.02902573741873083
花,0.028969618213912748
來賀,0.0287629478842135
敗漢乾,0.028653605061922622
光嗣首,0.02859720120594826
如薄霧,0.02858710980882106
含,0.02857179444527949
閉門,0.028489699313948066
觀隱,0.028446849406156684
嗣明,0.02830612234094591
岑山,0.02825889055239666
濃,0.028204069345510372
竹日靜,0.028036728007678195
法相,0.02797089392193705
皇初,0.02780682961817403
以授,0.02779831958183301
中陳生,0.027761666146950043
岸,0.02769852225414695
自得,0.027545379745891975
煙輕,0.027461416546678448
如薄霞,0.027439092991044044
光光,0.027429753512584386
緯,0.027407580774550945
舊物,0.027355241351154247
星,0.02729166594313536
宋詩紀,0.027275618838843656
飛汀,0.027181771123931164
敵眾,0.026890004934799084
高下,0.026870478807584593
芝秀鳳,0.026851286220473974
穿,0.02676779406584164
田舍,0.02667177255069858
叢萬井,0.026347333272451957
有花,0.02632396023461715
斷,0.026259058258630112
首及,0.02613760569211926
昏叢,0.026016116566880854
