item1,value
暉暉,0.25050163463636316
雞皆鳴,0.05406970076407187
聲若雷野,0.05370751942217871
自東南,0.05358936107809784
雞鳴神,0.053093980216323396
空中,0.0489782611142846
寶其來,0.04878851952687525
觀,0.04846560935771313
落日,0.04817625755536067
塞里,0.047039962820791266
當作暉,0.046184805596490436
其茂,0.04594933149374287
充街,0.045750307696883964
之,0.04517334253354396
弄,0.044912556009463436
不遂,0.04480773219211189
視,0.044681840240026235
隱芝秀鳳丘,0.04426622607982926
無濠涯,0.04411311867375793
朱顏,0.04326160245461102
濃,0.04298429511584846
休光,0.0427690815150431
遠映,0.04265298234176649
寂寂,0.04244102101186878
曜,0.042351580705594305
丹葩,0.042279143841516584
后,0.04086367656608083
行人,0.040837813227981724
每入豐,0.04064986592098897
城邑,0.04012392973474288
先妣,0.03920930482596951
芳華,0.03912849473232891
承,0.03911070653519571
星,0.03903655076548098
酣歌,0.03850717367535402
隱,0.03847702820989489
連檣,0.03759176759471043
故曰,0.037538571269466324
前訓,0.03717189359320158
春桑葉,0.03675313785152533
烈烈,0.036014464895342796
秀,0.035646231665389466
芳,0.035437723084840916
言笑,0.03537121795429799
艶,0.035266417921092565
習習,0.03525350353196523
本,0.03523487955198312
露方,0.035209012839725606
登隴,0.035145811267589894
擾擾,0.03503489319682153
紛紛,0.03494098671394417
若熾燎,0.034733514037743426
含照,0.034665415506130955
垂,0.03452512747570541
赫赫炎炎,0.03451178310657771
夲,0.0341525264741495
離離,0.03400994683627831
靡靡,0.03397371544224412
照,0.03377952602377222
落秀,0.033374583848811847
青樓,0.03331862708982044
嫋嫋,0.033109970699967115
陌上,0.032828241491650076
晞,0.032527546009590805
酡,0.032314182220920994
習外觀,0.03220722443924552
可謂,0.032159483585182114
挂,0.03168693941541017
遵堂涉,0.03157395688308873
附體,0.03112253301921716
逡巡,0.031059907452637092
暖,0.030779754205305317
蛾眉月,0.030737663518587827
日,0.030526374895594455
廻,0.030524906505656563
織女,0.030508914985483353
雨度,0.03037676958394843
雙燕理,0.03030011946240801
相麗姿,0.030051554218716456
毛衣,0.029625559365931864
隱隱,0.0295348493958487
繁枝亞,0.029299195513786888
朱轂,0.029139152752330467
逐芳風,0.02892666758491068
。,0.02887856474599247
若賓,0.028761170926544632
奉述,0.028560266178525664
未,0.028313827309815433
銜花,0.028218282698230405
幽悉,0.028167449918618408
斜入,0.028122305855710003
彫,0.028033742182830394
未收,0.027826535143960163
覩,0.027526943734874878
㣲,0.027438531314330956
樓,0.027294701163017347
浦,0.02719255361151167
映見,0.027143512197275024
滿村,0.027137983135177107
也,0.026890888535331586
二月,0.026707857298119485
瑤林畔,0.026505507726216595
疎,0.02624514476259259
蕎麥怯,0.025487161295698366
歌頌同,0.025318753385218003
蕎麥,0.02530328697479572
陽,0.024854436284449975
弋獵,0.02465474017566166
還房,0.024572030393815097
於,0.02432979565563928
吁,0.0242227972845118
日映,0.024012961133995137
幽人,0.02368511041417949
參垂步,0.023681878277986117
朱檻,0.023276585438403725
含,0.023177577134145304
煇煇,0.023023062657963958
地理,0.022923505010233828
顯揚,0.022886529746968403
綽約,0.02269905586253765
青,0.022667711541692174
秦家,0.02261088773088562
輕步,0.022335117885930077
