item1,value
暉暉,0.276430058688045
之,0.08913839641609288
　,0.06769731198112015
空中,0.05786785178157533
觀,0.05733444233994138
落日,0.05510810843455372
隱芝秀鳳丘,0.0525282840100298
遠映,0.049423408955008345
塞里,0.049132383813044765
當作暉,0.04909704024942939
無濠涯,0.0478730121257784
充街,0.0470983253000278
視,0.04686574865380845
寂寂,0.04623456696143005
春,0.045765770541396376
蕎麥,0.04525674659430164
曜,0.044442795766997195
濃,0.044020201106965966
先妣,0.04401026897677308
休光,0.04376485934028001
每入豐,0.04304072734695325
弄,0.04245934291013516
習外觀,0.04214219513060015
隱,0.04199052491006307
烈烈,0.04171928495853136
若熾燎,0.04168872785024434
可謂,0.041679965971622136
朱顏,0.04166688658743134
春桑葉,0.04129552187521553
城邑,0.04123222347537818
赫赫炎炎,0.039977711546718656
陌上,0.03989143316565918
丹葩,0.03986808715464182
本,0.03948181822113344
行人,0.0394450735059513
酣歌,0.03930348786079702
后,0.038925015185435195
秀,0.03770685917576069
日,0.037358047410916556
含照,0.03684130977255978
艶,0.0367379830051715
附體,0.036692926279827294
登隴,0.036490738279360196
星,0.03626206393654286
連檣,0.035981591624651435
青樓,0.03551588229206969
覩,0.035460910257538114
昔,0.03522130183042621
離離,0.035076188780250976
朱轂,0.03487082853182457
未,0.03485656328431751
暖,0.03457359805872306
承,0.03419150512852002
幽人,0.0338596023879116
逡巡,0.0337727465499888
。,0.03250862787649611
紛紛,0.03241309374011972
露方,0.03224636511532829
前訓,0.032116375690362756
夲,0.03209643857620644
擾擾,0.03182520432737535
照,0.031646041109121614
若賓,0.03156844065315761
垂,0.031372609308396346
嫋嫋,0.031235733875797325
酡,0.03093301964670567
言笑,0.030859746615943033
靡靡,0.030694354272881485
雙燕理,0.030540356732603822
習習,0.02991582787779003
毛衣,0.02944138648285482
相麗姿,0.029312289534830258
瑤林畔,0.0285732929246447
銜花,0.02800427020136903
雨度,0.027999975687504137
織女,0.027946265505873397
斜入,0.02776680421433897
顯揚,0.02722915209446897
蛾眉月,0.027171471176698353
吁,0.027068454481542357
㠯,0.027057445488878822
含,0.02690939678594266
幽悉,0.026678172344538776
