item1,value
暉暉,0.3313688854651003
，,0.1621112425154168
。,0.15524440633012307
日,0.10108253983103287
白雲青樹秋,0.053474138166193355
兮,0.05258810664009375
淨,0.046607544066333786
釣魚,0.04170157408102408
殘日,0.03975629915782822
烘雪氣,0.039562523424893074
濃,0.03949878023317367
溪上,0.038862360827121585
霍霍,0.03809262285920555
磯,0.037705937570403664
武陵,0.037586691472994996
遠映,0.037488490197097143
夲,0.037356499941043106
前雲氣,0.03733319609311791
秋,0.036496081128603655
淨明,0.036236393449895585
茜溪,0.03617647768960168
星,0.03595348224496913
碎,0.03474135984739769
灌入,0.034529788259360455
徘徊,0.03412886162750099
長,0.033803679776633615
不長,0.033519488274789705
盛,0.03289944272728149
滿地,0.032324478137413445
紅顏,0.03229681915176389
照,0.032099482303459055
陽曜燭,0.032037740309569435
胡蝶,0.031482680400687614
春日,0.03138669903982786
秀,0.030982454884064523
出,0.030395044507879988
雙雙上,0.030049203676876992
半嶺,0.030001196114429453
閉門,0.029830048216191226
歸,0.029630977862808276
天垠,0.029104804652205003
百花,0.0289921332281832
春桑葉,0.02883665798897306
圖籍,0.028790592024629722
客知,0.028553721667250894
若,0.028375893582814966
離離,0.02820148062479038
寶氣,0.02798124821785241
前,0.027827376421456725
暖,0.027713454803502336
艶,0.027611839858847406
觸處,0.027387997398447474
陌上,0.027198797442573325
不,0.02709115657571697
、,0.026347345908152065
作晴,0.02601964823497557
朝陽,0.025888166352274238
金瑣,0.025803276865141694
挂,0.02539629704382017
存想,0.02526443609399876
雨度,0.025098162517557896
斜入,0.025097830805498194
譜,0.025001414619594264
飛龍,0.024989181505262446
理,0.02488144345348407
之瑟琴,0.0245784711878517
嫋嫋,0.02456327255293653
題朝陽亭,0.024192488263040317
誰,0.024093028563016167
鍾,0.023971970512885233
疎,0.02394426091052849
生深,0.023913819613608656
滿村,0.02385271364827623
花漫野,0.02385228245824835
宮受,0.023835059196735217
有人,0.023464176385507903
晚群,0.02338779872112954
時,0.022996204997689954
阜青,0.02275922537836921
童子,0.022669230683936434
殷殷,0.022660643598791243
千古,0.02259445572781903
按,0.022555079277297413
自然,0.022288759143822418
亭亭,0.02194031102402635
嚥,0.021913630249204806
映,0.021732750866192876
竿,0.021684490752151144
谷兮韻秋聲,0.021405140323198357
秦家,0.021349994333703378
陳,0.021155062899140473
繁枝亞,0.02100653510576592
遍,0.020623481294045697
放鶴亭,0.020445179898269314
前路,0.020418976398738797
龍門,0.020297886059536294
流光,0.02029526779923749
會,0.020265449494725894
未收,0.02023556108489716
開口,0.020199402855488727
銀橋望,0.020192043986471554
極竟,0.019945431856651433
㣲,0.019786262097741505
正,0.019772586192729497
不迷,0.01961634398173777
上,0.019077257378957768
倚石,0.01879659200731882
坐朝法,0.01866868916228709
空桑,0.01864599087555061
含,0.018547728716500428
華池,0.018293275021998155
月初,0.01828819511307975
墬,0.018273452825313112
蕎麥怯,0.018127759810002492
霓裳,0.017832531532078148
春雷,0.017261314201733068
),0.017254593478713623
朱檻,0.01713987013865888
萬井中,0.017011587403437722
-,0.01655505850282836
靣,0.016218784112179495
柳,0.016210533072958045
寒夜,0.015991217638220454
》,0.01590080683595496
緗,0.015830050165038332
八月,0.015820559492243435
發發,0.015801419442939228
生不窺園,0.01579774634654137
鴉聚,0.015615478215451712
因,0.015304561542236892
江魚,0.015235825534668504
無,0.015218558731282606
返照,0.01505757549437381
新霜,0.015028354103339421
雲,0.014996894733549974
欺人,0.013986668072826234
兩,0.013658500362651925
〔,0.013558547131209131
青,0.01341235015153182
頭頭,0.013182665465906436
江城,0.012618306540995022
金王,0.012601427294267657
1,0.012581515529721648
山城,0.012469704066327905
忽西,0.01238613104431024
之液,0.01233220081147187
弄,0.012246931057933294
獨立春,0.011990145330279398
高節,0.011824577340310451
行地脈,0.011671403565277922
正肥,0.011663664053099496
巖,0.0115464061841519
皆,0.011543225468772709
歷歲,0.011504833691768199
清波,0.011459761212725865
..,0.011384072385495514
〕,0.011311145939882033
輕羅醉,0.011189272052190256
《,0.011085546275615017
綺,0.011054294261344463
亦,0.01095668649584796
麥等,0.010909870183670132
凜,0.010884013410112213
是,0.010867050570751272
蕎麥,0.010823389356508445
樓,0.010793691190237247
御疆宇,0.010758265659326206
叢叢,0.010750377290560385
影兮下,0.010693973623587894
滿,0.010625507280368535
寒兮傲,0.010536118425975799
風下,0.010285655257317495
乃,0.010143063076803847
陰尚,0.010067287470222144
○,0.009971209917567501
滾滾,0.009555235619159492
未,0.00944803687296577
韓琦雲鋪,0.00926945058879023
欲,0.00926018015932645
服壽,0.009068138986924516
二十,0.008936274377290521
常恐,0.008933934641769736
三十七,0.008909960976209
啼,0.008909200529100074
流水桃花,0.008908370270171904
外野,0.008834668474601735
陸游,0.008754981296207838
七,0.00870667730840633
[,0.008654713963571078
春酒,0.00860823068828747
郭翼,0.00859910143878476
之寶劍,0.008595661235462976
柳外,0.008562064548266798
裏,0.008484479873644564
詞曲,0.008458924637653414
左右,0.008103943991191605
三九,0.008076024712692748
積雪,0.008063555596183828
衣羅敷妝粉,0.007989063147859366
秋日,0.007969341996040685
張,0.007891256571933148
綵,0.007884324548545946
助教,0.007825892640867332
郭生,0.007800358864998148
說,0.007799681828082683
見,0.007796227655544583
支郎,0.007770142044025464
總集,0.007757220376324808
昏,0.0077144697833153525
(,0.007705856904373694
周,0.007656822036583625
扉,0.007561441897333886
和,0.00746089550573456
天英,0.007282553745711884
零落,0.007267135160299311
倚,0.0072571271333947505
王厚孫,0.007246627549903913
一簾細雨,0.007087161625890826
江,0.0070555416258285455
清風,0.007033349277866458
鏁,0.0070085122837268655
花白,0.006883077506334681
徐亮,0.006792684331468702
拭,0.006731626745899778
鹿盧,0.006726265646707221
柘,0.006711946508427561
娟娟,0.006684426687253703
𢬵,0.006632880261040135
桑,0.006631050330380303
圓至,0.006612456081919211
金詞,0.006610676105471705
【,0.006557616420339059
一醉杯,0.006555894968954166
櫳,0.006542321684872658
老衲,0.006535879225664535
玉人小立,0.006514051886651874
花吹,0.006495859883624293
吹羅幕,0.006306225351729193
林下,0.006242687882081354
四明,0.006242295029055283
宋戴敏,0.006234934775864979
續志,0.006221382575265108
陸,0.006160756824141927
得,0.006125725092281383
全,0.006119776038787976
将,0.006087344306134394
筠溪,0.006084556544260622
臂銷,0.005997485476059843
鄭,0.005845948531886887
十,0.005816078118654301
湛湛,0.005782910032407207
言,0.005752641871994581
叢書,0.005697178591556245
雲磯行,0.0056828875591183586
金元,0.005673220650799732
者,0.005670503777868056
此宇,0.0056354571054873515
一花,0.005630937183802805
殷勤,0.005626134929167823
都,0.005589274103889144
□,0.005589162494385385
石渠,0.0055863057461902925
登石頭,0.005568759760953803
沈,0.0055521972816397645
邂逅,0.005507473085137983
玉人歌,0.005507372247869435
翼,0.005493119177446671
新刻,0.005481112158478981
輕顰淺,0.005480793541943019
予觀,0.0054464966951350575
鋪,0.005417725141640276
頗動,0.005396427588919779
飛,0.005392041541830252
殘紅,0.005388855983503732
國,0.005387523522940275
増,0.0053771661111885975
野田,0.00536731799612205
𥁞,0.0053391417443212985
斷,0.005338782541246825
攀,0.005334946014527861
畧,0.005311097200547851
河南,0.0053043927707091066
桑麻譜,0.005293006997170259
舊物,0.005284295852376577
良臣,0.005272854107974316
聦,0.005252048046197036
洪,0.005244843626787295
幃,0.005230557781157577
穀,0.005210771627674564
律詩,0.005180943862973028
席地,0.0051168840196133
周應合,0.00511275658001119
至正,0.00507912345688588
至尊,0.005078685384456057
鄉人,0.0050719926945510295
九月,0.005056737684761442
上冊,0.0050369189239571795
遯,0.0050342963785023585
不肯,0.005030663325897738
建康,0.005025334217983784
