item1,value
灼灼,0.18566226936357377
其華,0.041086219142397816
桃之夭夭,0.03727933144446598
桃李,0.03642644082749857
悠悠,0.03307518718743089
，,0.03140427660034083
。,0.031210191366674744
有意,0.030993582323458592
熱無,0.030987292083235474
中適,0.02963674070717207
無,0.02933838563104491
流水,0.02890986566552768
漣,0.028673644872269498
寒温,0.02860693232438923
人,0.02821164446991134
珊瑚,0.027915342281539683
［,0.027548938448159685
翩翩,0.02749189470172577
亭亭,0.02747035644343758
寒無,0.02744165464464489
兮,0.027139810414734077
將持,0.026930389453023094
］,0.02689345347169468
龜,0.026662750885702084
麗,0.026656428044637626
出汗,0.02656808006013862
之中,0.02619537380179502
相對,0.02594842134627448
夭夭,0.025917008642778048
長,0.025476301981340224
歌,0.025247232858823968
窓,0.024844333704974117
故氣,0.024786561400346442
〕,0.024649091668120283
詩,0.024256939511138845
懷,0.0238795944541333
上古,0.023785963873853132
五,0.023538159544444565
何妨,0.02279567611393014
依依,0.022670526630885028
掃,0.022196702089503577
初,0.02210297030559998
蓞,0.02146476811364106
鬱,0.021432937739458164
上,0.020893282106933236
或,0.020795171297726987
零,0.02070875083814875
嵗,0.02055255768089593
蹙,0.020358449219580972
綘,0.020234741395524072
月,0.01984843100851826
隨,0.01971139715403804
蘂,0.01969038674096659
飲食,0.019586433056704915
灼,0.019508604260386725
菡,0.019400399668967738
但,0.019371486885109233
邪僻,0.019307252580835738
冒,0.019137972410810472
飄,0.018854854599167935
不致,0.018838451333890942
傳,0.018824122765372733
海棠,0.01880914328022857
暑,0.01865676678413381
朝霞,0.018567742893368544
苑,0.018502689566705255
何,0.01827892746353765
青春,0.018254790423439384
滄,0.018215110098040076
芙蓉,0.017989935712281312
詠,0.01795688571910656
原,0.01790759490015527
年,0.017769900972164708
夭,0.01766550842358321
醉,0.01766164031297296
豈,0.017626980038552474
竈,0.017464455747635298
逐,0.017409563621128978
移根,0.01713676455280737
敷,0.017125417760835673
春,0.017034285093647846
已,0.016988480108485575
淚,0.016805889708015973
寒溫,0.01679748115788912
仗,0.016749904898806182
錢,0.01674247479205644
蔕,0.01665879441673002
遊,0.016632281527872113
(,0.016602686767817017
紫,0.016484413269206213
𤼵,0.016420409157329244
皆,0.016328370197122664
從,0.016313495392405727
碎,0.016311337087919885
