item1,value
灼灼,0.16095832674955887
夭夭,0.04664151684724084
其華,0.043720249460564894
桃之夭夭,0.043320546083765635
蓁蓁,0.036399172416093334
英英,0.03562124581252667
］,0.030676283494392276
［,0.030648986631855214
朝霞,0.030246535987449075
敷,0.02958938779673218
若,0.0286995534705905
離離,0.028467256518980105
大火,0.027472065915193227
明珠,0.02744713164397685
臻,0.027256796324657318
繁星,0.026800620139394975
亭亭,0.02647866553731184
桃李,0.025925019535509478
兮,0.025917667483642236
復,0.025905748878424725
盛者,0.025583226286091703
摛,0.025033662110084565
毛詩,0.024713660290140275
逶迤,0.02466184313968639
藻,0.02455807624543868
青青,0.024410026474790063
榦,0.024405675260184546
酡,0.02395949351369292
是,0.023155259998445085
美玉,0.022731552667339856
暎,0.022629036191523205
其葉,0.021937372757128558
日,0.02158587094532194
迢迢,0.02142584855579117
灼,0.020943537502695907
色,0.02062265912266108
穠,0.020578337457534866
蔕,0.02047866232257899
西王,0.020357326342646847
依依,0.020205898470669593
衒,0.019991712860313336
珠玉,0.019967063085413097
發,0.019965216642231783
翠葉,0.019775931404756333
置,0.019759583310863985
皎皎,0.01959053714485633
各,0.019586777908775846
龜,0.019486641348006508
》,0.019390696584458585
汗,0.019350482560063796
苑,0.01920387645546059
列星,0.018843209041329727
月,0.01873696744920923
跡,0.018519134946006953
碧色,0.018415080696839958
其實,0.01840841616834344
婀娜,0.018395173738478033
儁,0.018221000828698174
廟,0.01821236016498199
露,0.01813280241570495
《,0.018074826436184837
曄,0.0180109365302835
紅葩,0.01791697097046869
盈盈,0.017861223314147794
揖,0.01773533330790187
至,0.017507328494605873
顔,0.01748583924043401
田田,0.017274013731805565
以,0.017044508304593496
不,0.017011771197666146
有,0.016996761570156046
流光,0.016669633280885686
莖,0.01656256814983225
夜光,0.016562441724430117
逮,0.016561945856975062
七月,0.016428800274023294
鼎,0.016297090944198917
更,0.01628875626324376
高,0.016265418129529186
之花,0.016112329392805005
上,0.01608844461114862
去,0.01608350414719722
周南,0.015947585955763188
〉,0.01591081815588883
三千,0.01590761118814943
蟬冕,0.015881328641081213
如,0.015786572924943322
似,0.01576878269870239
和,0.015752210198643424
交映,0.015734359840541386
之中,0.015687267785456514
珪,0.015684235777942496
搴,0.015648788881643207
廊,0.01563422696892895
菡萏,0.015428354885818145
殿,0.01539068837193142
長,0.015347054080494783
岫,0.015311677310588315
傳,0.015296744053146932
麗,0.01529100801874976
：,0.015284818357464047
良人,0.015277422466020636
誕,0.015134134811582664
夫子,0.015061208965159474
楊柳,0.015049520564658077
詩,0.01503849420116078
彫,0.015034218320988694
多情,0.015015272107368895
秋月,0.01496359815814472
冒,0.01474508502516081
誰,0.014517548097820448
芊芊,0.014498704172761962
元首,0.014494006308183703
珊瑚,0.014451105737359726
鬱,0.014441575997304982
之樹,0.014439222514231345
窓,0.014342242423653555
戢,0.014295491028297464
允,0.014231903241609738
思,0.014117289118418055
㠯,0.01402961054970166
其榮,0.013938364032018657
佀,0.013910494205528331
曜,0.01388192177862585
翼,0.013839772109623035
有意,0.013764344903699849
穆穆,0.013761348452296897
浮萍,0.013694436494474863
文王,0.013621860948475326
生光,0.013564044339371037
深谷,0.013515524918509226
霜,0.013473036832411718
願,0.013444886038806333
方寸,0.01339214030581687
一時,0.013382466026060549
