item1,value
煇煇,0.4626802719303801
焞焞,0.32201823423981235
草部,0.07449886403015751
聾,0.07420498534557424
灼灼,0.07392154743818823
「,0.06631524640286451
更,0.06576983037324871
深房,0.05749572657068439
　,0.050056176972297896
之脉動,0.04836986538915709
病耳聾,0.04517140526985803
也,0.04306959343213221
過客,0.04209635865170913
似霞,0.04077218206172593
殘月,0.038429019134045624
嘈嘈,0.038171539972994474
燁燁,0.036971379228801324
暎,0.03684212345153183
太陽,0.03562559159536313
卻,0.033241641530238474
耳鳴,0.03257490924468691
三,0.0317369195670007
皆,0.03131815305428099
手少陽,0.031035773721305657
鷄,0.03092042338780737
紅綃,0.03065696428104666
唱,0.03025832011811031
，,0.029839011814017286
鼻孔,0.028843669862345753
氣滿,0.027733628352078772
耳後肩,0.027420179402715277
嗌,0.02735812962851118
汗,0.027201650235099222
煌煌,0.027125811743355398
閃,0.02660446726784174
耳前,0.026529722369151083
滿,0.026266570625342496
是,0.025867066926373073
外,0.0255109896203835
者,0.02510824544077452
痛氣,0.02469349219002656
而聾者,0.02400626706471753
無,0.023478996669762022
其氣厥,0.0233464505173523
疏星,0.022185701217144502
之脈動,0.022004781276600695
去,0.021918305690018507
飛,0.021905906861939203
上挾,0.02121381280781418
主人,0.020867298851649126
臑,0.0203504201601019
研萊菔子,0.020142437251290498
翹耳鳴,0.019886747783214608
動則,0.01969458082213627
一縷,0.019691585038704218
以至,0.019333203902459822
生病,0.018479293783425325
五,0.018269282661176178
氣厥,0.018147465551681022
火,0.01694116502914093
養生,0.01658283357132173
上,0.016542602699038848
〕,0.01653125063692512
耳中氣,0.015808381402729527
素,0.015306324446010206
勞傷,0.015213898367858622
黑,0.015073165100881273
諸疾不生,0.014673777336381187
強折,0.01465268320758381
耳聾,0.014643040137337157
盛則,0.014485401379951683
顴色,0.014438052962783055
氣虛熱,0.01443681308059475
遠舉,0.013875637447127267
消詳,0.013872142536110424
有心,0.013596649893940767
辨,0.013590496438292304
流光,0.013565724400929974
歟,0.013373251183367407
貶,0.013311152760177511
則耳聰,0.01315448981266403
改,0.012635021504079096
不盛,0.01259967320538494
諸病,0.012510259519291148
打傷,0.011890859157267196
五絡,0.011863493301018829
摶,0.011854878535564472
面色,0.011781976668455773
耳聾連,0.01176595579858844
炒,0.011605903432200878
崖,0.011377575603434371
夢白書,0.0112785481998504
并,0.01125395889562967
方云,0.011246030084992356
佳樹,0.011149467414668766
用意,0.011069770887731466
瀉,0.011010582815139136
審而治,0.010614167966401312
：,0.010583324045403996
不虛以,0.010541424970827514
併,0.010520268443478706
茸茸,0.010514038138557915
上松,0.010499227339413272
有臟氣,0.010440899859946838
除少陽,0.010338038156766708
掣,0.010256618522151905
貫頰,0.010167799333649828
充盛,0.010154038903882267
翻成,0.009987566120675882
腎臟氣,0.009770409764443615
白,0.00964038269072541
毫毛,0.009390870247217976
寸口,0.009288423895194258
吠,0.009286654445595628
；,0.009280333978065767
無情,0.00927222968883772
出走,0.009167097949937078
下齒,0.009142797110470604
高飛,0.009117721445814008
嶺,0.008951266894181707
..,0.00878958178375697
不濟,0.008773258019293602
明月,0.00876658073273382
乾聾者,0.008712595580720342
這場,0.00870798154346048
三焦,0.008707078210984744
耵聹,0.00868384451821419
就,0.0086316954214634
開竅,0.008622010372816468
頸,0.008583898353316046
病源,0.008494527729953204
前柏變,0.008456531116270552
滓,0.008339391097774434
敗,0.008336062276012945
作聲,0.00818755896471726
洞門外,0.00811327730427075
則氣,0.008032723803565496
重,0.007942287710733978
藏,0.007929072997933191
身法,0.007860742486562475
忍疼,0.007828505496541075
少,0.007694580450372679
虛者,0.007632260234842808
呬,0.007605220636630476
怪物,0.007564508414504767
絳,0.007526990856311172
五行,0.00750736204227076
而立,0.007503778222483539
相,0.007492348316872157
氣血,0.007464669986734853
清,0.007464637243972575
門前,0.007457571342225719
兇,0.0074466713785843516
夫腎,0.007445261833104224
穢,0.007285836128379838
一般,0.007273915441658749
指之端,0.007219311639900126
經脈絡,0.007212206470575477
〔,0.007160227602152237
1,0.007139611755110711
灸,0.007107226990852955
經脈,0.007070739396544733
急到,0.006943442360211532
連,0.006936739595726929
但,0.0068993277530886785
宗教,0.006880702494116164
年,0.006826234674434585
血俱澀,0.0067511353789385924
火樹,0.006746707411659351
自然,0.006722396052333841
日,0.006704979351505956
東西,0.006540665953181074
慌,0.006487907780041438
魔,0.006362052605988762
卷上,0.006334930541266085
為此,0.006213735432213291
人心如面,0.00618919336613401
可不,0.006065748429491656
膈,0.006047005096211483
南北,0.006036175122566913
下,0.006008074557730538
寒盛,0.005919235956006028
