item1,value
煇煇,0.1997122684024384
焞焞,0.09492376673317895
耳內,0.07721800870569788
作為電,0.07286906816569406
如望,0.07267414240031128
然齊器,0.07149342820817209
其狀,0.06966161695598241
之屬,0.06825030589307349
銅器,0.06652101319773612
詳所據,0.06458733470961849
馬,0.06297839404944496
聾者,0.062486251378301154
動厥,0.06128694071284244
未,0.05782048276717284
指難用,0.056347717398176116
手太陽脈,0.05384853239461585
微書引,0.053660277959816594
無明,0.05180374444469694
耳鳴,0.05082535396681229
指次,0.05026223140115115
太陽色,0.0501763403254656
榖,0.05010033886896112
之脈,0.04937438043892179
、,0.04925935609003197
古,0.048604792381712426
牛楚,0.04840149786626972
其證,0.04823420113637164
赤然,0.04819420547825219
而雜,0.04515333146601203
嘈嘈,0.045148278109140995
手大,0.04359169548112817
但體,0.04345332430251127
手太陽厥,0.03963177511975674
氣之象,0.038802623159378255
色,0.03585379100841417
赤中,0.03533330150128147
見,0.033314057485866265
手少陽,0.03300997474927479
耳聾,0.031835515314321196
按孫,0.030397095601770497
廢,0.029590878570455455
，,0.02937736084447132
卦,0.028311789753824704
耳聾者,0.028187520993333586
狀,0.026475426974634883
之象,0.02599008909234178
非,0.025974088125783827
為,0.02595827281097197
赤不過,0.02562382973088385
其度效,0.024831272686816213
其氣厥,0.024713505167773105
後,0.02374007506869294
：,0.022144718244417976
赤,0.021276788150155605
此文,0.020838924874168926
明大腸,0.019559020147602427
而,0.019254345332280435
一辰則,0.019175340030555058
疾病,0.018993395299087685
手陽,0.018049232376635995
消息,0.017921431613915226
悖,0.017515785103048947
大抵,0.0170927043225386
越器,0.016150101716815614
知其耳聾,0.015891186088377165
經見證,0.015255297502931172
氣滿,0.015187196697718749
耳,0.015011171899226612
上,0.01473700246989992
如,0.014352220781102902
與,0.013538298147668984
氣厥,0.013533162350205387
存,0.01328240574320327
太平,0.012754253135945736
肩,0.012558327299683602
。,0.012492304945399007
體,0.012447659939411855
○,0.011496884594918794
亦然,0.011401134070160858
蒙,0.011323427038194646
瑴,0.011286822568619823
殷殷,0.011047965672255664
今據後文,0.010997392416145918
逆,0.010826813248596663
正文,0.010618201953948612
兩句,0.010600293716209816
如縹太陽色,0.010337415698903807
脫陰字,0.01006031814248325
時,0.009991611834556437
水比,0.009757788787751603
比亂,0.009719425999694732
人,0.00953654515384733
亦,0.009313046717558802
陰賞,0.00922551620758479
寒燠,0.008523474820176171
一日,0.008336138546173683
),0.008276897198584461
／,0.008227002187289438
塵白,0.008225159929603734
明,0.008076372512172645
風動,0.007688147276467793
四時,0.007571789799592059
麴,0.007549903853650744
臑,0.0075308884302624805
注,0.007447675590234269
之脈動,0.007397412011052367
過乃為,0.007364223816507621
又,0.007249788764468242
反佚,0.007197557807394828
照,0.007163589367049363
蝦,0.007143906407185393
其色,0.007112000734956796
其本,0.006974370940901851
相屬疑,0.006906116953571548
陽,0.006860336890325528
二百,0.00669483412642597
二十日,0.006622316384761151
誅,0.006597685853850284
但,0.0064826045398514885
陰潛陽,0.006396536893186083
事,0.006383592423922488
平旦君,0.006198265890932815
不鳴,0.006108424259330611
(,0.006050889187292362
祿之除,0.005978388582018978
相使則,0.005890678917866221
注耳,0.005858360310048784
降陽,0.005797846479317645
寒則,0.0057122329629154265
於,0.005601224450610712
補入,0.00556735710240985
地侵,0.005566680648446411
下,0.005539815885872745
本後文陰,0.005522890034260441
實者,0.005512332233356373
而此,0.0054775088923206166
無以,0.005377965871253365
百姓,0.005355912332251786
寶鑑元,0.0053349992417766135
夜半,0.0052854237904663166
還字,0.005217769900171535
道卑,0.0051834653369181955
隂,0.005182820294774352
曰,0.005172314160387829
太陽,0.00511347333349082
有貌,0.00510955779731504
降為,0.005100616597528774
一辰,0.005054090952609953
佚文,0.005038316921865175
縹,0.005027045891450506
陰所來,0.004956226422027184
效,0.004932426385198349
無實,0.00489459250071084
還暴,0.004820605343599176
行事,0.004809245560607898
條動播,0.004760860308393554
原本,0.004751543393548124
辰者,0.004728597453204434
氣起,0.004716340732378105
令蓋者,0.004666850988199248
中孚,0.004625508659571896
遂,0.00461691672709307
當白濁則,0.004598422380114456
一百二十,0.00458710657617989
決,0.004571991175099338
按,0.004541900239238318
破塊,0.004538188205759454
之色,0.00453110703210844
可,0.004463771365650775
冐,0.004453895010060003
復,0.0044216940841927
微,0.004380093736642056
日降,0.004313932202564578
九月九,0.004302036162713293
師不載,0.004295481542130192
還雨,0.0042815506880361405
之類,0.004216557749926729
無疑,0.004206842911866237
以下,0.004205575718670528
成三必敗,0.0041828108611252374
庶,0.00415954414611881
元,0.004143808671221137
異象,0.004120756943624514
幾君能,0.00410604010882044
卒,0.004092137122462822
按郎,0.004091664619885031
微白,0.004091124078847378
陰陽生,0.004087939514011954
陰假,0.0040651387504909275
九十三,0.004053292720785435
溫,0.004008812751265874
謀覆,0.003923928091738816
萬物成,0.003922756561718956
故名,0.003900850401856296
陰不起,0.0038311819684423
洪,0.0037821819111721715
有,0.0037792212632298747
雷,0.0037252429263263344
處,0.0037188530271250178
震,0.0037092305725997406
有陽,0.0036960103431959586
起時,0.0036906879577301363
比三卦,0.003667240651967829
榮不死,0.0036252514314311242
增入,0.0036124558659142046
所養,0.003609086999664931
至,0.0035973340748642404
至則,0.0035966967138550483
淨效,0.003571371854755706
秋冬,0.003560383913283941
聚,0.00355778438880458
時當,0.003550972224152952
相接,0.003511221757043784
電淳淳,0.0034918294814359017
時迎,0.00349121755350671
以,0.00346070945190122
先霧,0.003449115950059561
決溫,0.0034055578072187506
一藝,0.003405376046217992
尚易治,0.003391459552995432
文改,0.0033859194562206093
蒙盡,0.003381050339276871
以水為,0.0033728499801676266
不旋日,0.0033627126150680463
出善,0.003339921186532801
不效此,0.0032700181539254245
效白濁,0.0032487966646074845
文類,0.0032384128684957805
效溫,0.003216622093142369
臣,0.0032059214652446284
寶鑑,0.003189268190035485
強君弱,0.003171312967714613
暴疾,0.00315171742731732
形疑,0.0031328559863312987
並據,0.0031241621867164108
時政,0.003114585658274202
假作,0.0031092106888856905
御覽,0.003084350234840492
範,0.003082938351560822
陰作,0.0030821387230857795
一辰蝕者,0.0030630472476787423
生何,0.003049636443793596
不解,0.0030456676331767213
度乃賢者,0.003044733667042906
除者,0.003043206475120459
作虎今,0.003034613646735708
温其,0.003014442643009638
諸侯,0.003000991027713832
盛至,0.0029903064667705878
消此,0.0029902676208417504
陰為,0.0029894123273974697
正蝕,0.0029886472123613265
溫寒,0.0029789076935783903
殺,0.0029695268138988143
陰威色,0.0029587737140797346
覺悟,0.0029224239599693826
六寒,0.0029165629207000897
承陽迎,0.002901839155660188
疑傳,0.002900893219091477
陽感天,0.0028868482828191466
改不祿,0.002885108413118912
傷民下,0.0028779646347024106
先蒙者,0.0028654754407104995
還而,0.0028558161747712753
效賢者,0.002840305023900993
一實氣,0.0028379042102023955
存亡,0.0028146469793965652
災異,0.0028127055468261065
起陽,0.0028058749621563766
二月,0.0028026354539565515
有此,0.0028008398546984247
寒溫,0.0027943880300415297
天上,0.0027681520127704564
還其,0.0027662883113314324
諸卦氣,0.002764861451277924
將欲侵,0.002748306766638741
其電,0.002730597617838254
經典,0.0027258042779673337
晝,0.002721732829802083
無所別,0.002717733448513252
其君亂氣,0.002706796649553449
當勝雜,0.002697515850702487
任職,0.002694083944464008
甚者,0.002690979129109418
不下,0.002683467379192505
而災,0.002657754984887048
温為,0.0026445301313167027
陰正蒙,0.002616457025720698
水而,0.002613614752562299
陰卦,0.0026010970525796283
氣候,0.002600107509070178
併,0.0025974597008162326
