item1,value
煇煇,0.14473231567904157
彤庭,0.07020852060156725
階,0.06815838154927409
珊瑚,0.06725229307492107
琳,0.06334246532638917
焞焞,0.06163181786452159
玉,0.060447625632340685
耳聾,0.0600766732811775
碧,0.05845942574129078
耳鳴,0.05841612487114011
戺,0.058139048624989975
嘈嘈,0.05780691936467799
指難用,0.057598624461641074
耳後肩,0.0551036057212175
金,0.0532898789180815
瓀,0.050588808108749155
無明,0.048832147663503495
赤然,0.048528335430318315
但體,0.04824647165809894
指次,0.04779016783077334
赤中,0.04504607464173985
肘,0.04395172001328086
作為電,0.043737781198120114
珉,0.043343213546341554
為燭,0.04333988795448101
微書引,0.04137270466590326
太陽色,0.040548506721474246
臑,0.04004155032352564
古,0.03989221564255297
詳所據,0.03948035683315801
赤不過,0.03809064883508878
其見證,0.03797211676463941
臂,0.03720565517628057
未,0.03709456104918826
大,0.036313882038701895
隨珠,0.03630966076630186
璘彬,0.034831356968685466
色,0.034679601961350066
榖,0.034237879187246016
按孫,0.03422339263696012
疾病,0.033196294133613746
非,0.03078255605297818
此文,0.03062236637000753
而雜,0.03059770411203613
廢,0.02972565153926007
珍物,0.026337876848823164
其色,0.026025180293894754
赤,0.024067564405140254
鼻孔,0.022478107155485823
綴,0.0216077471751549
太平,0.021154989068697286
夜光,0.01924331206382176
無能,0.019162538962488318
瑴,0.018124008091782388
上挾,0.017020381992148743
破塊,0.016680464420670876
痛氣,0.01665134480199693
明者,0.016476738541511892
其度效,0.01645834500643608
如,0.015962149482985286
在,0.01549553350272285
適不疾沛,0.015464962391603792
霓者氣,0.014983106228816524
狀,0.014950741407710699
外,0.014658154458769798
也,0.014528622134395321
流懸黎,0.014263019254389237
一辰則,0.01371436486500413
殷殷,0.013699385692569321
悖,0.01367957764532928
滿皮膚,0.012072403385809267
存,0.010651003650478953
生,0.01024706260020431
美玉,0.009873299795694998
為,0.009467330263253419
兩句,0.009170359674051488
體,0.009063029771097518
以,0.008994514790537388
塊潤澤,0.008964866518819099
西有,0.00894644950258205
可,0.00878539102337162
陽,0.008715122586077807
羅,0.008625990240043107
實者,0.008622484530950424
煥若,0.008338982020603174
延北,0.008012297477838212
　,0.007985902889997452
堅而,0.00786095736069318
明,0.0077626280523699805
皆,0.007635413738656818
溫調,0.007315223949290712
怵,0.007056010869524557
寒者,0.006939796531556372
悼,0.006927733176367503
慄,0.006898539161307588
降,0.006830878158645024
其時,0.00676731344493029
不生,0.0066479315858598296
路,0.006570772848663229
雜卦,0.006555024541529399
相屬疑,0.006495242986105481
其寒,0.006464789407596783
手陽明,0.006314105404609957
故曰,0.00620671118014175
日側,0.006075023281356166
法度,0.006048769851933454
燠溫,0.006019051768097666
慫兢,0.0060183286330897845
