item1,value
煇煇,0.13080309131573073
焞焞,0.09406537145719528
煇,0.07340589779568778
彤庭,0.0634008667835504
階,0.055914902498358565
病耳聾,0.055459086561283934
指難用,0.05168579648992541
動則,0.051323297524048295
其候,0.049374340034185143
嘈嘈,0.048884112095920244
hun,0.048605368642160855
耳內,0.04856499650909135
渾,0.047022590694030475
玉,0.04602794257927332
彤,0.04507509268065307
音渾,0.04500794752928448
指次,0.04457096230833478
赤,0.04327421021944714
戺,0.042191427450698114
而耳聾者,0.041918872461977334
耳鳴,0.04113083191072378
嗌,0.04025111929289884
金,0.039327149206565055
之脈,0.03775460262796735
珊瑚,0.037427973147447446
腫,0.03733437140159091
而氣厥,0.03678453633927396
耳後肩,0.03616210718335685
琳,0.035582628615161434
其見證,0.03545846507583056
耳聾,0.03540382297810208
兌眥,0.03494359556024013
是,0.03437544847261324
肘,0.03264359335484213
喉痺,0.032559716446828535
碧,0.03170234635320264
耳聾者,0.02961732070343582
逆,0.02937135924093325
大,0.029064234951912966
也,0.028433226266824027
至目,0.028206276656022804
臂,0.027365249500078223
赤色,0.026058551682044174
焞,0.025512072229571484
少陽,0.02538817608558317
瓀,0.025217875745289022
堅手,0.025116248058203644
臑,0.02500374122403521
chun,0.02452558791825469
純,0.023139736134571192
為燭,0.02187294251319384
主氣,0.021785602256656156
(,0.021624456671658653
貌,0.02091482840159398
交頰,0.02080725170978441
手太陽厥,0.020284133863075753
鼻孔,0.02016412612610951
),0.019758711045931885
珉,0.019128071380292773
渾渾,0.018706114807174063
璘彬,0.018287897251307923
氣厥,0.017582117906521696
，,0.0168507308115973
上挾,0.016271089434787358
然而,0.015368569105740387
」,0.013849411848007817
前,0.013549748563810176
殼,0.01348946859344257
聾,0.013238021651670541
玉階彤庭,0.012845211493888111
善,0.012356843095611575
光色,0.012216402641550331
雜也,0.012098330208114544
而聾者,0.010479328833632916
隨珠,0.010449351146041027
頰,0.010235084690519217
精脫,0.010104763903268142
而,0.009946802037083645
太素,0.009531346926965834
廣雅,0.009511022933548633
外,0.009077856826217664
主人,0.008793359086114949
顴色,0.008736570773538075
卷八經脉,0.008678130746763666
痛氣,0.008315236710821046
曲大,0.00793513351631839
腎病,0.007741303040005541
之脈動,0.007705790178967359
纖縟,0.007561665736716664
四寸,0.007448035481367898
右,0.007376702891871138
之,0.007360648737437686
十六,0.007319608776913257
過客,0.007271880888712948
手陽明,0.007243855226208489
皮膚,0.007209225221275015
汗,0.007096101594450529
出目,0.007035234814022693
采飾,0.006725142729246895
令聾,0.006558408955704036
不,0.006428056910457622
兌眥痛,0.006382606063414095
起于,0.006373859078614082
徑,0.006156014622753949
采,0.00614025043582686
醫家,0.006019493163241614
五色,0.005994224221056624
㺵,0.005952022289882214
砌,0.005842253133182529
氣滿,0.005833350002823323
室,0.00580316825710604
一寸,0.00569106867132058
閌,0.005641700463110451
作,0.005613205685047528
列坐,0.005509748118344911
增成合,0.0054534327345743
㠯,0.005383363204594818
之一,0.005353141034633956
明月,0.005193928553362634
秘要,0.005160364255798081
金狄,0.005127347920821068
飛翔,0.005065267759444468
中西,0.005037731489885395
音,0.004968028384144341
昭陽,0.004938189282400169
上城,0.004927474175322045
子,0.00490990656257985
淳淳,0.0048023592106953466
未,0.004765560165826687
俟,0.0047578447401741145
至,0.004704832789606103
西都,0.004671956039670765
脉,0.004606634655908854
病源,0.004533140772705343
養生,0.004492945442581843
臍,0.004459028454500658
命般,0.004444022652371103
亦,0.004442661348293222
交,0.004393331738618371
正睹,0.004390360880564691
其,0.004380271604081116
態乎,0.00434412440913426
綴,0.004334443388426181
宮則,0.0042501903225032524
蘭林,0.004198255739715839
其中,0.004180574184761786
文玉樹,0.004167343292527246
度,0.0041620856628397495
奇,0.004149250811527132
案,0.004136999539525195
爾,0.004124367666866403
陽曜,0.00412363132168164
精脫者則,0.004122336564765423
之脉,0.00411454951299923
一云殼,0.0040842628208052284
灸,0.004067968991897578
內有,0.004009456893711159
取委陽,0.00399269723241624
高門,0.0038960115556925337
耳聾聲,0.0038949916991317985
寸之少,0.0038942238968235655
堅疼,0.003877802907000135
汗出,0.0038359732849716534
循指,0.0038052532172243732
陰藏,0.00377959764658951
夜則,0.0037568013889881804
之脈則,0.003751587749435574
滿皮膚,0.003732022565134143
仰福帝,0.003724006757865266
下則,0.003672348492192985
盡變,0.0036574209146180174
左,0.003650263963761258
徼,0.0036377200982384912
瑤光,0.0036155334484550762
故其館,0.0035989325556080192
之署,0.0035830687493911607
方,0.0035522928744513038
將乍往,0.003529234362434115
骨,0.003494763428840224
攢珍,0.0034474056129118326
之前,0.00344157486592223
昆德,0.0034221410678084326
賦,0.0033840451034878325
仰眺,0.0033707885433306565
夢,0.0033079121313595405
有,0.003279052649538923
心胞,0.003269396417140268
叛赫戲,0.0032687594953356536
玉繩,0.003254796393992855
翠,0.0032288460184691017
乎,0.0032239435901665935
而堅,0.003198123769048723
下,0.0031977673232078353
