item1,value
煇煇,0.16383509837221047
焞焞,0.0979114086153227
耳聾,0.08016868519722943
指難用,0.07893583380899118
耳鳴,0.07214542651124668
嘈嘈,0.06815433571521214
煌煌,0.0652802858081824
彤庭,0.06404913971844715
俱起,0.0635756129217306
須臾,0.06091380717301819
翕然,0.05960223180320341
指次,0.05825623383375026
病耳聾,0.058037666320872816
煇,0.056464867044916316
動則,0.05423143798573109
階,0.0539236082104378
其見證,0.052352970637771466
赤,0.048369851185295694
彤,0.04836411165436094
耳後肩,0.04828748894792456
精照,0.04811150648693116
孫校,0.047665473744257884
嗌,0.04696252939699891
珊瑚,0.04611989104167825
玉,0.045230315104949924
兌眥,0.045111205326429836
琳,0.043588890789581634
音渾,0.041353421365277664
候日,0.041007192850694894
藏本作,0.040495539249282266
戺,0.03969378206327359
碧,0.03915114940888629
喉痹,0.03710833540571413
至目,0.03587741368190799
赤色,0.03459542667459019
煌,0.03403800206126862
臑,0.03237987377442941
瓀,0.03178886814031344
肘,0.031042507522717887
腫,0.029654498485261825
貌,0.02921155114363895
鼻孔,0.02901067045040959
大,0.026946167465485487
　,0.02631547038696104
臂,0.026238760165993386
也,0.025782870139329638
伏伺,0.024737260160183336
交頰,0.024254301825432215
珉,0.024211441884682258
是,0.02411065614197146
：,0.02256934849379699
，,0.02067530685488038
璘彬,0.01973058670516586
玉階彤庭,0.019237866377870103
上挾,0.018942518978526782
金,0.01744738887253459
蓋,0.01594343663240305
雜也,0.015839862947750093
光色,0.01574541482222901
善,0.015552582232051368
廣雅,0.013553189953973905
主氣,0.012571357833726707
前,0.011628044613036737
轉數少,0.011487998518853683
為燭,0.010513458390804047
數少,0.010429495265843369
主人,0.01006826092071304
神光,0.009669110328033687
叛赫戲,0.009105425373661945
其轉,0.008834076018217809
正殿,0.008455872926501478
砌,0.008443748134488482
西都,0.008288582799649159
過客,0.008249186560089118
下,0.008226397208170609
五色,0.008013827205869824
音,0.0076806094016214545
俟,0.007589425247053925
環極,0.006955666713674415
㠯,0.006783970391204141
曰,0.006463232322053652
路寢,0.006417542593078536
知之耳,0.00628795625525698
少,0.006276634037341537
「,0.006151114245085813
膈,0.006108311698321463
骨,0.005918804828824026
髃,0.005728455303089524
本自虞初,0.005452136247940186
九百,0.0054193117519243765
其,0.005396528037611352
之前,0.005332088547123309
