item1,value
煇煇,0.15266817821504042
焞焞,0.09528660354244439
耳聾,0.09333615624814671
耳鳴,0.08952353011947152
彤庭,0.08901833863714285
珊瑚,0.08854527436212176
指難用,0.08792620914079409
嘈嘈,0.08425233055787529
琳,0.08293607207841543
階,0.08231002531075338
碧,0.07654614373773255
耳後肩,0.07642587392637644
戺,0.0642274481527117
瓀,0.06368708094070644
玉,0.06292495897112596
指次,0.06212138233752105
臑,0.054104596806347875
金,0.05393879002573279
珉,0.05101858613184919
其見證,0.048858396097045106
肘,0.04758785369890398
璘彬,0.03623746577319607
為燭,0.0360451550792264
臂,0.03445508864109752
大,0.031753822670293294
隨珠,0.0224791770214639
也,0.021979043056516056
鼻孔,0.021298050997215618
珍物,0.019603389123563148
上挾,0.01036471564308602
從,0.007868007311992577
支者,0.007839256924178495
屬大腸,0.0077631470720439955
外,0.007344316108204851
膈,0.006218910730678786
延,0.005269211575373244
轉相,0.005231691602190949
穹隆,0.005179449249883853
綴,0.005063440601581464
其,0.004929467950158702
閣道,0.004916317786557954
實蕃,0.004547940327784684
雲,0.00432097257513916
厥,0.004089414373138584
詭哉,0.003961960870216268
屬長,0.003949845921947548
重閨幽,0.0039005313540709046
六卷,0.003838517500967857
一百,0.0037926875130904706
涘,0.0037681516879423164
闥,0.003734703979056441
之外,0.003594523688631883
望,0.003544652744909601
秦里,0.0035292558451670807
上,0.003526066514417105
䆗,0.003508744926722569
西有,0.0034978485797220685
同宅,0.003440161938637073
西秦,0.0034112297671523534
　,0.0033930762429359067
乃為,0.0033737092040951964
凡,0.003365288052229186
似,0.0033303524081465157
肺,0.0033272430916461895
樂,0.0033152846899442904
自我,0.0032426885513101794
茂陵,0.003191818109067176
棼,0.0031485695041565324
昆德,0.003140528330361575
閬,0.0031004633354931544
渭,0.0030919492948090098
五十二,0.003083618613045656
帝有,0.0030038723068876684
風之遐坂,0.002993679694167981
雲楣,0.002965567410932941
窱,0.0029574047353245624
意亦有慮,0.0029403015939898445
刻本,0.0029252774329596195
栭,0.0029230395180327474
金策,0.002919063846528228
神祇,0.0028852361700100293
三,0.0028718194654439176
然而,0.0028632643007114704
],0.0028562325245209625
失歸,0.002853935083821971
埃,0.0028526576884012264
正東,0.002814829913943552
陰藏,0.002803708398248463
水嬉,0.0028000960899029976
消,0.002792484629927348
蔟,0.0027809365054311886
雰,0.00277902000317881
宸,0.002770296207060638
洪鐘,0.0027685833721817696
趨,0.0027624496202317676
亡魂,0.002753142048312687
1637,0.0027207872269024874
陽曜,0.002697190660803055
之原,0.002668130315854618
宜其,0.0026346091553667945
圖時,0.0026279062498613358
朔,0.0026092475047235263
河曲,0.002590574423037068
叉,0.002586132437680429
攙,0.002585194556261694
當足,0.0025728749225519807
若驚鶴,0.0025716817816082735
見,0.002559539436750506
罷,0.0025576067181986096
迅赴,0.002529144371374075
錫用,0.0025145332441948694
跡,0.002507146253713478
𤟢,0.0024962654906423585
蹍,0.0024804191920100964
雕楹玉,0.0024725132397159255
萬鈞,0.0024488212904908895
缺盆,0.0024459225520100875
別風,0.0024347421320893552
牧,0.0024124513689983756
可定,0.0023736792627940396
磶,0.002367209261716266
畢,0.0023629944825474774
用戒,0.002342066282051864
橑,0.002334384252057042
集重陽,0.0023251113492296256
猶存,0.002306029580670744
及帝,0.0022979952571083435
田上,0.002290073408950535
絕,0.002283258475572516
鷁,0.0022809881502581105
全後漢文,0.0022802120194336537
值輪,0.0022721853484132803
罪,0.0022716404091937844
捔,0.0022647601791849965
峙,0.002254244727704546
贖子,0.002252597076855472
結黨連,0.0022500766558830815
投輪關,0.00223790584198296
命舟,0.0022030605631168914
翬,0.002197279231541441
外前,0.0021755694616610263
阬,0.0021724996844919423
歟,0.0021712851450130916
焉,0.00216970373338184
紛縱體,0.002164875396779829
采飾,0.0021605793191871434
舍,0.0021575238353850603
憩乎,0.002141864219964345
醫家,0.0021403068819343804
鍔,0.0021383538695471434
之池,0.0021341328323871652
蜲,0.0021321770288878876
新作,0.0021285571364950944
孟冬作,0.0021275709890326527
相接,0.002121098785724998
㺵,0.0021173661393563735
嶕嶢,0.002115864067323408
聲清,0.0020881922543261673
此土,0.002082863037937174
鎩,0.0020638063887726435
洪涯立,0.0020571313099155774
擊鐘,0.0020510597257432477
卷,0.0020387886816210544
扃,0.002028148688646711
室,0.002015963954991646
子,0.002014516967334069
懸,0.0020132107290312556
鉤,0.0020028781171377947
頸,0.00200225353525575
天廣樂,0.001994998886319545
邪界,0.0019931473222902763
敷,0.0019821819331778032
之始入,0.0019808740492353975
旋,0.0019715507799069553
旗不脫,0.0019618618426873987
結駟方,0.0019564806680693035
拘,0.00195325621360636
鼎食,0.0019517729506085696
畼,0.0019454577656923826
登,0.0019449540239837824
流,0.001942243010294911
欻,0.001935069736862215
之內,0.0019318852102832647
饒,0.001923739082277059
盧之輕,0.0019175899172052555
纖縟,0.0019139676676660064
何不,0.0019120714857702127
閌,0.0019101813367412312
列坐,0.0019055329645401996
虎威,0.0019050674145255036
初,0.0019030331885897
欲,0.0019007711138603867
訬,0.0018998066104515378
崔巍,0.001899213935175847
細柳,0.0018973581337020356
十年,0.0018943648145090435
仰福帝,0.0018881056380244414
昆明,0.001887337257955458
迎風,0.0018834207554523068
延北,0.0018825135975567202
振朱,0.0018802804924583686
蘄,0.00187819072006408
陽石,0.0018735888391414129
倚,0.0018716232528264857
輻,0.0018691907756418114
漢氏,0.0018663646759932368
伏櫺檻,0.0018619266927548468
頫,0.001858796817804291
崇而弘,0.0018526909174770225
徑百常,0.0018445708629282835
植,0.001843496203051658
勝論,0.0018386778267983361
鷮,0.0018272944798760668
桴,0.0018266199354559736
之本,0.0018067301594932791
增昭儀,0.001792092355263592
疇,0.001789779908841097
明崇禎,0.001789400397095283
東至,0.0017842396038216723
孰能,0.0017803730210850688
竦,0.0017593529161189178
醫宗,0.0017556107015342078
化俗,0.001752248597327065
