item1,value
輝輝,0.5166312701173509
三年,0.07600793704182733
道,0.06528491784347612
含,0.05890753642687486
路,0.055042017774268225
亭,0.0503055432657531
馮,0.04967485344160029
共,0.049498193902047925
一名,0.04868508415214784
後,0.04615770276233354
五月,0.04506666959532298
玉,0.04473081525234656
深,0.04352527041949348
復,0.043261386965426876
羣,0.04321192861020707
白,0.04294709037774937
鶯,0.04227353711188955
栁,0.042125266688893485
故,0.04070547859241002
】,0.04014218647817232
于,0.03810030996425759
打,0.03798322010262317
一,0.037903092536942955
收,0.03783954674121642
陛下,0.03769394338112921
金,0.03691659051306958
仙人,0.036717245878297444
馬,0.036022839092477735
而,0.03593598956951762
如,0.0357351227215533
落,0.035471055684042054
夫人,0.034140312720750104
五色,0.03393318752754392
不肯,0.03351053472623229
絮,0.03348639685878763
莫,0.033395883484585366
越,0.033211270488177465
！,0.03273584604099092
帷幄,0.03267932338398841
多,0.032194900675493326
有,0.0319326662234014
紅,0.03159360788763058
之前,0.03147360604476877
清,0.030908591125182062
賦,0.03053714807598219
我,0.030275290836959158
上旬,0.02992159226826327
重,0.029903040766810565
雲,0.02987469285033676
繞,0.029654329791600674
見,0.029132126393295103
天,0.02912198786441708
今,0.0290708153668464
為,0.02856943947157281
閑,0.028549172735655076
高祖,0.028524270091334902
拜,0.028497552656959572
奕奕,0.028439309432517983
元,0.028316717397710814
矣,0.028312152770505923
赫赫,0.02814462140386271
卷,0.028118069203672384
不易,0.027776418034095383
兮,0.027704201401836603
以,0.02731037336559713
奔,0.026880921739443182
露,0.026873741766233708
乘,0.026616459580697485
黃,0.026427681051959685
飛,0.02621874935543539
東,0.026111101788434902
花,0.026057407394730676
迴,0.02591494342506327
乍,0.025903026854745256
事類,0.02589142842713306
詩曰,0.02588799723035794
郡,0.025881219827825177
人,0.025825167570354097
拂,0.02537996656901505
竒,0.025321388429958805
開,0.02512148150481153
飜,0.02477073146670316
胡麻,0.02443980600449747
㠯,0.024345838543064127
地,0.024242759485704993
風,0.02415479855036449
葉,0.0238147970235503
逺,0.023642524934415852
柳,0.023593673871742445
煙,0.023556372829632046
○,0.023384650458333555
為韻,0.02325476332438071
