item1,value
灼灼,0.3655659920542314
夭夭,0.03409899274003986
桃之夭夭,0.033333000726576544
煮,0.024474817799649728
其華,0.023996013400375
如此,0.02391074568295132
又,0.023745492852465574
離離,0.022808279159635444
在,0.02268445452745148
不,0.022247812303365574
亭亭,0.022042452029288177
輝輝,0.02190866618442596
耳目,0.021386297666454092
宜家,0.019717506080646083
遮詩,0.019462121206003158
依依,0.01915130587275414
上,0.019082912088800332
當在,0.019027502129292138
逶,0.01893026247287764
其華易林,0.01876382294002634
油,0.018762191430945246
允修,0.01833028948272084
轟轟,0.01827598078334442
藍公,0.018268768718684204
青龍喜,0.018207678595492917
亮,0.018164550889692876
人,0.018102015609543633
形體,0.018095996197101855
金光,0.018054010397577307
春桃,0.01803495633385356
萋萋,0.017996000327215215
若欲閉,0.017994896644709116
爾,0.01794507834002652
吸呼,0.01793190360631829
是,0.01786775875502298
明中,0.017819974909346246
詩濯,0.01776669085509985
有,0.017721774786358314
焰輝,0.017676989981291677
紅光亂,0.017665211281404216
三事,0.017638142700910714
雷電,0.01741464660117721
爾清,0.01737869776224894
聖震動,0.017308563418176708
開紅春,0.01730363817169085
繁華燁,0.01728470313938027
滿縣,0.017219426133176112
結實夏,0.01720208245862454
生華季,0.017197498612426296
風任,0.017025312717321012
風裁,0.01701510778235577
令熱,0.016986576404008694
往來,0.01679353938025799
時鳥鳴,0.016743869216542268
錦袍,0.016728146351939466
姿玉為,0.016727955858644113
與,0.01671545325323103
明素鷺,0.016655758199393904
自視,0.016642354293040392
而燿野煒,0.016572147886501732
踸,0.01653419930134536
霹靂,0.016519450989730074
風飄仙,0.016511912011953022
浮萍,0.016479756816798398
手足,0.01646912869534381
白虎,0.01644338177421065
傍蓮池,0.016412416579376764
餘蓮紅,0.016397185269422535
紅榴吐何,0.016356663436981427
其榮,0.016353486522664745
圓成光,0.016352154282171478
錦莫周,0.01631682729878551
無若,0.01628384936702513
虛空外,0.01625035171301761
牝丹,0.016122498248663308
惡赤蛇,0.016105134220703646
一升,0.016099274587245437
目思見,0.01607470250524679
禛,0.01600411896681697
鐵龍,0.01600005521800751
嚶嚶,0.015922132935732115
芙蓉,0.015907608982024105
。,0.015891660714885326
雄威,0.01588736389522609
踔,0.01588339749937405
神翁,0.015813651475356752
泥丸,0.015775754716942512
罪福,0.015768812661773126
丹華吐日,0.015755494132527054
爭顰翠蛾,0.015730096457736282
半水,0.015726414251339207
朱實繁,0.015694672886197608
心娱,0.015685507605163594
翠葉,0.015629834707724864
争顰翠蛾,0.015577975780393147
攀心鏡,0.015534267149269344
朱華煒,0.015521012999988244
去,0.015499964137179047
時間,0.015493075648189258
明明,0.0154918470151101
中而,0.015486052220218306
仙仗,0.015473688348325175
無苦,0.015418036017854865
自口,0.015401352300648414
芬葩,0.01538637028216518
甚明,0.015380281767520375
取鹽,0.015378573150618108
及,0.015357639917356494
上火,0.015353460249429497
熱無,0.01531920472992062
來,0.015299698926321114
如雨,0.015283188210838952
盤礴,0.015270781524713858
愛棲趾,0.015246691688878692
照破舊,0.015226224771055561
閼伯火律,0.015184727550550711
交橫,0.015184727550550708
順手,0.015164081794913123
紅缸,0.015157096519195223
季女,0.015112103345715675
震宮,0.015103212481372903
塵生,0.015054739349996151
二粒,0.015054655949078835
纏定,0.014997149619453478
聲響,0.014989383286430218
綠葉,0.0149757263143493
完丹藥,0.014970954508223538
滿溪紅,0.014970310639264975
媾紅爐,0.014944196414241032
雷公,0.014895597954936774
為,0.014878547474572701
可佳,0.014870587456871302
而揚,0.01484480737009719
竹杖名,0.014843381046145363
以漬痛,0.01483169125735349
鐵虎,0.014818799790138358
以漬,0.014801155323831219
蓁蓁,0.014795740044927647
虛心,0.014775640878998166
湯令,0.014772804149383369
迤漢宫,0.014766903168028032
迤漢宮,0.014759342247085036
出遍,0.014731194194110104
金花,0.014723331595020669
周,0.014721330091727583
看鷺飛,0.014710145907007472
飛浮,0.014692232158530156
輕車,0.01466118428980224
葵榴開鶴徑,0.014648821850496875
北角,0.014616889671594715
酡,0.01460849792238403
之忠節,0.014605263109171741
桃片,0.014585678646449616
拈來,0.014575375158058233
花,0.014561405401086155
雷部,0.014546420146570179
中,0.014534343977963816
覆錦魚,0.014530230100571985
如雲中,0.01452464387532165
節生,0.014515676050148415
惟願後世明,0.01449762112802501
無所苦,0.014475689847074721
逐漪,0.014472032354234643
紅,0.014469668737306075
則已,0.014392437076444916
偉矣,0.0143894669394326
寒無滄滄寒,0.014358284365702804
無著節,0.01434636369322732
林草,0.014324921014272098
寇仇,0.014315623105258066
兩足,0.014315610329026182
濃熱,0.014302575231758399
不動片,0.01427885093490991
昏衢,0.01427360319408587
寶甲,0.014240636486218889
著天,0.014233410465344655
之樹煥,0.014223056782641443
祥風正,0.014197347466855853
華敷,0.014181421687030593
逶迤,0.014160922346644764
明玉清樂,0.014156706714225344
，,0.014132109124201325
花元,0.01412242217853766
滿壇場,0.014117678416688033
遊靈景何,0.014115183575162392
近觀,0.01409504465176228
無邊,0.01406051232855949
神修,0.014047888865088743
榮瑞兹,0.014011174536279425
直下長,0.014006658149350816
𩄇,0.013980718600136728
姧,0.013980648945910537
矢逝,0.013978585118533064
見,0.013965747557870995
運如,0.01395743785410163
可見者,0.013947107378217825
天鼓,0.013946863022166514
處效,0.013939853370455854
連空響,0.013938212356516473
荷綠,0.013909602308671028
火,0.013885970292726679
高射,0.013867386046804734
宋文,0.013847235932852567
兩手,0.013843640558216545
花言,0.013821137563078454
賞者,0.013817344406044737
一斗,0.013805329996008654
牧野,0.01380328209468444
桃有華,0.013797582629891511
火自生,0.013712881825731351
眩紅,0.013712855000503921
烏龜殼,0.01370827053256299
暫死食,0.013704551994561276
其華其,0.013696420999696163
添新雨,0.013680387841198974
旗竿,0.013668398043776666
然熱以,0.013661906110721747
襯戰,0.013657594679814491
令濃,0.013646119432083728
胸脅者,0.013642582865073236
一派,0.013635897461186645
似流,0.013635897461186642
元精,0.013635897461186642
凝祥匿幻,0.013635897461186642
陰渾,0.013635897461186638
時保寧堡,0.013630298009600144
綠泉,0.013611682803715667
食飲者,0.013600438796889432
布囊,0.013593344859379932
；,0.013581699581982926
眉間,0.01357694698631235
方以,0.013567419080730525
鼕鼕,0.013564364536221007
獨目,0.013553318511790102
代柳,0.013552681989026075
衣替,0.013548691033759162
佇鼎,0.013525580759902827
金甲,0.013505361866384137
紛錯,0.013503661305928632
諸書,0.013479600025118544
那燈,0.013473919937064057
惟桃,0.01346115369404427
節節,0.013459354377509771
熱湯令,0.013457848955858945
如光,0.013439163303529312
之纖枝,0.013429307167889726
舒百齡,0.013424314655682557
盛芬華,0.013396873666706619
爾漬,0.013372389251684361
青藍,0.013371824563346854
溫中適,0.013368891210509052
照地暉,0.013367913308375345
空綠勻,0.013367594761324798
名無著,0.013360628250986325
簪覺,0.013350682984068125
烹成,0.013348931712207924
英鵲,0.013327483764498726
生玉清樂,0.013319919510401046
削之以,0.013319012476192157
日,0.013312046960020509
香苞,0.01330573621127188
聊逢,0.013302511106382139
散亂,0.013296093735212443
信史,0.013295969099446607
痛欲死,0.013281369345176474
如景宿,0.013277479058848239
吸入,0.01327587661806103
淑景,0.013262381165769067
榮紅葩,0.013256342972494851
披紅,0.013241379360029166
其華之子,0.01323987673639561
覺照,0.013235380654992109
