item1,value
灼灼,0.28118127627902745
雪半青,0.044133351727575106
晴嵐花,0.04397327280426085
白陽峰,0.043159681294178305
春澗水,0.042121740769688894
雲全,0.04070554222098696
南嶺,0.03806650996681889
雞犬,0.037297491931525324
金庭,0.03593694449867123
桑麻外,0.03470039096965392
桃李,0.0337884606155361
泠泠,0.033350669235262975
已入,0.032415221964787834
欄邊,0.03233211894158922
漁舟,0.03196442077301019
紅綻,0.03131683023090985
面對,0.030751544509148868
葵,0.03039331921154433
灣灣,0.030077911075306787
敷晨葩,0.029036475340878175
皇居帝,0.028912709894995406
飄飄,0.02885086826870869
下水,0.027756834945598902
芙蓉花,0.027667273824906583
貴守,0.026767423934727086
闕開,0.02675094855073412
委路,0.026582598162642575
停,0.026171576249731078
谷路,0.026089137488226107
蛇行,0.026065680465695705
到門遠,0.025635642769883178
涉世,0.02549357700128177
錯碧流堂,0.0254255946593257
出水,0.025415404008014862
幪,0.025409842781685083
。,0.025388496963943744
江作,0.025334913506731477
真,0.024850937916681724
塵土,0.02482691839303531
汀,0.024721209679328237
明鐙,0.024445424301926966
塵能,0.024367079308490826
永潛翳,0.02430417940083792
花開,0.02430211425281505
江安,0.0242910088747379
柳細,0.024146842756805977
狀如,0.024039540838862613
沈浮,0.024036874309741767
刊落,0.024036834124882965
柔枝,0.023832425498561353
地玉為,0.023711227215446867
小盤,0.023256552958247537
翠色,0.023182101805234147
姿來,0.02316389342600197
臥歸島,0.023127703075685867
裊此,0.023075628403750905
花斂,0.023025245764128274
花,0.022961746037528586
沈,0.022919118777312918
光諸華,0.022850942506480097
當我前,0.022781599750660582
別後無餘事,0.02269576308320602
蠕蠕,0.022603107485552595
權相,0.02254460225352391
千秋,0.02245246725921627
向晚,0.02244807803927007
姬授,0.022417625768368213
嬪自華胄,0.022389895730039296
聲華必,0.022347240318341923
林木,0.02231043971130018
焰炙手,0.02222915373332404
競濡首,0.022208929242014373
相間,0.022185922776636658
草紅,0.022032099473250456
居冠蓋域,0.02201261174539131
王迹,0.022005130261103085
依依,0.021959403905824317
軀隨風,0.021940801148992564
于,0.02190827788479189
平分,0.02183659644148235
兀突,0.021831601170199184
根歸,0.02166333719613618
亂定,0.02158397489843114
鱗次,0.02157091114780637
駭動,0.02153922361137723
佳氣,0.02153841958150473
沁,0.021403906363440146
儲,0.021321213525706196
西園,0.02131097862198277
豔,0.021280531671022868
唯坐,0.02121504684220493
其華,0.020961005028780212
婉婉相,0.020942933201637683
還應,0.02093642825626157
異應,0.020926067416945655
苞,0.02092587784562275
頹陽九帝,0.02090377495431876
人之聞,0.020832372178608713
微薄,0.020737580813531775
公定,0.02073531286707817
戀榮,0.020587936252635025
耳目,0.020565346851573914
也然,0.020540767935783123
墳邊,0.02050746004587239
史牒,0.020433023753843267
允寧于,0.02042526928596145
集序,0.02040920554539303
居然,0.020304089732689594
前紅藥,0.02027829448328387
娉婷,0.02027121833651337
真真,0.020157819987391534
懷之卒,0.02008335218945664
秀拔,0.02007359021674599
可驚者,0.020051212735108008
嬌,0.020039122347053198
蓐,0.020020889722095675
有游龍,0.02001610324255383
喜祠,0.02001125041694399
七誡,0.02000353516995201
金殿,0.019975011236384645
罷則,0.01991982302177313
細雨,0.019908514753361157
春深似,0.01988782098552954
紅芳,0.019876544680317312
鬬,0.019841392200325863
鮮,0.019828875007252195
奇驗,0.019815842599379324
草,0.019772733355743373
窗前,0.019716276261828144
終暉,0.019653837520299672
居官,0.01957362620443394
洗淨,0.019568064882182105
開貯,0.019452652494320915
辭止,0.01942878756517744
裛,0.019358913966970415
遊特以,0.019349945913660762
功興,0.01933615317197274
捄,0.019323413105708377
彼時,0.019290652330081582
今寄魄,0.019284183655537267
肌骨,0.019235927673600488
氣與,0.01922824300419972
願得,0.019220399410961063
其波,0.01918943455313412
夫子,0.01918519208714184
明明,0.019040195746171874
沈沈,0.018901416078984476
掃,0.01888667791928739
螢光,0.018855980208635905
金屋,0.018845993515569696
江上,0.01875286861231194
烈女,0.01872756555657289
嬋娟,0.018648926491440326
香即,0.01861536054148438
𨻋,0.018588985740167877
西風,0.01855705340703982
縱橫,0.018515440954985182
簡斯皆大,0.018489741590988717
王鈁石,0.018474807715869134
何雄,0.018444181382852604
家法,0.01837215564897353
班,0.018350059460239272
穆穆,0.018336235015711033
念儂,0.018262971744926602
葱蒨,0.018223491611346565
腐,0.018176182721504505
列祖,0.018172216874825613
桃之夭夭,0.018147792077704814
空擬,0.018135143788361646
節貞操,0.01813143056681984
醉翁,0.01812828829946508
見,0.01811928418837135
棲餘花,0.018079061323779108
零落,0.018063740564790726
寒,0.01800219376602803
穠,0.017973898187064304
詭名譽,0.017969108752395994
延陵,0.017959642115588488
外野,0.017919442611813628
濁途,0.01789231370559796
四遐大,0.017877854449379
左散,0.017867767592213497
繁葩,0.017818321281687092
溺拯,0.01781607070562876
薄春華,0.01778233487522046
性好,0.01771414034252748
勅,0.017659102908281658
真原,0.017641058548023666
風仲雍揚,0.01763404350779247
平許,0.01759044994539717
光彩,0.01758085874482146
眾綠漸,0.017554697862668146
清官,0.017542852529505683
謹以,0.0175091893466716
嬉用,0.01750001624029561
幾若,0.01744792102545402
方寸,0.017427271454814906
之,0.017413003521947114
然在,0.0173857303503027
蕾,0.017372573879377694
鉛華,0.017331745834012882
不須,0.017249327851407127
夜語,0.017243084567077953
所纂述,0.017230087568356058
白茫茫,0.0172065272581401
石暈,0.017157422942083136
遲遲,0.01715423222683057
華紅,0.017061984748527843
文言,0.017036743850494855
耀,0.01703323710272581
晚霞,0.016907811593579694
丹青,0.016902449408786685
又況,0.01687173126246001
褪,0.01686809764514879
荅,0.016830887370507794
身等,0.016792377068805292
小亭,0.01676589941948247
棠,0.01670521532226056
尚約束,0.0166643202900885
來者,0.016643792150221277
歸郎,0.016639165216241734
同心,0.016604150526543418
聖茂哉,0.016601389909487136
侵已,0.016595596330075384
複,0.016595585910292164
深山,0.016552915290352452
始皇,0.016543746139509923
自言榮野,0.016529466433128626
承天,0.01649015329959462
吳縣,0.016489777532730322
青叢叢,0.01641467328668485
鶖,0.01637797730668029
春,0.01626861154988404
越受,0.016267436919314333
前覽,0.016227534183418876
擇相,0.01620568279129724
旁多人,0.016194595850916337
有葉,0.01619158312485316
釣磯,0.016185298902365662
紅,0.016158081366868575
皇自富,0.01613009848425592
吐丹,0.016080281904726376
迎事,0.016071414021864936
燦華筵,0.01603988095688297
結秋實,0.015991337739832145
蓬蒿,0.015980741354418113
聽,0.015948583394583778
眾蕊,0.01591897895394391
雲漢,0.015854200435288172
妝,0.015845162221377267
居之大,0.015828338298399146
渡時,0.015815874195267712
女之顏色,0.01580898316205125
御屏,0.015792568587246616
豈為,0.015786475299193654
太倉,0.01577083624856504
去,0.015767121317232624
危轉,0.015756921485812574
蠙,0.01571087582625827
榮夭好,0.015689193589472242
步,0.015682468191436663
饒物華,0.015681204637075383
暮春,0.015655276443094855
肅秋厲,0.01564280215789309
收,0.01561611168080531
盆中,0.015615739497981672
導仁,0.015610906599171455
昨日,0.015606353817067993
洄,0.015569835583940124
仙葩,0.01551441619576507
來,0.015492569992745949
目,0.01540876860073725
應韓,0.015374528928401366
十里,0.015369062726644147
之子,0.015350735451285053
記焉,0.01528673235476948
帝命,0.015223813596815551
溯,0.015218626202946476
花迎,0.01516150607427993
是,0.01515515996319941
幽姿,0.015143049310604182
私與子期,0.015134995376982924
湘裙,0.015117526198691616
遵清湖,0.015092237943836248
纏,0.01508503121552168
移根,0.015072640603100087
漁父,0.015054060726760065
有光,0.014990624448968632
奐,0.014942970090938479
歷波濤,0.014905812943990494
鈐,0.01489317330209366
開者,0.014885712733023576
葩,0.014856898806239617
幾時,0.014829458773957891
俟,0.014825713145334507
謔,0.0148089612509123
詩所謂,0.014796609521655834
朱櫻,0.014796541823671903
桃生,0.014790896687032358
然經史,0.01477780498368475
蓋銷,0.014744360270428686
青,0.014736567015918654
明證,0.01469253724555559
問郎,0.014684118119185506
皇嘗書,0.014674079158527741
弱草,0.014646349163172928
五色,0.014643998019725067
來程琳,0.014567092673136453
弱,0.014546507527838632
風故,0.014544513874292012
之炳炳,0.014510550288294347
閒蜂,0.01444490199885671
朱未,0.014425940869704017
毿毿,0.01442331426673164
願克,0.014422801379885336
析,0.014401895714777742
嬌嬈,0.014392230905488789
九解,0.01437973221655078
歡喜,0.014356260840152535
無不接,0.014273179009142383
㷿,0.014273179009142382
國邑,0.01427317900914238
群萌,0.014273179009142378
預宴,0.014266854509840696
妖,0.014252666784858306
清夜,0.014240658390171922
記瓊林,0.014231258674110344
漁人求,0.014224822745826421
夫里,0.014213653889539055
垂略,0.014182167068828152
中有,0.01413204528447066
英英,0.014121202443902702
身備,0.014039846605056883
而議,0.01401786101942782
家,0.014011184693076406
瘣,0.014010007912162404
嫋,0.013978193011233377
光明,0.013912573541710199
響,0.013907283665125999
香作,0.01388460040597676
犀,0.01387339761333994
各能,0.013839010085545993
河漠,0.013807020520339455
華邪,0.013801160121559587
海外,0.013793660330704928
殿威,0.013793617604792406
海棠,0.013740721346804598
轉屋,0.013733192096100286
水噴起,0.01372233450721491
擡,0.013714946390889847
竒,0.013660528888273234
春前,0.013626717786918116
無,0.01361476402131566
難當,0.013614651931034264
落花,0.013563498693766584
特,0.01353277419169024
戕,0.013504321982980847
河楚,0.013490976715578428
秦本,0.013489336777859854
香裙,0.013489336777859849
滴滴,0.013489336777859847
其美,0.013488347003429288
相亞云斯,0.013474839863256736
贈,0.013464451924203844
上下,0.013452679840551082
秋月,0.013449198749827368
岫,0.01341181119521268
業超,0.01336267349426031
超月,0.013357449198499481
間者,0.013353326114650942
歌懷春之章,0.013324755737310148
仲春,0.01328971058642632
天壤,0.013279876999706345
睞,0.013270274626269892
王疾,0.01326902540106514
否,0.013223323844817525
曰,0.013221076106539538
往者,0.013183525257807655
忠信,0.013173033852393904
其華謂,0.01316406641773315
重經過,0.013152685879267247
其華音,0.013116343719682524
烏而,0.013056562109044031
煒,0.01303422722473513
愚,0.013031123269316446
寧是,0.013019150452581242
而,0.013017830446983531
禍,0.013008513652949368
則聲名,0.012998907370749095
文毅,0.01297098906584295
為世,0.012960184312823926
似茵,0.01292443229314922
丸,0.012890300656451933
酢,0.012883107034636684
福田,0.012837260063297976
也,0.012795283500484565
潭水,0.012739616650682043
武陵源,0.012739616650682037
澄澄,0.012739616650682037
綠疑,0.01273961665068203
毗,0.012737815452144193
善行,0.012709270972916742
相業略,0.012695083828605456
曄,0.012694068956858956
當時,0.012685841624927635
嘖嘖,0.012672215103773385
如電過,0.012661076727572771
暉,0.012649096580639785
女子,0.01264360595220434
子慰,0.012617893793716362
如天,0.012596397230416641
而神,0.012581199153338003
兮,0.012580297482420214
胡之子,0.012568931967107589
孤衣切,0.012568931967107582
柳枝,0.012559028503952007
蘆之漪,0.012551212620732098
華,0.012534341885352553
潯,0.012522304950490431
先無損,0.01249568857575518
差覺,0.012481556832069193
，,0.012392663190883921
發明,0.012379014278857351
炳,0.012372559940658834
曜,0.01235889374100059
己,0.01235433887488726
合順得,0.0123475387269357
豐确,0.012306174836031674
所懼,0.012278853870870242
高出,0.012277099431955468
行空,0.01224779683203244
晃晃,0.012242069516675474
嫋嫋,0.012239269947530227
余云試,0.012222345596145491
花如海,0.012204737765613729
形止,0.01219116222424634
攜郎手,0.01217361239800922
人,0.012169367819066832
乃士,0.012156114324095548
春風,0.01214571230047018
根,0.012133515973219896
花蕊,0.012040770546967202
僧位,0.012036879200165048
諸,0.012019738235062537
所傳,0.01201941839971987
泰伯,0.01201133668588351
情,0.012009652090129157
以用,0.011993935151686414
句法,0.011936061862801623
朝槿花過,0.011930035691782763
嶔崎,0.011901175338071897
飛路,0.011887579158881001
姓名,0.011881168398464093
洗治,0.011868148643671236
讀,0.011864523850808563
消垢,0.011863788137346933
輪,0.011851591380727848
的,0.011847937020924562
翩翩,0.01180096206215926
其華之子,0.011765953657855276
嚴諸大界,0.011763978276879628
進奉,0.011758289791202024
茸茸,0.011682181107681665
生,0.011678271149526047
先吐,0.011649851624649632
未有,0.011618338019706406
鶴,0.01157709223475442
路旁,0.011573608269249745
誾,0.01156879241150091
菩薩如斯,0.011559007144067034
曹,0.011557766313996342
嫁,0.011512755571456154
沙為,0.011499961213663694
意果,0.011473803534742713
月,0.011426248691974762
親他,0.011400319266917036
琉璃,0.01138869470644803
眄,0.011379958596143177
其光,0.01137259106106352
同年,0.011365671890747017
遏,0.011278227275900403
哉,0.011277488085075074
伎倆,0.011255364747905929
婦人謂,0.011247383598046197
為,0.011229978679320313
今日,0.01121666632197164
的的,0.011195554572383951
勢,0.011160771686307112
依舊,0.011159952084858524
移萬紀,0.011146830881410698
柳所遇,0.011102728147249628
芍藥,0.011090360047532938
拯溺,0.011049252389799764
為曜,0.01099153968089588
p.3367,0.010964152170812971
應當,0.010941085577831708
敢,0.010928355813827294
風節,0.010927353458136908
與子期,0.01091261332849606
午色,0.010822305931386784
琴酒,0.01075177094562263
繼之若,0.010723387049536499
日,0.010698423611301302
蕡,0.01062393107123702
其常,0.010584443492407267
其二,0.010576150940244172
不知,0.010575668895330707
何如,0.01056807325115651
桃夭之詩,0.010543076939132296
騎常侍,0.010540088043305364
強之國族,0.010532830695476088
返香雲不斷,0.010531304459747428
越,0.01042634045000827
蜨,0.01035980240077303
已變,0.010304316633433515
甚明,0.010300310073815785
其一,0.010299414856756945
非,0.010252296538510045
佛界,0.010235014053372645
自言兄,0.010233525078450807
草頭露,0.010228839386006683
照曜寶色,0.010217890477649646
高堂生,0.010213156876179276
悠悠,0.01018356367769448
隄,0.010182364964982817
松孤桂鬱,0.010161550161404312
堅貞欲,0.010154671789589587
其容,0.010126434015339395
蘚,0.01012615250999757
行不離,0.01009947814616838
一至,0.010082777518276628
皎皎,0.010028736789579808
「,0.010016507407502356
託,0.009976260667067654
似,0.009944568555883892
雨過,0.009936618416577066
山,0.009932607894733955
張眾甫,0.009886426792987384
早成,0.009881317884236903
吉祥,0.009861952655913463
夫何,0.009809888471929712
遠,0.009794809048804075
誰,0.00977233697787184
私,0.009764433609353144
禮逸禮,0.009729129557002442
芊芊,0.009674621263441973
變,0.009650653635018441
今春,0.009641952458941614
顯興,0.009623760444826102
故弗行,0.009623056689473431
(,0.00962299634145448
浮,0.009618432715886837
明顯,0.009545181312424078
蜀,0.009544767082373147
曲眉,0.009541645485323822
垂,0.0095334564565872
煬帝,0.009522161602835815
春坊,0.009513632687155549
主斷,0.009512205634271315
剝龍盤,0.009469837233174721
治為,0.00945102216067362
祠,0.009445368371681893
形似,0.009390975171656952
心自念言,0.009384157869027535
上,0.009340539221631848
牛,0.009337186214856073
道德,0.009334040455427791
文,0.00930278977936745
其當,0.009300600565042214
如此,0.00927405001888612
下意,0.00926635089655722
興其,0.009236600276859679
歸宜,0.009232064262292257
土,0.009226370047948875
之麗,0.009203641829486535
攷,0.00919836245384464
膩肅,0.009197855894052158
至,0.009159808173093944
光,0.009136489159920939
法苑珠,0.009088273447406071
老,0.009081135564033723
滿長,0.009080985412431668
山閣,0.009015579630426877
於,0.009009145423725662
耶梓溪,0.009008824603616203
何日,0.008943682306685186
蓁蓁,0.008877385472371348
超超,0.008835326904385144
自遠,0.008793593872114267
已,0.00875523994127304
蕊,0.008753452709841
人家,0.008743505429884132
日光,0.0086763030117427
流布,0.008641754164643887
救焚,0.008634575255557213
實當春為,0.008617604225338788
菩薩,0.008614217024041037
群英,0.008609598380218448
旜,0.008608465806554817
羣,0.00856458342275363
鏡臨,0.008554716622900546
土風,0.008537278948261468
婚姻,0.008494879729572875
各得其所,0.008440274978525206
不止,0.008434926725190466
凡,0.008432330709591816
矯,0.008413997235949962
殲周滅,0.008409849899610269
