item1,value
灼灼,0.26124818581022297
目光,0.08294649667919757
；,0.07015000475257618
其,0.06211582051494782
华,0.05119852358824228
生辉,0.046830416998412575
。,0.04663091496158404
在,0.04428159767911519
的,0.03762914771989407
一,0.03713915515176242
”,0.03154835109512643
似,0.029544804229242255
着,0.027389954297825127
闪光,0.026914974643356376
、,0.026575855675276927
花,0.0261214513875444
了,0.02604383704933043
光,0.025723669527003716
光华,0.024459736372715927
火焰,0.024355092058723105
眼睛,0.02416417510842835
照耀,0.02393548586492928
，,0.023150049641211163
光芒,0.02303104440929985
是,0.022517580740598942
旌旗,0.022322630502207706
“,0.02208213501072298
烈日,0.02188381454722892
盯,0.0217979891915619
桃之夭夭,0.021325933045693083
耀眼,0.02081142998097173
地,0.020695944169040654
桃,0.020210813315980205
留名,0.019219033009255683
异彩,0.01850338617634214
红,0.01834424394303091
燃,0.018251201924522824
红枫,0.01808744363171746
燃烧,0.018044877951968488
化作,0.01798805174671895
青史,0.017911810157783016
因,0.017910470690587897
发光,0.01775042182286648
夺目,0.017179199557623155
夭夭,0.017102801539033628
不,0.01709282758617316
精神,0.0169263314242562
言辞,0.016818486342998745
红日,0.01678926135798864
灿灿,0.016631056545808588
焰,0.016623762367039725
桃李,0.016598556893946667
有神,0.01631289834593027
圆陀陀,0.016277274362739184
烧,0.01615901063077712
殷殷,0.016106048162027004
八千,0.01598129805335578
铿锵有力,0.01588884808036717
花朵,0.01580811896567707
阳光,0.015767490345436185
如炬,0.01567430963579894
亮光,0.015211719464378938
如日,0.015112512306798331
二,0.015110320954444877
个个,0.015066538974406424
威力,0.015029415228075537
赤褐色,0.014960459924429037
巍巍,0.014955533625507837
欲,0.014923132963184364
火力,0.014867698118345986
台州,0.014720215461766634
银元宝,0.014687117212671946
花团,0.01465099066162386
有,0.014574521213755182
逼人,0.014573138165600285
照射,0.01456102688196657
问,0.014531128306295321
火焰山,0.014520244025006878
明珠,0.014476248940120137
花光,0.01446757490144609
闪闪,0.014369840533077353
烈士,0.014183352843787791
下,0.014076369346265098
热气,0.014047452027630464
往事,0.014008565644073505
！,0.013901155019595943
铁甲,0.01389447351820475
猎猎,0.013797423579135281
艳桃,0.013761084365364804
渴望,0.013703484403902642
纷燃燃,0.01368680703805258
大衣,0.01360143504339217
延年,0.01360096076896208
纯,0.013519550913505403
闪耀,0.013417532200914078
美意,0.013387827561717532
闪烁,0.013384127922898023
红砂岩,0.013381286184374286
桃花,0.013347879943900944
漫卷,0.013340120625201572
闪亮,0.013325197767093351
闪,0.013282815498667392
而立,0.013277273607058653
纤维,0.013251992670805303
映衬,0.013101327095179506
灭,0.01309795027284629
岩石,0.013016273859113463
撞物,0.012959994801973686
那,0.012877228777556607
赤日,0.012775116542765
蒸腾,0.012757805486634754
攀心镜,0.012755683433665422
环绦,0.01272933491349182
山体,0.012657957739782734
一万,0.012602941775361741
阳,0.012584675693109388
朵朵,0.012568018581191017
现场,0.01255236185578607
见血,0.012540304779740698
顿时,0.012534608890552112
砂岩,0.01250746335386471
张皇,0.012475329480280047
枪炮,0.012399861938287302
挺立,0.012380963049436382
日日,0.012327315120724847
铜像,0.01229899812687783
顶,0.012296696577326318
盛开,0.012263961307892758
平民,0.012254419179850812
落定,0.012245019547880868
其韵,0.012233458459113998
演讲,0.012216288738361659
紫,0.012194266927387072
上,0.012149725242920323
山腰,0.012149323944053287
相顾,0.012070070915427734
眼,0.012063823275839616
渤海湾,0.012061650825328613
收枪,0.012056647210805568
酬酢,0.012046832133252324
白花,0.012036263268278048
东升,0.011969535102330276
低低匝绕,0.011884788872745614
金花,0.011882766597963616
江心,0.011868790168185218
马小婷,0.011859697346734215
熠熠,0.011698316838178962
颗颗,0.011643238067552743
水草,0.0116001567058027
花盈树,0.01159530888636018
仍然,0.01155717507124784
霞,0.01154393159866564
�桃,0.01152530744096028
咄咄,0.01152443298028878
显兴,0.01151709814974769
如林,0.011471326640711285
张天佑,0.01146832881952339
牛奶,0.011463530281629195
逾,0.011457492611161933
映,0.011457364420406325
这般,0.011423837964101577
滢滢,0.011421619861160413
弥天,0.011421611512876484
徽章,0.011349768506177377
赤,0.01130717955859636
莲花容,0.011300534120462526
宝甲辉辉,0.011289771989116324
透射,0.011281869587558838
恐惧,0.011247404853750214
其情,0.011226408467410496
犹如,0.01121191124041753
锃明噌亮,0.011163523921627432
畔,0.01115791243826325
大连市,0.011144314509070607
它,0.011139711001262324
人生观,0.011120219763579478
双目,0.011108367181980711
翻飞,0.011086670028947683
如锦,0.011080628751018973
群玉,0.01106986182467203
日下,0.011059473695995893
