item1,value
灼灼,0.3517798656102353
夭夭,0.04321974028786963
是,0.03313560699382149
目,0.03203414921001222
有光,0.03106559066071505
圓陀陀光,0.03026827597631906
於,0.029086808701106682
爾,0.028029282820237474
桃之夭夭,0.027966316295895775
離離,0.022935733641741816
有,0.02245614096291533
紅光亂,0.02224842313503509
五色,0.02188941749284322
盛者,0.021588986986815124
一粒,0.021549980466494947
白虎,0.02130601710672591
赤,0.02108306498225048
在,0.02085432598771837
無,0.020640123323924772
其華,0.020485058334228434
往來,0.02010172680258888
纏定,0.01949036649133903
皆,0.019469838503341913
遮詩,0.019423190009763596
淨倮,0.019382807242976963
上,0.019357350516305598
老樹綠,0.01928681820365138
瓣,0.019168815163742366
照徹,0.019162848379206565
寶蓮花莊,0.019097465795154846
天樂,0.019032599971287527
蒼苔,0.019020411557446926
奇花紅,0.01900797504693565
圓成光,0.01898727363524661
嚴例,0.018881651686316888
十虛,0.01882029543858652
森森,0.018704277162981328
青龍喜,0.01867435994905845
玉骨鈞,0.01860873614130476
錦莫周,0.018575561016554464
倮,0.01854325330778791
其華易林,0.018531636995992955
完丹藥,0.018446628191608447
芙蓉花,0.01839207170266113
與,0.01835587105413372
各顯,0.018278862529172393
虛空外,0.018266827726521905
滿溪紅,0.018251034919289883
野禽,0.01824603527259702
惡青龍,0.018217856847885048
詩濯,0.018136983708747147
桃有華,0.018047655620658947
樓借,0.01802048544553182
龍喜,0.017925569673538044
令,0.017893361945648164
又,0.017887426541936362
圓鏡,0.017813376188787002
亦,0.017801983499247605
開紅春,0.017794509514473585
春桃,0.01777845417487582
𩄇,0.017743168764600685
諸行,0.017710920089109166
桃片,0.01770183446384468
得,0.017610109602006693
不動片,0.01760011465193492
其色,0.017579379115204675
滿路,0.01752841230483615
滿縣,0.01751075593646231
花如海雨過,0.017490397300141295
結實夏,0.0174723342666236
甕,0.017448290765111035
滿地,0.0174448736778934
二粒,0.017385877182844366
以漬,0.01736317477930947
神修,0.01734179678141575
瑤階滯,0.017294004559844773
野菜,0.017273821628542425
輝輝,0.017264569570268704
寂開,0.017203765324541043
似茵紅,0.01712551664836677
朱實繁,0.01708410139363913
言華之盛桃,0.017065556458911786
朱華煒,0.017064283111199518
之少,0.017054471713651303
時鳥鳴,0.017026143104070933
丹華吐日,0.017000012045923926
烏龜殼,0.016955425120146476
傍蓮池,0.016927217342204454
　,0.016921557773572838
中而,0.016908186029205293
盤礴,0.016901844146943026
生華季,0.016901031544454666
煮,0.016894332204962285
不,0.01680418878327065
紅榴吐何,0.016781035437637325
卻,0.01676852833213217
明貯鼎,0.016745799961757003
姿玉為,0.01674042328766516
洒洒,0.01668694607777232
同歸淨域,0.016682054610087874
粉紅花,0.016666113678473652
沙蟹,0.0166616810777189
翠葉,0.01664037816042903
高射,0.01657139821725837
簇聚,0.01655245784385456
花紅,0.016544186229378584
添新雨,0.016536978656179285
禛,0.01652273330339185
空綠勻,0.016480274334616605
之纖枝發,0.016467691035283994
榮紅葩,0.01643271797822202
未華,0.016424477837810602
自令龍,0.016403147103840537
何期,0.016367364039565287
開足則,0.016359321681686065
之殊,0.01635865508593735
輕車,0.016331472749591583
珠玉,0.016311452702424484
野花,0.016281281606794384
嚶嚶,0.01626750272810592
維茲,0.01625935421293277
可滌煩,0.0162527587087787
