item1,value
灼灼,0.31751776584723734
夭夭,0.06367160916747058
桃之夭夭,0.03824900945922638
離離,0.035235326068031
。,0.033953729915787566
盛者,0.030017056967267614
宜家,0.029096787585219466
亭亭,0.028858540157425023
遮詩,0.02883613063992358
其華,0.02849217141424543
其華易林,0.027560400759934538
英英,0.026954500759901676
滿縣,0.02671517375216198
錦莫周,0.02653695144112181
時鳥鳴,0.026448898874880843
春桃,0.026376168372669435
詩濯,0.026001846272093183
開紅春,0.02562990024114032
結實夏,0.025498648758998627
嚶嚶,0.025495841880786515
紅榴吐何,0.025273275276129673
𩄇,0.0251494689052086
生華季,0.024994884002533774
桃有華,0.024987481436352238
寒無滄滄寒,0.024898710102948262
如雨,0.024561441347686723
熱無,0.02423377708992174
傍蓮池,0.024187195061196605
溫中適,0.02409526745157274
中而,0.023932995756541783
心娱,0.023774832517127985
朱實繁,0.023557037863128585
，,0.02354537071555089
禛,0.02339459090789192
食飲者,0.02307517517790961
蓁蓁,0.02294733597477196
翠葉,0.02268061678347429
逐漪,0.022640316449690848
出汗,0.022488333494023866
大火,0.022442411491481
故氣,0.02239337379329745
言華之盛桃,0.022387208363032155
並言之則,0.02232483714296762
丹華吐日,0.022213144674075855
之少,0.022052903923072905
朱華煒,0.021969128474886523
漣,0.021812127065018266
珠玉,0.021722351828944334
愛棲趾,0.021671925615702713
季女,0.02164034516228057
未華,0.02162631160627063
搏持,0.021479680702708063
逶,0.0214779066179946
梳揮手,0.021473042330816358
吾,0.021415150263781296
争顰翠蛾,0.02105602971816323
朱華,0.020953027354049473
散亂,0.020942382367093875
言桃,0.02092120411610101
耳目,0.020893604662269357
］,0.020766570361924
之纖枝,0.020663159358737374
或華,0.020645818752168754
［,0.020644500765101537
之樹煥,0.020640062394842052
花元,0.020576904337388256
其少壯,0.020562064916895176
紅缸,0.020498924669734252
盛芬華,0.02048483325321888
城外,0.02044824736277651
錦水邊,0.02039987169664495
可佳,0.02034530124937772
將持,0.020137743338149175
著天,0.019878410832606868
萋萋,0.019873378657564087
迤漢宫,0.01980282637669377
如景宿,0.019630317722526637
華之盛,0.019597464704395273
不少,0.01958621712710354
其華興,0.019317646870187395
美其,0.019292046799471926
則已,0.019184376148165396
龜,0.019183280916673897
汗,0.019171815009449613
蠓,0.019161868074668173
不暇,0.01911713446822719
往来,0.019116596402464905
華敷,0.019115190435151298
惟桃,0.01895884026919426
明珠,0.01894916414171012
賞者,0.018902166774144486
不致,0.018880713111606395
繁星,0.018852839405917303
榮瑞兹,0.018711789856866418
宋文,0.018680713830518548
此詩,0.018654134401702226
聊逢,0.01863686504975639
之羅,0.01862044543996268
賦注作,0.01852317505048643
蜀都,0.018513885029090727
聲芳,0.018480496851285902
抱愁,0.01847485623354011
綠泉,0.018442724833361082
緣溪,0.01835268650573537
棲趾,0.018223961360537274
有華者,0.018221969503279995
花數,0.01814240928950297
迥出,0.018038654074365612
號紅,0.01798778677105941
皎皎,0.017956728265447947
暑,0.01793439086597759
」,0.017775763962295674
藍無毒,0.017751331742393083
花開,0.017665214668842657
榮紅葩,0.01751384743189334
繁生,0.01750627011423601
火俱燃,0.017494751266662077
朝霞,0.017493040136851958
雖有,0.017456772245682067
綠葉,0.01745225653268642
亹亹,0.01743142980201918
八九,0.017352523458412338
昨,0.017276733392791833
而溫,0.01725518644292872
多品,0.017250196359608592
穆穆,0.01719757277015123
適自亂,0.017190475861324644
之殊,0.017167393460652665
宫桃,0.017124725890995597
蠛,0.01712220665845888
恆,0.017113553488680287
一經過,0.01710492221230044
紛錯,0.017101403392832667
橫劭,0.01705632542580837
何草,0.017028401001486598
之,0.017025674443063438
生君,0.01700212599812494
而,0.01693197177851335
之映,0.016924493102640503
黄紫華,0.01690976272843912
同雨染烟,0.01681120065527833
明兩,0.01679519959652169
蓋銷,0.016791981402942954
藩蟬,0.016776982822870396
獨夭桃,0.016741000251934895
中壘,0.01670280481896625
翻風,0.01669850146642897
之堂,0.016645592146592846
成仙,0.016639568014887165
正午,0.016627868898491674
怡怡,0.01661015152426222
五六,0.016582638989199257
容顏,0.0165719705822633
縞羽,0.01655589702249344
之葉,0.016502900236520877
之殊榮,0.016494190351007847
逶迤,0.01649000808754114
彼不伐兮秋,0.01641621412240632
