item1,value
灼灼,0.33144930376849696
，,0.06476219197944993
。,0.06296330836741694
離離,0.03968072873382219
桃之夭夭,0.03361102764560085
夭夭,0.03341346541227284
葵,0.0323081711643402
朝霞,0.026746871273742204
中而,0.02639244641615375
朱實繁,0.026149181727029933
臨空遙,0.02465551148719082
面對,0.024564674999304644
大火,0.02456157421567415
欄邊,0.02451730831805486
竟曉獨,0.02441896429378412
紅綻,0.024089963725647093
見壽星,0.02364125823492883
皇居帝,0.02307324049839961
灣灣,0.0227462419459909
𩄇,0.022672416712006028
開紅春,0.022640925937137537
結實夏,0.022304452285344223
依依,0.02214928897207338
春後先,0.02210751786412231
繁星,0.021759507638547972
遮詩,0.02173070453810623
闕開,0.02169740485936568
傍蓮池,0.021644247510915912
猶,0.02163124269212252
天邊,0.02150668208863738
丹華吐日,0.02149240100773386
花開,0.02144847713923942
其華,0.021300234851830645
耳目,0.02122772416306942
含宿霧,0.021204249518499935
熒熒,0.021188638332472465
悠悠,0.020985998433500005
弔,0.020922087871198234
康日,0.020848069211676867
下水,0.020847254250824072
依景秋來,0.020801501581352272
其華易林,0.02070693053840673
錦莫周,0.020566630989972964
花,0.020472099251065804
公子,0.02028253925035
競芳,0.020260795377010175
詩濯,0.020161272855485576
之吐日,0.020057519793173353
愛棲趾,0.020006135804694646
平分,0.019977158196077174
筵樓,0.019945945475687128
時鳥鳴,0.019630227693712914
忽近,0.01950613864080536
華敷,0.01938094884268369
光諸華,0.019332846736094995
著天,0.01931782867359878
滿縣,0.0193169533688547
金管別,0.019305524458227932
委貞姿,0.019275304037432106
內逢,0.019266232065497338
宜家,0.01917926206910773
紅榴吐何,0.019178629507874096
輝輝,0.019176910647397807
萬井春,0.019002649259429714
錯碧流堂,0.018853047420144854
玉溪,0.018849669073164814
千門曉,0.01881123959542529
熱無,0.018680367183047233
此去,0.01866128965993
而色,0.018620081604492387
春桃,0.01861873595330063
敷,0.018531865346113056
王迹,0.01852447436625482
禛,0.0184993967268505
心娱,0.01837813734556144
柳細,0.018362882396909825
堂人,0.018274327594501472
延陵,0.01823314636452369
賞者,0.018231819756366483
如雨,0.018201769337548666
柳橋,0.01812897808889031
蓁蓁,0.01808854155242059
佳氣,0.017959461081531652
別後無餘事,0.01792487000384823
丁垂休,0.01786936468392166
丹青,0.017854090585262758
宋文,0.017715982932555184
青冥海,0.017668808962927964
朱華煒,0.01766773173186919
逶,0.017651966694562832
螢聚夜,0.01756824775206535
聊逢,0.01752123472599369
頹陽九帝,0.017506346314592188
艷朝陽,0.017494444903241237
縞羽,0.017472275543982386
顏,0.0174514284110794
路傍竹,0.01735527265944309
動聲,0.017343792354847506
臥歸島,0.017338249495007844
生華季,0.017267615721814525
繁枝,0.01726525501477367
降祉,0.01713854555091757
駭動,0.017137700909144706
林度,0.017114955800031324
熊熊,0.017069022381464072
之云嘗聞,0.017040567907294052
逢逢,0.01703954076855895
逐漪,0.0170237892357793
榮瑞兹,0.01698893745760901
將半,0.016952906305383764
苗,0.016948111752289885
采采,0.016918288720570537
煖玉,0.016917953023969968
嚶嚶,0.016885803637263736
籬邊,0.016883570035042886
自楓,0.01678812801399541
從化,0.01676026658956764
異應,0.01675592163387946
翠葉,0.016719203263047152
雙鴛鴦,0.016699326346424185
徐來,0.01665935657096176
還應,0.016603763450029715
應憐,0.01660315137652184
亭亭,0.01659116879208202
花元,0.016566889318880552
可驚者,0.01656486712900985
高唐,0.016529617862420798
之樹煥,0.016519820229124595
人之聞,0.01650510725837794
