item1,value
灼灼,0.34237283695606047
夭夭,0.06248205276605291
。,0.05249068841236408
桃之夭夭,0.03926598156200611
離離,0.033393599473695315
其華,0.031442866235828204
盛者,0.029201713795001347
亭亭,0.028711578996828885
遮詩,0.02596893869062707
英英,0.02542766506019955
滿縣,0.02507977150495696
錦莫周,0.024623492767268166
蓁蓁,0.02461442195382713
詩濯,0.024581364197061556
桃李,0.024244945111440548
其華易林,0.02407696455267863
不,0.023999169961774036
大火,0.023989795725150687
開紅春,0.02394707198570112
桃有華,0.02384211280583382
兮,0.02359615764127184
中而,0.023527373059106838
結實夏,0.02338243970634188
嚶嚶,0.023197868496611772
朱實繁,0.023176604078132136
春桃,0.02292289666602673
傍蓮池,0.022849925208734773
，,0.022756313944189383
𩄇,0.022504388859744404
爾以,0.02239543117582031
禛,0.022307661936300755
宜家,0.022297597276522616
時鳥鳴,0.02205923879629685
生華季,0.021625462346775915
並言之則,0.021472445375286742
逶,0.021017506291267158
爾,0.021011933715834947
紅榴吐何,0.020954138778742974
言華之盛桃,0.020932291492185926
其少壯,0.020479202572537252
愛棲趾,0.020441537455384334
如雨,0.020379466559861618
未華,0.020379039283107192
丹華吐日,0.020341494641315676
言桃,0.02005450625968103
心娱,0.020020168008869157
花元,0.01996903288129538
華之盛,0.019787588333793255
明珠,0.019762509054077258
逐漪,0.019648084614198768
美顏色,0.019365816949031844
翠葉,0.01930570071156407
可佳,0.019212398932474544
令,0.019135431519338292
賦注作,0.019039341569482518
其華興,0.018959158199824872
之纖枝,0.01886172062435546
不少,0.01875974595130803
賞者,0.018730549608204066
盛芬華,0.01870940910815617
漣,0.01869434869391113
有華者,0.01868789635420252
榮瑞兹,0.018648288673248144
争顰翠蛾,0.01859865717152964
華敷,0.01852188355634549
有輝光,0.018406480750568076
之少,0.01834067464670944
［,0.018298302855474378
朱華,0.018267436245984474
迥出,0.018230558272589847
］,0.01816773851352085
繁星,0.018107129369223863
朱華煒,0.018089595854928132
良人,0.018058197739583153
那燈,0.01801783589419224
散亂,0.01801758107910758
紅缸,0.017986393666208276
惟桃,0.017921772030160703
或華,0.017868340588580413
榦,0.017864462994247713
梳揮手,0.0178379880313179
錦水邊,0.017836397234270416
蜀都,0.017829513490482698
紛錯,0.01777454435222096
聊逢,0.017690380276337247
此詩,0.017678047605117386
少,0.01763961206550356
迤漢宫,0.017592493025679837
之云嘗聞,0.01753826377017899
萋萋,0.017525050964587164
正義曰,0.01747702107050344
臨水勞,0.017450093655176795
宋文,0.017430567159735146
栖趾,0.017417890496102793
轉筋,0.01735580874976286
敷,0.01733368476433602
㠯,0.017289938166896533
手足,0.017251926542085058
皇猷,0.017194774351578325
之樹煥,0.01719458427902966
故辨,0.01707293546011974
瑩瑩,0.0170578618603275
闕,0.01701260050042769
飲五升,0.016988828582426715
竹葉,0.01697940653844528
銀盤,0.016973810219102277
芳馥,0.016942002018218393
榮紅葩,0.01690657994388117
多品,0.016888767353722273
以詩,0.016876970563070415
焉且,0.016798640502667803
美其,0.01679144673005457
臨黃道,0.016771955009290556
朝霞,0.01668877169151351
彌光,0.016679798391949746
蹊,0.016631892914792234
珠玉,0.016502177482390013
如景宿,0.016472031093455543
蠓,0.016471175709807332
之殊,0.016453449890954135
之花,0.016452748037922158
花雲髻,0.01636546219818726
火俱燃,0.016352138022016075
粲粲,0.01634094792073619
之映,0.016326364885439003
降祉,0.016292069844770246
不自言于,0.016254911108913958
而益,0.01624823204396882
適自亂,0.016241817144968418
抱愁,0.016233401425082526
城外,0.016192587248764694
之葉,0.016186461469895903
出爛,0.01617205411821467
著天,0.01616379466826708
然此桃,0.016157705329239793
聲芳,0.016134307681195642
中因,0.016133703780708705
花數,0.016124116238497115
獨樂,0.016117906433771464
爭顰翠娥,0.016097864274096506
入紫煙,0.016076042001239917
逶迤,0.016051518402710206
則已,0.01604297603792557
繁生,0.016041440637277398
一經過,0.016031309679330915
諷德九門,0.016030349115749003
耳目,0.0159670552313045
緣溪,0.015942059871559038
果實,0.0159212581448446
昨,0.015882157331329867
往来,0.01587447307699525
