item1,value
灼灼,0.3192664151728998
」,0.043509599644708664
夭夭,0.04198140668413759
桃之夭夭,0.03724093598873738
離離,0.03443664189497546
亭亭,0.03326324460899957
，,0.03142697497030031
其華,0.02933018520618077
皎皎,0.028128835739877903
遮詩,0.026450212406044296
。,0.026366817914110847
曠,0.025650910433874182
宜家,0.02529822011662346
桃悅色,0.02526468768792233
英英,0.025128926408046044
其華易林,0.02508504674962323
穆穆,0.02484826452744533
錦莫周,0.024538192625735204
開紅春,0.024532921645971182
結實夏,0.024398602285944235
詩濯,0.024013773870944458
春桃,0.02401004757369903
桃始榮,0.023616022720579593
滿縣,0.023248524467154266
𩄇,0.02323063428909846
飛夭裊,0.02317265750323413
時鳥鳴,0.02306567325305454
橫劭,0.02302822181668286
傍蓮池,0.022953767427170268
孤美,0.02280208096524194
生華季,0.022761777318959703
淮陰靈,0.02260142889616695
飛飛燕,0.022577854451299475
爾,0.02253720006458364
中而,0.022136726309721404
燕始,0.02210138190387033
如雨,0.02200084082975866
紅榴吐何,0.021941702868450506
弄,0.021805768263036762
武冠世策,0.02175124513524309
朱實繁,0.0217096827841339
高以,0.021632138234200838
禛,0.0216286449909697
蓁蓁,0.021270624764386615
光諸華,0.021212960415322186
妖容姿,0.021061525611504112
嚶嚶,0.0209960563436874
大火,0.020968114084091053
美人,0.020888757557979167
出無方思,0.020836264070202063
當軒織,0.0208010751514255
丹華吐日,0.020789399894767625
差池,0.020684268329486957
逐漪,0.020669600688865187
美顏色,0.02059569987856707
心娱,0.02059278392131828
其容,0.020576103537658038
爾漬,0.020461481168172962
愛棲趾,0.0204182279312515
徇,0.020228311145286223
延陵,0.019956219808418812
遵彼承華,0.019899277404180456
粲粲,0.01977415523847522
翠葉,0.019545680137395337
梳揮手,0.019484957139921693
明珠,0.019408006153405294
入神,0.01923872425662905
阿那,0.019224944745304097
萋萋,0.01921651214783582
盛芬華,0.019143225401084474
聲檐,0.019131108160448676
散亂,0.019094747426232534
花元,0.0190659928546874
逶,0.019012140204684617
朱華煒,0.018867767450703257
珠玉,0.018854315892823128
賞者,0.018821043968850443
課為,0.018778091072444263
朱華,0.018711074338701488
漣,0.01870382928166561
陽九帝,0.01867298954177036
高位,0.018625664689068698
契奮臂,0.01858594209006314
有情,0.018543064281760127
城外,0.018501822264950132
手足,0.018486165634546615
著天,0.018473158718736647
争顰翠蛾,0.01844523966673821
錦水邊,0.01838618220411032
何其,0.018381724112222192
華敷,0.018235192998326637
季女,0.018215453128829183
哀,0.01821475945972406
之樹煥,0.01818552069113271
有輝光,0.018157029268498513
令熱,0.018082880856937114
良人,0.0179668340000301
人斯,0.017941222727594387
生前,0.017936365895580283
可佳,0.017859162092954777
紅缸,0.017780352980394497
聊逢,0.017778556757159055
耳目,0.01774965663448659
宋文,0.017726356443030406
］,0.017701479314388625
功興,0.01768790798712301
迤漢宫,0.017625807680756576
遊不歸,0.017619954113954422
［,0.017559333587507497
之纖枝,0.01753493122583474
棲趾,0.017494349621431753
美其,0.017489728266937697
王迹,0.01745933568806333
蠓,0.01744181420178397
不暇,0.017431098529661262
夫子,0.01742890536462168
五六,0.017412956323819107
如景宿,0.017358989348799026
繁星,0.01735032162774022
吾,0.017346467618935345
之美奏,0.017318241949286814
號紅,0.017306272010863967
汗,0.01726778343939577
榮瑞兹,0.01714930824532051
藍無毒,0.01713537773607491
上雲結,0.017050063820286582
矯志崇邈,0.016972880411984893
邁心元,0.01695949287223009
濃熱,0.016956884958473962
則已,0.016905287786506445
半水,0.01684426760550107
光諸華類,0.016821222195167296
彼姝女,0.016785333032811572
賦注作,0.016757245342304983
花開,0.0167513866731084
聲芳,0.016714547933875393
布囊,0.01669855561515473
而溫,0.016662558406870243
四遐,0.01665656611792527
惟桃,0.016648461544257132
徇高,0.016624073249229977
抱愁,0.01659302498949941
其波,0.016573174315923603
龜,0.016496568703769393
之羅,0.01648240878987716
桃有華,0.016434273181062047
雲興騰跡,0.016416949353221875
不鑠,0.01633114070095494
貯令,0.016298058328275605
迥出,0.01629049910872209
往来,0.016244994787199395
昨,0.016232993611710458
容姿,0.016203567829001377
八九,0.0161542395338242
生王孫,0.016140459056093563
聚作嬌,0.016134327661694457
火俱燃,0.016133401608076917
綠葉,0.016124087375150597
諸作,0.016113493682286224
花數,0.016103482208839892
美顏玉,0.016083889518646217
一經過,0.016051354925328
嗟,0.016037900767196436
同雨染烟,0.016021985817853412
活血,0.01599597535092777
之映,0.015951217377905086
取鹽,0.01583168235059328
繁生,0.015828251376353727
獨夭桃,0.01582095255173356
亹亹,0.015806189668464296
位于,0.015789616319825124
以漬痛,0.015768870094129785
妖類,0.01574922866139474
明兩,0.015749124755200537
成仙,0.015741937609405263
削之以,0.015691556001183035
宫桃,0.015684215419721183
適自亂,0.015595428834384556
著風化,0.015581400927087258
紛錯,0.015553081455854491
綏山枝,0.015550299838797901
逶迤,0.015540697091556688
發,0.015538666241886954
獨明,0.015517889755638298
何草,0.015511294875156493
游字,0.015416442502062451
溫湯令,0.015398217217711516
隤,0.015374818949368782
蠛,0.015364220386556837
綠泉,0.015358568846195589
黄紫華,0.015357854772751369
縞羽,0.015354205406034901
榮紅葩,0.015342471848179173
生君,0.01531373740982724
置,0.015305469685431193
輕擢,0.015274902921644977
中壘,0.015264271917665216
吐桂榮松,0.015257226416178568
爾熱,0.01520818633094964
光諸類,0.015206761005352922
正午,0.01518903195966236
若九春,0.015185913258866377
朝霞,0.015180406266101995
偏棲獨,0.015177626469325472
一斗,0.015163394673811148
湯著,0.015143848827318647
容顏,0.015137421594453538
恆,0.015036139044202134
○,0.015035472016430315
哭,0.015018526878962614
翻風,0.014997701212597588
雖有,0.014959846763926619
垂門桐,0.014954364915268055
之堂,0.014949346713694923
湯,0.014940648293481603
多品,0.01492662590516958
之殊,0.014919865449205061
大海,0.014919319417916518
思垂名,0.014915443144022955
怡怡,0.014890651691499964
炭分,0.01487061317511178
花憶,0.014851524715119576
戢,0.01484005800922681
照水,0.014823349850995341
根偃息瘴蠻,0.014793305786763574
而益,0.014765845655611586
之葉,0.014745747147951712
之殊榮,0.014722459161250293
作華,0.014705105641653402
彼不伐兮秋,0.014705089463737662
四門,0.014694339768700765
擢苗,0.014693602833992306
處效,0.014685558738177005
載有,0.014678722264292714
栽夭桃,0.014666188763813372
游不歸,0.01466066704712862
陰澗,0.014658617376191898
典刑,0.014658436409641097
含宿霧,0.014643654857533831
令,0.014602687854558954
緣溪,0.014593553523682636
雲霄類,0.01459053197077999
猗,0.01458637537719529
蓋銷,0.014577390166711066
驚凡目,0.014550094787849022
應慘,0.014544203493278464
皇猷,0.014538715564043975
連徽,0.014534783095910716
盛楚,0.014525737658481648
孤邈,0.014522649976894933
開迎,0.014521116220096395
篩去,0.014511180414726842
應韓,0.014507671902658403
擢穎昌族,0.014501425267402479
雄圖斯契,0.014486501744206078
移根,0.014471838243632336
落落,0.014462955654836556
其雋,0.014454564361559823
風仲雍揚,0.014448380544238849
一作常,0.014445381106445604
隋蕭,0.014414811140163776
誕慶,0.014410867485046665
方取,0.014408742957899122
翼,0.014393396118062049
値,0.014376275059888336
高,0.014371241021891017
嘉穎,0.01437073419781725
作華美,0.01436605847205349
辛味,0.01435268740737638
兩足,0.014348194033896047
以漬,0.01434819403389604
數易,0.014348194033896037
風徽,0.014345398650776085
彼姝子,0.014328512388210736
出矮牆,0.014328188209868595
獨注云,0.014323519053810956
自翳,0.014316922812913238
懷春,0.014315408822894251
想聞散,0.014300873750818116
朽木,0.014299438649568492
文以,0.014244758174084677
謀,0.014241464101466862
夭裊桃,0.014240591862961184
傴僂織,0.014232579981482722
子靡德,0.014231518010092542
世族,0.014229639784193206
枝承蕤,0.014227148593871697
重明,0.014202444559392824
煮,0.01418732819653826
明月,0.014169856638602962
秘方,0.014137648492539696
胸,0.014134581048637353
素應,0.014132637433326732
　,0.014129125364455208
雲霄,0.014127888467880967
許子,0.014123322750563803
迨,0.01410631226346899
不誤,0.01407932271084749
跡,0.014076822594250634
類聚作,0.01407645437301948
甘自不才,0.014071978809335849
忠武,0.014062881636155499
貞容,0.01406152181790222
鷰,0.014058170957131175
三千,0.014054532590111244
更壯,0.014047401470351231
元良,0.014040817929602751
藩蟬,0.01403738258667995
芳馥,0.01401582815330492
臨窗,0.014003940403806698
彌光,0.013999708415138645
伊君,0.01399680852924698
可畏,0.013951801627442178
王孫,0.013944116026005496
浮柱,0.013934313817340048
周南,0.013930123548293151
雲霄隆,0.013925985619459052
玉為,0.01391493735823437
中漬,0.013903736841671838
幾叢叢,0.01390063555893522
至生,0.013900522009020495
悅懌類,0.013886326153904194
蜀都,0.013873908000722714
喚聲,0.013845794474807402
吉祥,0.013825882653836908
處雲扶,0.013801815946266277
子,0.013796292995317304
照其,0.013794129758500601
始榮,0.013790547681692827
開處,0.013782797135249351
姿,0.013777751330260959
明月光,0.01372900093260727
勝殘,0.01372497164740362
承聖,0.013724330706685864
熱灰,0.013716392193449514
桃有,0.01370438069487097
含,0.013697169888338672
含風,0.013633488503453212
入奧知,0.013621139694605123
蒸萬實,0.01362053728682461
不死花,0.013608983770821717
挺奇,0.013606774917091327
擬之于,0.013598916734711884
競芳,0.013581036578273496
炎炎,0.01356586147475308
果實,0.013554491507360373
悅懌,0.013552115792315059
伊賢,0.01353423597606718
其華喻,0.013524054129082719
美玉,0.013514738908993872
𡵯,0.013489119472887312
想彌年,0.01347878349367686
矢逝,0.0134655598894986
深澗,0.013461268794104407
有光輝,0.013443443771239266
價酬,0.01342931773952093
矯首頓,0.013429002421510901
之,0.01342636475786654
遠,0.013420630787517047
盛壯,0.013403146758040961
聚作澤,0.013399119063734729
邊葉,0.013396332753390671
眩眩,0.013393286374047929
紛枝,0.01335852128966015
之團團,0.013353951063988342
𣺯,0.013352623253950502
地人,0.013347702515194631
青軒,0.013342750068686758
采于,0.013333191133506148
老而,0.013325519034304284
拔萃,0.013304726295774333
終焉,0.013301403937661683
足令,0.013300673467382456
露華人間,0.01326397948653767
各何,0.013248243349374866
徽美是諧,0.013246091825238148
從化,0.013244231761915451
鴻漢景德,0.01324109754680309
上,0.013237023044677158
自從,0.013229516430091851
德享,0.013182509543381507
德量,0.013129005508720228
熊熊,0.013126235749087542
褭褭,0.013123731176656023
仰承,0.01312140645492446
彫,0.013102621178407084
清靈,0.013099139666153895
降祉,0.013097913788044665
其少壯,0.013093719063710678
尚繁,0.013089890612220163
衒,0.013076201103290124
別時花,0.013049996788360427
時英整,0.013039332963804563
林中,0.013018179908811609
飛辯,0.013009788008185039
躁疾,0.012996455454739216
無數,0.012982283972004226
英資冠世,0.012980806651525217
弱質,0.012977997023720798
黄菊,0.012963552935064385
生熟,0.01296335112243955
光澤,0.012963351122439546
甕,0.012951948366656443
美寶,0.012932381891178362
不悉,0.012927744054388726
廊,0.012923550131093557
山榴開,0.012920831723704593
縻,0.012918109626514497
無常,0.012905239096249781
之中,0.012900645168024485
