item1,value
灼灼,0.3025641916036722
夭夭,0.048664709683149725
。,0.0429091371703608
離離,0.03969091671134226
桃之夭夭,0.03788673872926149
遮詩,0.0312914684191049
亭亭,0.030527359888501887
宜家,0.030261492596509874
其華,0.02970377044352652
其華易林,0.02966431014598132
熱無,0.02931545974911285
錦莫周,0.02895505855330393
食飲者,0.028387997312919716
詩濯,0.02835851219475713
春桃,0.028315252960630165
結實夏,0.028302985167141047
滿縣,0.028293907316277213
英英,0.02829195977556527
開紅春,0.028215417434098944
時鳥鳴,0.028118980614863506
出汗,0.0273355163541163
嚶嚶,0.02722139535403517
𩄇,0.027064737922220396
蓁蓁,0.026870689396486732
寒無滄滄寒,0.02685374408616839
中而,0.026793025743452662
生華季,0.026759028923638368
紅榴吐何,0.026635294895685554
傍蓮池,0.026538810959317535
如雨,0.026317902722700418
朱實繁,0.02616800471909702
溫中適,0.025931342529647988
故氣,0.02562740170749322
禛,0.025505646512047685
大火,0.025235775509683485
心娱,0.02500978331676659
翠葉,0.0240015489876551
逐漪,0.023857668076713048
丹華吐日,0.023847394950911406
愛棲趾,0.023799509365417353
搏持,0.023205764155052985
梳揮手,0.023121087630046517
朱華煒,0.022781598397385614
，,0.022774084067284612
漣,0.022738780277426516
將持,0.022565600345231293
花元,0.02255679282496502
珠玉,0.022537855118997092
汗,0.022317818062405986
盛芬華,0.022097263983430933
耳目,0.02209530375749467
散亂,0.022085994042950922
逶,0.02202333240751744
賞者,0.021905618480680702
朱華,0.02162568410258158
不致,0.02158501706348795
季女,0.021554545129778148
城外,0.021497967566294744
之纖枝,0.02139077057029461
之樹煥,0.02126496708354714
著天,0.02120269370582173
争顰翠蛾,0.021161620863113708
錦水邊,0.02107328906625435
］,0.020893022161244994
可佳,0.020834776394489263
蜀都,0.020808793061950583
華敷,0.02080841067283251
［,0.020800976654721557
聊逢,0.020763196824462826
賦注作,0.020721364531777836
不暇,0.02071037170591386
明珠,0.020648725254376415
繁星,0.020639643270361344
紅缸,0.020609021643067202
萋萋,0.020445768942859294
往来,0.0203641911206848
宋文,0.020344347307509007
蠓,0.020297427151897203
迤漢宫,0.020280060912823257
如景宿,0.02017671071968516
五六,0.020124597214511555
榮瑞兹,0.01991076648552859
美其,0.01989288100071332
棲趾,0.019855871097557667
綠葉,0.019785538831712027
暑,0.0195340943788503
惟桃,0.019507203813685686
號紅,0.01947220732257991
藍無毒,0.019374035841892862
綠泉,0.019266631443188444
龜,0.01916619445823326
則已,0.019124591883487075
花數,0.01911147045225674
之羅,0.019103916889477095
紛錯,0.019098144083738087
抱愁,0.01909616793744154
迥出,0.019067598471047748
朝霞,0.019026904372741214
聲芳,0.01900642590436797
置,0.01891337194384504
之映,0.01890720041168577
而溫,0.018890183639206887
昨,0.018859111513721966
迨,0.018858080122480705
繁生,0.01871283752401134
桃有華,0.01870373815617329
花開,0.018671580480553774
八九,0.01848707279286079
同雨染烟,0.018373528359454508
綏山枝,0.01832115505636091
邪僻,0.018308257819699025
蠛,0.018247715024195053
活血,0.018237374874573033
逶迤,0.01814098076511218
榮紅葩,0.018075112208734263
亹亹,0.018025657445244068
之殊,0.01796454124498338
橫劭,0.017893601550615153
落落,0.017718136679647577
多品,0.017669473024643594
之,0.017656471237878196
一經過,0.01763559836216378
敷,0.017569523345979707
生君,0.017524424089381777
緣溪,0.017500217872671493
何草,0.017493477733283642
黄紫華,0.017451487740685275
宫桃,0.017444081285522082
獨夭桃,0.017406754339887306
火俱燃,0.017402184246190895
發,0.0173952534883667
明兩,0.017382430074115728
之葉,0.017358045616526947
花憶,0.01733921997955229
垂門桐,0.017339046904005447
重明,0.017304454752676376
蓋銷,0.017261726444312415
吾,0.017245390211836523
之堂,0.01718195547210434
藩蟬,0.017177837075302526
徇高,0.017160663269625204
容顏,0.017109501069319688
中壘,0.01709605375141742
適自亂,0.01708920635033819
値,0.01701817695985052
隋蕭,0.017008498216722737
之殊榮,0.017004102837009892
大海,0.016979141359542683
彼不伐兮秋,0.016970753287535223
傴僂織,0.01696245023791055
縞羽,0.016949161615339207
愴,0.01692966394393222
移根,0.016927000481194884
怡怡,0.016895933467148506
載有,0.01686154528086651
栽夭桃,0.01685872281376207
恆,0.016845543406476735
獨明,0.01683171312305453
應慘,0.01680285737617289
吐桂榮松,0.016759608511228416
驚凡目,0.016753449535677534
含宿霧,0.01674733516410626
遠近,0.01672593710543605
孤美,0.01669718853136219
而益,0.016679499525325946
應韓,0.01665415663155847
正午,0.01665011375780269
〕,0.016513155967161915
素應,0.01650650307209705
自翳,0.016505509369580063
根偃息瘴蠻,0.016501565102409122
成仙,0.0165007714841911
擢苗,0.016458033462281047
○,0.016430399744371476
擢穎昌族,0.016379599270142903
翻風,0.016362694640640472
英布,0.01634135246774438
其雋,0.016310193924630578
吉祥,0.016237817678323944
輕擢,0.01623468251418873
甘自不才,0.016227005098138268
猗,0.016226971062967614
皇猷,0.016204535522895698
連徽,0.01616505950845957
桃有,0.01615403665893772
盛楚,0.01614837557379591
照水,0.01614083092434435
峨峨,0.01612784063171403
嘉穎,0.016126699238818952
寒,0.016123246834005463
果實,0.01611855383666405
伊君,0.01610553949022982
時英整,0.01610235227133634
三千,0.016088728132344323
作華,0.016068449278842982
誕慶,0.016052863566625573
位于,0.016035330246480895
芳馥,0.016032762448781303
風徽,0.01596432481954855
出矮牆,0.01596161856724105
臨窗,0.015958304835485368
更壯,0.015918187915302046
價酬,0.01588022369575422
美玉,0.01586503859957341
仰承,0.01580709725615529
蒸萬實,0.015788535757277802
枝承蕤,0.015786182416972484
辛味,0.015750109951682464
孤邈,0.015741417937121232
元良,0.015736860820849886
姿,0.015719685278624797
照其,0.01569540365548574
紛枝,0.015680318236582117
青軒,0.015663080737258132
既受,0.0156435695761584
許子,0.015639307521852195
競芳,0.015635194779133228
戔戔,0.015633063888385056
彌光,0.015559418406776753
不悉,0.015556569152122616
暑無,0.015541610347040765
炎炎,0.01552486128793011
美顏玉,0.01552260135423894
世族,0.015493713561234945
可畏,0.015491078074793432
想聞散,0.01548905431079964
容姿,0.015440012605725945
周,0.015439906410551572
玉為,0.015429443495872688
降祉,0.015414842032654733
不死花,0.015410132421376843
入奧知,0.01539371002110335
老而,0.015372567579003401
至生,0.015368567691477264
員應,0.015307238206087512
無常,0.015293266324331043
而,0.015248028883141395
含風,0.015246289310009044
元首,0.015218872850779035
衒,0.015204212130249486
自從,0.015178419030993652
桃悅色,0.01515219979643148
之花,0.015135015557277674
承聖,0.01513072137893321
𣺯,0.01509714078956609
慤,0.015091473182570585
從化,0.0150649027149395
擬之于,0.015011544300816504
榦,0.015002847314173855
尚繁,0.014984856087839107
廊,0.014963326946270231
五束,0.014958204836686854
山榴開,0.014955215682815964
終焉,0.014952056676993206
大梁,0.014942875282673612
周南,0.014925101760377812
褭褭,0.014903994258543836
處雲扶,0.014885767131668233
深澗,0.014885735780722784
喚聲,0.01488253649735949
之團團,0.014880268675320503
减而,0.014879736719745093
露華人間,0.014857765325337544
各何,0.014855685467110706
挺奇,0.014836636377541493
有輝光,0.014813390256974483
超超,0.014801503311637635
徽美是諧,0.014797887307507493
美寶,0.014790003205231975
蓬,0.014772591058108207
別時花,0.014769782081318019
地人,0.01474861229278403
山立淵,0.014736741290229245
春華,0.01473230631907725
雖有,0.014711558701336884
邊葉,0.014697415697667348
清靈,0.014654817784202682
其少壯,0.01465315678692358
觀玉顏,0.01464171464961686
盛壯,0.014625123396033815
聚作嬌,0.01461807191131339
笏,0.014617495283114323
其華喻,0.014607928803023652
林中,0.014581299372315016
明月光,0.014579493541831481
矢逝,0.014571657011013898
英美,0.014568208676369224
鴻漢景德,0.014553447630137896
德享,0.014553294261301305
馴朝,0.01453840893249361
宋張,0.01453083191219737
俞夏園,0.014530831912197366
無雜,0.014530831912197362
悅懌類,0.014528557005931534
幾叢叢,0.014505629194778387
有光輝,0.014499065786726937
