item1,value
灼灼,0.30424761027304975
。,0.10153679536402785
，,0.09865113020673133
夭夭,0.04633141998321433
離離,0.04507913639544714
桃之夭夭,0.038820330839407884
葵,0.031837167249331985
面對,0.031066685665002435
其華,0.030899505400400006
欄邊,0.03062899734147449
遮詩,0.030100036717957204
紅綻,0.029776635933634395
皇居帝,0.02924780650630311
滿縣,0.02881396054265997
宜家,0.028529041643554975
灣灣,0.02810729758182734
其華易林,0.02806249774055385
錦莫周,0.027994390214781693
詩濯,0.02779574830753828
闕開,0.027561418218164987
𩄇,0.026819231409265665
春桃,0.026642554946795318
花開,0.026509044810786152
開紅春,0.02627468691504881
結實夏,0.02599990198438521
下水,0.02578720296386246
平分,0.02548411487049857
熱無,0.025289125397170348
禛,0.02515290008119572
耳目,0.025088331879640588
生華季,0.02502843019216914
傍蓮池,0.024970567148552728
延陵,0.024890992322983602
光諸華,0.02472908075111603
秩假,0.024260892460230426
紅榴吐何,0.0242570601181745
寵其,0.024150436351008747
出汗,0.02400180525135808
依依,0.023885742015567826
寒無,0.023675163127089633
勞效,0.023589931740438688
王迹,0.023574686905417506
中而,0.023438805780887376
朱實繁,0.023409472125582663
錯碧流堂,0.023407012698712724
穆穆,0.023362555071232274
丹華吐日,0.02319024018901952
佳氣,0.02317052340254633
寒温,0.02305802270941352
心娱,0.022955327776770472
優,0.022934645673960932
愛棲趾,0.022928732584783937
時鳥鳴,0.02283964137361888
則或階之,0.022804713298949807
繁星,0.02277498980078055
花元,0.022440655985262875
翠葉,0.022423840119751372
朱華煒,0.022310952379116424
春辭,0.022244125160076043
寒,0.022207801739854652
頹陽九帝,0.02216303316386129
不,0.022104537148962714
柳細,0.02204225555619534
其波,0.021959456371896093
嚶嚶,0.021892187481020155
臥歸島,0.021615277957830557
珠玉,0.021444227501226227
逐漪,0.021442908898223492
］,0.021437717247855762
［,0.021362273073781277
以踐,0.021205356515895512
別後無餘事,0.02118354612649938
逶,0.02117961167395138
孤獨,0.02115443933040227
駭動,0.02112547839034897
華敷,0.02109505142305188
、,0.02096238848095362
蓁蓁,0.02088856819401522
樞要,0.020868091339818005
暑,0.02086312129150246
城外,0.02078050176760035
芳日,0.020776841448568593
大火,0.020769874280059213
亭亭,0.02076579074482414
賞者,0.020741749345185582
争顰翠蛾,0.020718101670006237
可佳,0.020629048659349794
野花,0.02057162165880304
悽悽,0.020539223316101887
之樹煥,0.02051818645373591
異應,0.02051698988053562
何雄,0.020515145607676824
秋草,0.020508853401364716
著天,0.020438037659840987
人之聞,0.020380151682938864
紅缸,0.02034222513565044
功興,0.02027951921790821
風仲雍揚,0.02025440565656041
無,0.020225416064404436
居然,0.020144901025105362
季女,0.020091214985118747
如雨,0.020047839239672124
聊逢,0.01996681658895344
汀,0.019839417092388106
梳揮手,0.019822389030643962
宋文,0.019816660250668007
時,0.019762948163277408
唯坐,0.019742123994620123
埃西風,0.01972533606341646
中適,0.019682255288457098
散亂,0.019656583710267402
居官,0.019642629747709354
可驚者,0.019528899349273487
紛錯,0.019516337364986924
汗,0.019498992679479524
郎吏,0.0194406176084298
萋,0.019395225374612586
榮紅葩,0.019326515520981847
懷之卒,0.01932333642215454
迤漢宫,0.019321979318993036
錦水邊,0.019288867048509576
之纖枝,0.019284713865628123
惟桃,0.019283080373593525
奇驗,0.019281064181413562
衒,0.019267228726320584
凄凄,0.019263811493496368
還應,0.01925829743330882
如景宿,0.019252911595254014
綠泉,0.019252675495499125
桃有華,0.019179954864583456
罷則,0.019162470610500998
榦,0.01915992166288286
捄,0.019077695797263258
榮瑞兹,0.019054754099843817
然十數,0.018952708067838202
綠葉,0.018937119823323745
漣,0.01878427392755554
故氣,0.018766267644838304
結長,0.018581695298069027
其色,0.018568145088074285
移根,0.018566426098378747
則已,0.018504400799315774
往来,0.0184328794134747
四遐大,0.018306335466636244
萋萋,0.01830321957344435
詭名譽,0.01820900480717568
之羅,0.018197803842531755
盛芬華,0.018175524290388052
飛黃,0.018168682282589815
導仁,0.018139599963138527
溺拯,0.018074808845371187
之殊,0.018072205637948237
同雨染烟,0.01800171899842605
蠓,0.017974268736278016
迥出,0.017853294354486217
多品,0.017732005469236096
抱愁,0.01761573142524648
英布,0.017603156428756307
龜,0.017576532320717323
一經過,0.017547347441705104
桃花,0.017526733944115632
綏山枝,0.017402484038844677
若,0.017390034200433117
尚約束,0.01738418005734949
之映,0.01731781540365854
蕭蕭,0.017307408502535555
花,0.01729363536738021
盛者,0.01728672885992881
間,0.01725298555386562
此去,0.017226979733645946
承天,0.01721059474675555
號紅,0.017208728022128916
聯云前,0.01720581290677029
聖茂哉,0.017176901309739714
帝命,0.01713834739545948
始皇,0.017108373831749218
越受,0.01710547304509335
緣溪,0.017095258118018042
相間,0.01709241251251578
藍無毒,0.017041270561356566
煜,0.01701513962581825
夏,0.01700859307655316
重之至,0.016977671049414673
花數,0.016952814944126208
飲,0.016873586714898907
成仙,0.016793710301123237
岳之勢,0.016756256861803757
宫桃,0.016737294532163313
誕,0.016728587878637218
左散,0.016714325879869853
侵已,0.01670493935378165
果實,0.016642435554265755
而益,0.016550748256751627
